Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Bajra,1997,Kharif     ,Karnataka,301149.0,132056,1266.7,28660350.33,93356.19,0.404545455
Bajra,1997,Summer     ,Karnataka,820.0,662,1266.7,78039.4,254.2,0.81
Bajra,1997,Kharif     ,West Bengal,207.0,95,1852.9,19700.19,64.17,0.426666667
Bajra,1998,Kharif     ,Puducherry,149.0,324,1434.5875,14721.2,43.21,2.17
Bajra,1998,Kharif     ,Karnataka,415816.0,282231,1260.8,41082620.8,120586.64,0.601764706
Bajra,1998,Rabi       ,Karnataka,451.0,536,1260.8,44558.8,130.79,1.19
Bajra,1998,Summer     ,Karnataka,846.0,498,1260.8,83584.8,245.34,0.59
Bajra,1998,Kharif     ,West Bengal,175.0,84,2152.5,17290.0,50.75,0.436666667
Bajra,1999,Kharif     ,Puducherry,170.0,470,1434.5875,18042.1,45.9,2.76
Bajra,1999,Kharif     ,West Bengal,146.0,96,2318.1,15494.98,39.42,0.606666667
Bajra,2000,Kharif     ,Andhra Pradesh,129475.0,135964,935.6,12710560.75,33663.5,1.001666667
Bajra,2000,Rabi       ,Andhra Pradesh,14229.0,12524,935.6,1396860.93,3699.54,0.883125
Bajra,2000,Kharif     ,Karnataka,461048.0,340498,1213.3,45261082.16,119872.48,0.662352941
Bajra,2000,Rabi       ,Karnataka,160.0,129,1213.3,15707.2,41.6,0.81
Bajra,2000,Summer     ,Karnataka,913.0,998,1213.3,89629.21,237.38,1.11
Bajra,2000,Kharif     ,Puducherry,186.0,513,1434.5875,18259.62,48.36,2.76
Bajra,2000,Kharif     ,West Bengal,313.0,256,1907.7,30727.21,81.38,0.8875
Bajra,2001,Kharif     ,Andhra Pradesh,81851.0,63589,928.4,8359442.63,21281.26,0.851764706
Bajra,2001,Rabi       ,Andhra Pradesh,9684.0,7442,928.4,989026.92,2517.84,0.795
Bajra,2001,Kharif     ,Karnataka,208213.0,111091,1002.9,21264793.69,54135.38,0.510666667
Bajra,2001,Rabi       ,Karnataka,442.0,221,1002.9,45141.46,114.92,0.5
Bajra,2001,Summer     ,Karnataka,850.0,929,1002.9,86810.5,221.0,1.09
Bajra,2001,Kharif     ,Puducherry,162.0,345,1434.5875,16545.06,42.12,2.13
Bajra,2001,Kharif     ,West Bengal,425.0,322,1556.6,43405.25,110.5,0.855
Bajra,2002,Kharif     ,Andhra Pradesh,79711.0,53526,648.1,7546240.37,19927.75,0.706470588
