Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Black pepper,1997,Kharif     ,Karnataka,3825.0,924,1266.7,364025.25,1185.75,0.4375
Black pepper,1997,Whole Year ,Kerala,173855.0,55520,3252.4,16545780.35,53895.05,0.240714286
Black pepper,1998,Kharif     ,Puducherry,12.0,7,1434.5875,1185.6,3.48,0.58
Black pepper,1998,Whole Year ,Goa,250.0,70,2964.9,24700.0,72.5,0.28
Black pepper,1998,Whole Year ,Karnataka,4387.0,10342,1260.8,433435.6,1272.23,2.238
Black pepper,1998,Whole Year ,Kerala,182384.0,68510,3151.5,18019539.2,52891.36,0.261428571
Black pepper,1999,Whole Year ,Goa,275.0,120,3879.3,29185.75,74.25,0.44
Black pepper,1999,Whole Year ,Kerala,198406.0,47543,2914.6,21056828.78,53569.62,0.193571429
Black pepper,1999,Whole Year ,Puducherry,12.0,7,1434.5875,1273.56,3.24,0.58
Black pepper,2000,Whole Year ,Goa,480.0,100,3886.9,47121.6,124.8,0.21
Black pepper,2000,Whole Year ,Karnataka,7249.0,17586,1213.3,711634.33,1884.74,2.263636364
Black pepper,2000,Whole Year ,Kerala,202133.0,60929,2412.6,19843396.61,52554.58,0.22
Black pepper,2000,Whole Year ,Puducherry,12.0,7,1434.5875,1178.04,3.12,0.58
Black pepper,2001,Whole Year ,Goa,573.0,100,2530.6,58520.49,148.98,0.17
Black pepper,2001,Whole Year ,Karnataka,9699.0,22185,1002.9,990558.87,2521.74,2.213846154
Black pepper,2001,Whole Year ,Kerala,203956.0,58240,2946.7,20830026.28,53028.56,0.214285714
Black pepper,2001,Whole Year ,Puducherry,12.0,11,1434.5875,1225.56,3.12,0.92
Black pepper,2002,Whole Year ,Goa,583.0,103,2516.3,55192.61,145.75,0.18
Black pepper,2002,Whole Year ,Kerala,208607.0,67358,2511.2,19748824.69,52151.75,0.222142857
Black pepper,2003,Whole Year ,Goa,589.0,103,3011.6,58299.22,141.36,0.17
Black pepper,2003,Whole Year ,Karnataka,10694.0,23561,867.6,1058492.12,2566.56,2.220833333
Black pepper,2003,Whole Year ,Kerala,216440.0,69015,2386.0,21423231.2,51945.6,0.222857143
Black pepper,2003,Whole Year ,Puducherry,12.0,8,1434.5875,1187.76,2.88,0.67
Black pepper,2003,Whole Year ,Tamil Nadu,4179.0,933,345.6,413637.42,1002.96,0.141666667
Black pepper,2004,Whole Year ,Karnataka,12344.0,27517,1117.7,1337348.96,2592.24,2.26
Black pepper,2004,Whole Year ,Kerala,237669.0,74980,2880.2,25749059.46,49910.49,0.222857143
Black pepper,2004,Whole Year ,Meghalaya,895.0,578,4767.9,96964.3,187.95,0.8
Black pepper,2005,Whole Year ,Karnataka,14797.0,32414,1316.2,1774456.24,3107.37,2.199230769
Black pepper,2005,Whole Year ,Kerala,237998.0,87605,3030.9,28540720.16,49979.58,0.239285714
Black pepper,2005,Whole Year ,Tamil Nadu,3745.0,851,1364.1,449100.4,786.45,0.173076923
Black pepper,2006,Kharif     ,Puducherry,12.0,7,1434.5875,1532.52,2.64,0.58
Black pepper,2006,Whole Year ,Karnataka,13726.0,29025,1146.3,1752947.46,3019.72,2.216
Black pepper,2006,Whole Year ,Kerala,216709.0,64264,3429.7,27675906.39,47675.98,0.217857143
Black pepper,2006,Whole Year ,Tamil Nadu,3703.0,843,927.9,472910.13,814.66,0.186923077
Black pepper,2007,Kharif     ,Puducherry,12.0,7,1434.5875,1600.8,1.92,0.58
Black pepper,2007,Whole Year ,Assam,2823.0,4212,2154.1,376588.2,451.68,1.528518519
Black pepper,2007,Whole Year ,Karnataka,16319.0,50867,1323.3,2176954.6,2611.04,3.124166667
Black pepper,2007,Whole Year ,Kerala,175679.0,41952,3489.6,23435578.6,28108.64,0.19
Black pepper,2007,Whole Year ,Tamil Nadu,3130.0,719,1067.2,417542.0,500.8,0.145333333
Black pepper,2008,Kharif     ,Puducherry,12.0,8,1434.5875,1716.48,1.08,0.67
Black pepper,2008,Whole Year ,Assam,3393.0,5144,2109.9,485334.72,305.37,1.680384615
Black pepper,2008,Whole Year ,Karnataka,17451.0,73956,1164.1,2496191.04,1570.59,4.133571429
Black pepper,2008,Whole Year ,Kerala,153711.0,33991,2524.8,21986821.44,13833.99,0.182857143
Black pepper,2008,Rabi       ,Meghalaya,884.0,462,3114.3,126447.36,79.56,0.514285714
Black pepper,2008,Whole Year ,Tamil Nadu,3122.0,716,1201.9,446570.88,280.98,0.155
Black pepper,2009,Kharif     ,Puducherry,12.0,8,1434.5875,1869.84,2.04,0.67
Black pepper,2009,Whole Year ,Assam,2967.0,4398,1727.1,462317.94,504.39,1.577777778
Black pepper,2009,Whole Year ,Karnataka,19706.0,73143,1321.0,3070588.92,3350.02,3.701538462
Black pepper,2009,Whole Year ,Kerala,171489.0,42460,2821.5,26721415.98,29153.13,0.190714286
