Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Cardamom,1997,Whole Year ,Karnataka,21230.0,1214,1266.7,2020459.1,6581.3,0.058571429
Cardamom,1997,Whole Year ,West Bengal,2674.0,7,1852.9,254484.58,828.94,0.0
Cardamom,1998,Whole Year ,Karnataka,20218.0,1153,1260.8,1997538.4,5863.22,0.06
Cardamom,1998,Whole Year ,Kerala,41449.0,4990,3151.5,4095161.2,12020.21,0.045555556
Cardamom,1998,Whole Year ,West Bengal,2875.0,690,2152.5,284050.0,833.75,0.24
Cardamom,1999,Whole Year ,Kerala,41491.0,6585,2914.6,4403439.83,11202.57,0.056666667
Cardamom,1999,Whole Year ,West Bengal,2875.0,690,2318.1,305123.75,776.25,0.24
Cardamom,2000,Whole Year ,Karnataka,19881.0,1132,1213.3,1951717.77,5169.06,0.06
Cardamom,2000,Whole Year ,Kerala,41288.0,7580,2412.6,4053242.96,10734.88,0.055
Cardamom,2001,Whole Year ,Kerala,41336.0,8380,2946.7,4221645.68,10747.36,0.057272727
Cardamom,2001,Whole Year ,West Bengal,2875.0,704,1556.6,293623.75,747.5,0.24
Cardamom,2002,Whole Year ,Kerala,41412.0,8680,2511.2,3920474.04,10353.0,0.068
Cardamom,2002,Whole Year ,West Bengal,2874.0,704,1629.1,272081.58,718.5,0.24
Cardamom,2003,Whole Year ,Karnataka,19480.0,1106,867.6,1928130.4,4675.2,0.061428571
Cardamom,2003,Whole Year ,Kerala,41332.0,8875,2386.0,4091041.36,9919.68,0.07
Cardamom,2003,Whole Year ,Tamil Nadu,5221.0,478,345.6,516774.58,1253.04,0.079
Cardamom,2003,Whole Year ,West Bengal,2874.0,704,1526.7,284468.52,689.76,0.24
Cardamom,2004,Whole Year ,Karnataka,19461.0,1105,1117.7,2108404.74,4086.81,0.0575
Cardamom,2004,Whole Year ,Kerala,41378.0,8616,2880.2,4482892.52,8689.38,0.069
Cardamom,2004,Whole Year ,Tamil Nadu,4936.0,450,1034.0,534766.24,1036.56,0.071818182
Cardamom,2005,Whole Year ,Karnataka,19814.0,1127,1316.2,2376094.88,4160.94,0.05875
Cardamom,2005,Whole Year ,Kerala,41367.0,9765,3030.9,4960730.64,8687.07,0.065
Cardamom,2005,Whole Year ,Tamil Nadu,4887.0,448,1364.1,586049.04,1026.27,0.072727273
Cardamom,2005,Whole Year ,West Bengal,2874.0,704,1650.1,344650.08,603.54,0.24
Cardamom,2006,Whole Year ,Karnataka,23827.0,1377,1146.3,3042946.17,5241.94,0.0575
Cardamom,2006,Whole Year ,Kerala,41362.0,8545,3429.7,5282341.02,9099.64,0.057
Cardamom,2006,Whole Year ,Tamil Nadu,4441.0,404,927.9,567160.11,977.02,0.0675
Cardamom,2006,Whole Year ,West Bengal,2874.0,704,1631.4,367038.54,632.28,0.24
Cardamom,2007,Whole Year ,Karnataka,21187.0,1978,1323.3,2826345.8,3389.92,0.0625
Cardamom,2007,Whole Year ,Kerala,39763.0,7031,3489.6,5304384.2,6362.08,0.047272727
