Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Cotton(lint),1997,Kharif     ,Assam,1739.0,794,2051.4,165500.63,539.09,0.420909091
Cotton(lint),1997,Kharif     ,Meghalaya,7544.0,5590,3818.2,717962.48,2338.64,0.796666667
Cotton(lint),1997,Kharif     ,West Bengal,26000.0,52000,1852.9,2474420.0,8060.0,2.0
Cotton(lint),1998,Summer     ,Puducherry,453.0,372,1434.5875,44756.4,131.37,0.84
Cotton(lint),1998,Kharif     ,Assam,1652.0,751,2354.4,163217.6,479.08,0.399130435
Cotton(lint),1998,Kharif     ,Karnataka,636495.0,976876,1260.8,62885706.0,184583.55,1.556521739
Cotton(lint),1998,Kharif     ,Kerala,10999.0,17752,3151.5,1086701.2,3189.71,1.61
Cotton(lint),1998,Kharif     ,Meghalaya,7549.0,5599,6552.7,745841.2,2189.21,0.796666667
Cotton(lint),1998,Kharif     ,West Bengal,200.0,73,2152.5,19760.0,58.0,0.37
Cotton(lint),1999,Kharif     ,Assam,1637.0,746,2201.8,173734.81,441.99,0.41173913
Cotton(lint),1999,Kharif     ,Kerala,4772.0,7702,2914.6,506452.36,1288.44,1.61
Cotton(lint),1999,Kharif     ,Meghalaya,7455.0,5549,6200.3,791199.15,2012.85,0.8
Cotton(lint),1999,Kharif     ,Puducherry,357.0,1835,1434.5875,37888.41,96.39,5.14
Cotton(lint),1999,Kharif     ,West Bengal,750.0,2040,2318.1,79597.5,202.5,2.72
Cotton(lint),2000,Kharif     ,Andhra Pradesh,1021721.0,1662683,935.6,100302350.6,265647.46,1.687727273
Cotton(lint),2000,Kharif     ,Assam,1673.0,760,1965.5,164238.41,434.98,0.426521739
Cotton(lint),2000,Kharif     ,Karnataka,551763.0,855236,1213.3,54166573.71,143458.38,1.593333333
Cotton(lint),2000,Kharif     ,Kerala,3847.0,6209,2412.6,377659.99,1000.22,1.61
Cotton(lint),2000,Kharif     ,Meghalaya,7340.0,7684,6258.8,720567.8,1908.4,1.036666667
Cotton(lint),2000,Kharif     ,Puducherry,452.0,2300,1434.5875,44372.84,117.52,5.11
Cotton(lint),2000,Kharif     ,West Bengal,1188.0,2732,1907.7,116625.96,308.88,2.3
Cotton(lint),2001,Kharif     ,Andhra Pradesh,1107852.0,1876698,928.4,113144924.8,288041.52,1.820454545
Cotton(lint),2001,Kharif     ,Assam,1882.0,860,1824.7,192208.66,489.32,0.443913043
Cotton(lint),2001,Kharif     ,Karnataka,608479.0,612415,1002.9,62143960.27,158204.54,1.221428571
Cotton(lint),2001,Kharif     ,Kerala,3760.0,6069,2946.7,384008.8,977.6,1.61
Cotton(lint),2001,Kharif     ,Meghalaya,7323.0,7873,4241.0,747897.99,1903.98,1.05
Cotton(lint),2001,Kharif     ,Puducherry,575.0,2965,1434.5875,58724.75,149.5,5.23
Cotton(lint),2001,Kharif     ,West Bengal,1795.0,4481,1556.6,183323.35,466.7,1.993333333
Cotton(lint),2002,Kharif     ,Andhra Pradesh,803274.0,1085739,648.1,76045949.58,200818.5,1.455238095
Cotton(lint),2002,Kharif     ,Assam,1556.0,716,1973.6,147306.52,389.0,0.422608696
Cotton(lint),2002,Kharif     ,Kerala,3400.0,5488,2511.2,321878.0,850.0,1.61
Cotton(lint),2002,Kharif     ,Tamil Nadu,75572.0,83542,315.9,7154401.24,18893.0,1.429230769
Cotton(lint),2002,Kharif     ,West Bengal,823.0,1474,1629.1,77913.41,205.75,2.875
Cotton(lint),2003,Kharif     ,Andhra Pradesh,836892.0,1890394,826.0,82835570.16,200854.08,2.137619048
Cotton(lint),2003,Kharif     ,Assam,1438.0,664,2213.7,142333.24,345.12,0.443478261
Cotton(lint),2003,Kharif     ,Karnataka,316674.0,264624,867.6,31344392.52,76001.76,1.192857143
Cotton(lint),2003,Kharif     ,Kerala,2949.0,4748,2386.0,291892.02,707.76,1.61
Cotton(lint),2003,Kharif     ,Meghalaya,7281.0,7792,3321.3,720673.38,1747.44,1.036666667
Cotton(lint),2003,Kharif     ,Puducherry,453.0,1747,1434.5875,44837.94,108.72,4.095
Cotton(lint),2003,Kharif     ,Tamil Nadu,97777.0,119687,345.6,9677967.46,23466.48,1.504615385
Cotton(lint),2003,Kharif     ,West Bengal,1429.0,2772,1526.7,141442.42,342.96,2.55
Cotton(lint),2004,Kharif     ,Karnataka,521860.0,624566,1117.7,56538312.4,109590.6,1.357142857
Cotton(lint),2004,Kharif     ,Kerala,1472.0,2370,2880.2,159476.48,309.12,1.61
Cotton(lint),2004,Kharif     ,Meghalaya,7231.0,7765,4767.9,783406.54,1518.51,1.046666667
Cotton(lint),2004,Kharif     ,Tamil Nadu,129364.0,185960,1034.0,14015295.76,27166.44,1.571153846
Cotton(lint),2005,Kharif     ,Andhra Pradesh,1032629.0,2107984,1075.5,123832869.7,216852.09,1.727272727
Cotton(lint),2005,Kharif     ,Assam,1352.0,632,2184.6,162131.84,283.92,0.4172
Cotton(lint),2005,Whole Year ,Karnataka,413310.0,585498,1316.2,49564135.2,86795.1,1.503333333
Cotton(lint),2005,Kharif     ,Kerala,2655.0,3452,3030.9,318387.6,557.55,1.3
Cotton(lint),2005,Kharif     ,Meghalaya,7231.0,7768,3374.4,867141.52,1518.51,1.046666667
Cotton(lint),2005,Kharif     ,Tamil Nadu,109742.0,168154,1364.1,13160260.64,23045.82,1.643703704
Cotton(lint),2005,Kharif     ,West Bengal,1506.0,3857,1650.1,180599.52,316.26,2.22
Cotton(lint),2006,Summer     ,Puducherry,57.0,40,1434.5875,7279.47,12.54,0.75
Cotton(lint),2006,Rabi       ,Meghalaya,7208.0,7738,2454.7,920533.68,1585.76,1.05
Cotton(lint),2006,Kharif     ,Andhra Pradesh,971806.0,2181944,845.2,124109344.3,213797.32,2.080952381
Cotton(lint),2006,Kharif     ,Assam,1374.0,648,1774.9,175473.54,302.28,0.518461538
Cotton(lint),2006,Whole Year ,Karnataka,375982.0,536329,1146.3,48016661.22,82716.04,1.405
Cotton(lint),2006,Kharif     ,Kerala,1300.0,1690,3429.7,166023.0,286.0,1.3
Cotton(lint),2006,Whole Year ,Tamil Nadu,100339.0,220864,927.9,12814293.69,22074.58,2.281111111
Cotton(lint),2006,Kharif     ,West Bengal,5650.0,14678,1631.4,721561.5,1243.0,3.898571429
Cotton(lint),2007,Summer     ,Puducherry,66.0,38,1434.5875,8804.4,10.56,0.615
Cotton(lint),2007,Kharif     ,Assam,1359.0,635,2154.1,181290.6,217.44,0.445217391
