Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Garlic,1997,Whole Year ,Karnataka,5061.0,3799,1266.7,481655.37,1568.91,1.585
Garlic,1998,Whole Year ,Karnataka,3574.0,3034,1260.8,353111.2,1036.46,1.459411765
Garlic,1998,Whole Year ,Kerala,742.0,12614,3151.5,73309.6,215.18,17.0
Garlic,1999,Whole Year ,Kerala,849.0,14433,2914.6,90104.37,229.23,17.0
Garlic,2000,Whole Year ,Karnataka,5949.0,4156,1213.3,584013.33,1546.74,1.491333333
Garlic,2000,Whole Year ,Kerala,538.0,9146,2412.6,52815.46,139.88,17.0
Garlic,2001,Whole Year ,Kerala,293.0,4981,2946.7,29924.09,76.18,17.0
Garlic,2002,Whole Year ,Kerala,616.0,10472,2511.2,58316.72,154.0,17.0
Garlic,2002,Whole Year ,Tamil Nadu,565.0,3378,315.9,53488.55,141.25,5.69
Garlic,2003,Whole Year ,Karnataka,3970.0,2902,867.6,392950.6,952.8,1.331764706
Garlic,2003,Whole Year ,Kerala,638.0,10846,2386.0,63149.24,153.12,17.0
Garlic,2003,Whole Year ,Tamil Nadu,595.0,3411,345.6,58893.1,142.8,5.54
Garlic,2004,Whole Year ,Karnataka,5202.0,3584,1117.7,563584.68,1092.42,1.360625
Garlic,2004,Whole Year ,Kerala,306.0,5202,2880.2,33152.04,64.26,17.0
Garlic,2004,Whole Year ,Meghalaya,365.0,1139,4767.9,39544.1,76.65,1.79
Garlic,2004,Whole Year ,Tamil Nadu,443.0,2632,1034.0,47994.62,93.03,5.854
Garlic,2005,Whole Year ,Andhra Pradesh,800.0,0,1075.5,95936.0,168.0,0.0
Garlic,2005,Whole Year ,Karnataka,4931.0,3485,1316.2,591325.52,1035.51,1.287333333
Garlic,2005,Whole Year ,Kerala,65.0,1105,3030.9,7794.8,13.65,17.0
Garlic,2005,Whole Year ,Tamil Nadu,428.0,2561,1364.1,51325.76,89.88,5.854
Garlic,2006,Whole Year ,Karnataka,6615.0,4401,1146.3,844801.65,1455.3,1.276666667
Garlic,2006,Whole Year ,Kerala,221.0,3757,3429.7,28223.91,48.62,17.0
Garlic,2006,Whole Year ,Tamil Nadu,528.0,3139,927.9,67430.88,116.16,5.304
Garlic,2007,Whole Year ,Karnataka,6135.0,6340,1323.3,818409.0,981.6,1.284285714
Garlic,2007,Whole Year ,Kerala,350.0,5950,3489.6,46690.0,56.0,17.0
Garlic,2007,Whole Year ,Tamil Nadu,505.0,2994,1067.2,67367.0,80.8,5.763333333
Garlic,2007,Kharif     ,West Bengal,3414.0,33728,2007.5,455427.6,546.24,10.53722222
Garlic,2008,Whole Year ,Karnataka,5625.0,12378,1164.1,804600.0,506.25,2.644285714
Garlic,2008,Whole Year ,Kerala,320.0,5440,2524.8,45772.8,28.8,17.0
Garlic,2008,Whole Year ,Tamil Nadu,351.0,2067,1201.9,50207.04,31.59,5.76
Garlic,2009,Whole Year ,Andhra Pradesh,530.0,1565,711.0,82584.6,90.1,2.556666667
Garlic,2009,Whole Year ,Karnataka,4698.0,6603,1321.0,732042.36,798.66,1.794615385
Garlic,2009,Whole Year ,Kerala,336.0,5712,2821.5,52355.52,57.12,17.0
Garlic,2009,Whole Year ,Tamil Nadu,330.0,1954,928.5,51420.6,56.1,4.256
Garlic,2010,Whole Year ,Andhra Pradesh,464.0,978,1297.0,77075.04,111.36,1.968
Garlic,2010,Whole Year ,Karnataka,4234.0,5467,1317.7,703309.74,1016.16,1.322857143
Garlic,2011,Whole Year ,Andhra Pradesh,429.0,930,861.9,71866.08,141.57,2.136
Garlic,2011,Whole Year ,Karnataka,5100.0,6365,1178.986364,854352.0,1683.0,1.326666667
Garlic,2011,Whole Year ,Tamil Nadu,442.0,2544,926.5,74043.84,145.86,4.335
Garlic,2012,Whole Year ,Karnataka,4238.0,5531,956.2,639090.4,1313.78,1.385625
Garlic,2012,Whole Year ,Kerala,72.0,658,2187.6,10857.6,22.32,9.14
Garlic,2013,Whole Year ,Karnataka,5191.0,5473,1235.6,750047.59,1401.57,1.218571429
Garlic,2013,Whole Year ,Kerala,146.0,1314,3255.4,21095.54,39.42,9.0
Garlic,2013,Whole Year ,Tamil Nadu,506.0,2889,740.9,73111.94,136.62,4.194285714
Garlic,2014,Whole Year ,Karnataka,4725.0,5191,1238.5,713286.0,1559.25,1.254285714
Garlic,2014,Whole Year ,Kerala,75.0,625,3046.4,11322.0,24.75,8.33
Garlic,2014,Whole Year ,Tamil Nadu,449.0,2567,911.3,67781.04,148.17,2.711666667
Garlic,2015,Whole Year ,Karnataka,4661.0,6276,1024.9,736018.51,1538.13,1.33875
Garlic,2015,Whole Year ,Kerala,62.0,375,2602.9,9790.42,20.46,6.05
Garlic,2015,Whole Year ,Tamil Nadu,581.0,3334,1201.9,91745.71,191.73,4.412
Garlic,2016,Whole Year ,Karnataka,6534.0,5420,1147.2,1001335.5,2286.9,1.007058824
Garlic,2016,Whole Year ,Kerala,77.0,380,2924.3,11800.25,26.95,4.94
Garlic,2016,Whole Year ,Tamil Nadu,781.0,4545,912.4,119688.25,273.35,5.206666667
Garlic,2017,Whole Year ,Karnataka,5584.0,4901,1111.7,879144.96,2121.92,1.068888889
Garlic,2017,Whole Year ,Kerala,71.0,398,2664.8,11178.24,26.98,5.61
Garlic,2017,Whole Year ,Tamil Nadu,760.0,4338,970.9,119654.4,288.8,4.2975
Garlic,2018,Whole Year ,Karnataka,4006.0,26551,1419.1,649773.2,1402.1,6.4125
Garlic,2018,Whole Year ,Kerala,69.61,345,2989.7,11290.742,24.3635,4.96
Garlic,2018,Whole Year ,Tamil Nadu,1449.0,8631,986.2,235027.8,507.15,4.375
Garlic,2019,Whole Year ,Karnataka,1706.0,8741,1422.3,293022.56,631.22,5.177727273
