Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Ginger,1997,Kharif     ,Karnataka,3619.0,4745,1266.7,344420.23,1121.89,1.262307692
Ginger,1997,Kharif     ,Meghalaya,7357.0,45260,3818.2,700165.69,2280.67,6.054285714
Ginger,1998,Kharif     ,Karnataka,3896.0,51169,1260.8,384924.8,1129.84,12.75944444
Ginger,1998,Whole Year ,Kerala,11107.0,39362,3151.5,1097371.6,3221.03,2.93
Ginger,1998,Kharif     ,Meghalaya,7403.0,45590,6552.7,731416.4,2146.87,6.008571429
Ginger,1998,Kharif     ,West Bengal,9398.0,18839,2152.5,928522.4,2725.42,1.449444444
Ginger,1999,Whole Year ,Kerala,11264.0,41344,2914.6,1195448.32,3041.28,3.159285714
Ginger,1999,Kharif     ,Meghalaya,7606.0,44710,6200.3,807224.78,2053.62,5.765714286
Ginger,1999,Kharif     ,Puducherry,133.0,94,1434.5875,14115.29,35.91,0.676666667
Ginger,1999,Kharif     ,West Bengal,9165.0,18890,2318.1,972681.45,2474.55,1.662777778
Ginger,2000,Whole Year ,Andhra Pradesh,2329.0,6515,935.6,228637.93,605.54,3.14875
Ginger,2000,Kharif     ,Karnataka,10758.0,141587,1213.3,1056112.86,2797.08,12.76823529
Ginger,2000,Whole Year ,Kerala,11612.0,42699,2412.6,1139950.04,3019.12,2.957142857
Ginger,2000,Kharif     ,Meghalaya,7811.0,44900,6258.8,766805.87,2030.86,5.897142857
Ginger,2000,Kharif     ,Puducherry,227.0,117,1434.5875,22284.59,59.02,0.54
Ginger,2000,Kharif     ,West Bengal,9328.0,18898,1907.7,915729.76,2425.28,1.524444444
Ginger,2001,Whole Year ,Andhra Pradesh,2547.0,6263,928.4,260125.11,662.22,2.4375
Ginger,2001,Kharif     ,Karnataka,10677.0,140539,1002.9,1090442.01,2776.02,12.86277778
Ginger,2001,Whole Year ,Kerala,10706.0,40181,2946.7,1093403.78,2783.56,3.167857143
Ginger,2001,Kharif     ,Meghalaya,8897.0,36590,4241.0,908650.61,2313.22,5.837142857
Ginger,2001,Kharif     ,Puducherry,171.0,89,1434.5875,17464.23,44.46,0.375
Ginger,2001,Kharif     ,West Bengal,8133.0,16070,1556.6,830623.29,2114.58,1.52
Ginger,2002,Whole Year ,Andhra Pradesh,2026.0,3313,648.1,191801.42,506.5,1.635
Ginger,2002,Whole Year ,Kerala,8998.0,32412,2511.2,851840.66,2249.5,2.951428571
Ginger,2002,Whole Year ,Tamil Nadu,416.0,6665,315.9,39382.72,104.0,16.00888889
Ginger,2002,Kharif     ,West Bengal,9383.0,20206,1629.1,888288.61,2345.75,1.698888889
Ginger,2003,Whole Year ,Andhra Pradesh,1873.0,5614,826.0,185389.54,449.52,2.995
Ginger,2003,Kharif     ,Karnataka,8281.0,108540,867.6,819653.38,1987.44,12.818125
Ginger,2003,Whole Year ,Kerala,8516.0,32972,2386.0,842913.68,2043.84,2.874285714
Ginger,2003,Kharif     ,Meghalaya,8982.0,49215,3321.3,889038.36,2155.68,6.782857143
Ginger,2003,Kharif     ,Puducherry,187.0,156,1434.5875,18509.26,44.88,0.565
Ginger,2003,Kharif     ,Tamil Nadu,395.0,5599,345.6,39097.1,94.8,14.11833333
Ginger,2003,Kharif     ,West Bengal,8053.0,16419,1526.7,797085.94,1932.72,1.623529412
Ginger,2004,Kharif     ,Karnataka,11019.0,143455,1117.7,1193798.46,2313.99,12.84
Ginger,2004,Whole Year ,Kerala,9991.0,45305,2880.2,1082424.94,2098.11,3.022857143
Ginger,2004,Kharif     ,Meghalaya,9222.0,47138,4767.9,999111.48,1936.62,6.122857143
Ginger,2004,Kharif     ,Tamil Nadu,574.0,11076,1034.0,62187.16,120.54,19.255
Ginger,2005,Whole Year ,Andhra Pradesh,2161.0,16456,1075.5,259147.12,453.81,5.812222222
Ginger,2005,Whole Year ,Karnataka,21669.0,282411,1316.2,2598546.48,4550.49,12.82411765
Ginger,2005,Whole Year ,Kerala,12226.0,56288,3030.9,1466141.92,2567.46,3.258571429
Ginger,2005,Kharif     ,Meghalaya,9625.0,53609,3374.4,1154230.0,2021.25,6.558571429
Ginger,2005,Kharif     ,Tamil Nadu,660.0,12735,1364.1,79147.2,138.6,19.31714286
Ginger,2005,Kharif     ,West Bengal,7694.0,13953,1650.1,922664.48,1615.74,1.726111111
Ginger,2006,Kharif     ,Meghalaya,9639.0,57278,2454.7,1230996.69,2120.58,7.088571429
Ginger,2006,Whole Year ,Andhra Pradesh,2439.0,10301,845.2,311484.69,536.58,3.558
Ginger,2006,Whole Year ,Karnataka,17472.0,228694,1146.3,2231349.12,3843.84,12.83352941
Ginger,2006,Whole Year ,Kerala,11082.0,42496,3429.7,1415282.22,2438.04,3.239285714
Ginger,2006,Whole Year ,Tamil Nadu,669.0,12468,927.9,85437.99,147.18,18.65625
Ginger,2006,Kharif     ,West Bengal,9816.0,20061,1631.4,1253601.36,2159.52,1.741666667
