Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Groundnut,1997,Kharif     ,Karnataka,847666.0,525562,1266.7,80672373.22,262776.46,0.709411765
Groundnut,1997,Rabi       ,Karnataka,192416.0,181071,1266.7,18312230.72,59648.96,1.133333333
Groundnut,1997,Whole Year ,West Bengal,29615.0,38672,1852.9,2818459.55,9180.65,1.13
Groundnut,1998,Rabi       ,Puducherry,1046.0,2062,1434.5875,103344.8,303.34,1.54
Groundnut,1998,Kharif     ,Goa,350.0,412,2964.9,34580.0,101.5,1.18
Groundnut,1998,Rabi       ,Goa,1048.0,2124,2964.9,103542.4,303.92,2.03
Groundnut,1998,Kharif     ,Karnataka,1012577.0,929016,1260.8,100042607.6,293647.33,0.8568
Groundnut,1998,Rabi       ,Karnataka,217445.0,263118,1260.8,21483566.0,63059.05,1.3052
Groundnut,1998,Kharif     ,Kerala,7021.0,5219,3151.5,693674.8,2036.09,0.62
Groundnut,1998,Whole Year ,West Bengal,30157.0,34994,2152.5,2979511.6,8745.53,1.128571429
Groundnut,1999,Kharif     ,Goa,350.0,513,3879.3,37145.5,94.5,1.47
Groundnut,1999,Rabi       ,Goa,1004.0,1767,3879.3,106554.52,271.08,1.76
Groundnut,1999,Kharif     ,Kerala,6921.0,5144,2914.6,734525.73,1868.67,0.37
Groundnut,1999,Kharif     ,Puducherry,898.0,2511,1434.5875,95304.74,242.46,2.125
Groundnut,1999,Kharif     ,West Bengal,4804.0,3311,2318.1,509848.52,1297.08,1.16625
Groundnut,1999,Rabi       ,West Bengal,6098.0,9269,2318.1,647180.74,1646.46,1.525
Groundnut,1999,Summer     ,West Bengal,23233.0,33214,2318.1,2465718.29,6272.91,1.315
Groundnut,2000,Kharif     ,Andhra Pradesh,1601349.0,1697233,935.6,157204431.3,416350.74,0.904090909
Groundnut,2000,Rabi       ,Andhra Pradesh,272468.0,445720,935.6,26748183.56,70841.68,1.668181818
Groundnut,2000,Kharif     ,Goa,360.0,567,3886.9,35341.2,93.6,1.58
Groundnut,2000,Rabi       ,Goa,1421.0,2584,3886.9,139499.57,369.46,1.82
Groundnut,2000,Kharif     ,Karnataka,883611.0,881807,1213.3,86744091.87,229738.86,0.9464
Groundnut,2000,Rabi       ,Karnataka,179804.0,199299,1213.3,17651358.68,46749.04,1.173846154
Groundnut,2000,Kharif     ,Kerala,3677.0,2733,2412.6,360971.09,956.02,0.37
Groundnut,2000,Kharif     ,Puducherry,1175.0,2158,1434.5875,115349.75,305.5,1.62
Groundnut,2000,Kharif     ,West Bengal,2020.0,1594,1907.7,198303.4,525.2,0.968333333
Groundnut,2000,Rabi       ,West Bengal,8513.0,12379,1907.7,835721.21,2213.38,1.37
Groundnut,2000,Summer     ,West Bengal,25741.0,39433,1907.7,2526993.97,6692.66,1.355625
Groundnut,2001,Kharif     ,Andhra Pradesh,1438665.0,817551,928.4,146930856.5,374052.9,0.83
Groundnut,2001,Rabi       ,Andhra Pradesh,252453.0,432682,928.4,25783024.89,65637.78,1.765454545
Groundnut,2001,Kharif     ,Goa,148.0,137,2530.6,15115.24,38.48,0.93
Groundnut,2001,Rabi       ,Goa,1515.0,2390,2530.6,154726.95,393.9,1.58
Groundnut,2001,Kharif     ,Karnataka,854741.0,585707,1002.9,87294698.33,222232.66,0.843846154
Groundnut,2001,Kharif     ,Kerala,2437.0,1812,2946.7,248890.81,633.62,0.74
Groundnut,2001,Kharif     ,Puducherry,1229.0,1915,1434.5875,125517.77,319.54,1.195
Groundnut,2001,Kharif     ,West Bengal,2197.0,2126,1556.6,224379.61,571.22,1.16625
Groundnut,2001,Rabi       ,West Bengal,8679.0,11650,1556.6,886386.27,2256.54,1.285384615
Groundnut,2001,Summer     ,West Bengal,26029.0,41879,1556.6,2658341.77,6767.54,1.385
Groundnut,2002,Kharif     ,Andhra Pradesh,1270662.0,542342,648.1,120293571.5,317665.5,0.767727273
Groundnut,2002,Rabi       ,Andhra Pradesh,198962.0,278312,648.1,18835732.54,49740.5,1.495454545
Groundnut,2002,Kharif     ,Goa,241.0,348,2516.3,22815.47,60.25,1.44
Groundnut,2002,Rabi       ,Goa,2148.0,3915,2516.3,203351.16,537.0,1.82
Groundnut,2002,Kharif     ,Kerala,2422.0,1801,2511.2,229290.74,605.5,0.74
