Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Khesari,1997,Rabi       ,West Bengal,25261.0,28460,1852.9,2404089.37,7830.91,1.095882353
Khesari,1998,Rabi       ,West Bengal,23300.0,20850,2152.5,2302040.0,6757.0,0.774666667
Khesari,1999,Rabi       ,West Bengal,23091.0,21964,2318.1,2450647.83,6234.57,0.999375
Khesari,2000,Rabi       ,West Bengal,40018.0,42090,1907.7,3928567.06,10404.68,1.001875
Khesari,2001,Rabi       ,West Bengal,34665.0,28701,1556.6,3540336.45,9012.9,0.82625
Khesari,2002,Kharif     ,West Bengal,584.0,507,1629.1,55287.28,146.0,0.87
Khesari,2002,Rabi       ,West Bengal,32799.0,27084,1629.1,3105081.33,8199.75,0.8625
Khesari,2003,Rabi       ,West Bengal,35674.0,40944,1526.7,3531012.52,8561.76,0.977647059
Khesari,2005,Rabi       ,West Bengal,33253.0,30375,1650.1,3987699.76,6983.13,0.780588235
Khesari,2006,Rabi       ,West Bengal,32153.0,30496,1631.4,4106259.63,7073.66,0.802222222
Khesari,2007,Rabi       ,West Bengal,33501.0,26925,2007.5,4469033.4,5360.16,0.737647059
Khesari,2008,Rabi       ,West Bengal,27743.0,17412,1560.1,3968358.72,2496.87,0.619375
Khesari,1999,Rabi       ,Bihar,160964.0,160007,1402.7,17083109.32,43460.28,0.840285714
Khesari,2000,Rabi       ,Bihar,157086.0,143687,1207.0,15421132.62,40842.36,0.835833333
Khesari,2000,Rabi       ,Chhattisgarh,250812.0,108852,896.4,24622214.04,65211.12,0.452
Khesari,2001,Rabi       ,Bihar,156420.0,127817,1247.0,15975174.6,40669.2,0.748055556
Khesari,2001,Rabi       ,Chhattisgarh,415808.0,230495,1550.0,42466471.04,108110.08,0.578
Khesari,2002,Rabi       ,Bihar,140712.0,112666,1105.8,13321205.04,35178.0,0.722571429
Khesari,2002,Rabi       ,Chhattisgarh,330126.0,170345,1001.4,31253028.42,82531.5,0.526666667
Khesari,2003,Rabi       ,Bihar,133064.0,122574,1353.9,13170674.72,31935.36,0.835945946
Khesari,2003,Rabi       ,Chhattisgarh,460893.0,278840,1643.7,45619189.14,110614.32,0.622
Khesari,2004,Rabi       ,Bihar,118220.0,79661,1147.8,12807954.8,24826.2,0.571842105
Khesari,2004,Rabi       ,Chhattisgarh,449423.0,175275,1122.8,48690487.82,94378.83,0.433333333
Khesari,2004,Rabi       ,West Bengal,35048.0,33277,1612.9,3797100.32,7360.08,0.838823529
Khesari,2005,Rabi       ,Bihar,99047.0,78799,907.8,11877716.24,20799.87,0.734473684
Khesari,2005,Rabi       ,Chhattisgarh,458064.0,208265,1292.7,54931034.88,96193.44,0.456666667
Khesari,2006,Rabi       ,Bihar,101692.0,80253,1052.8,12987085.32,22372.24,0.788648649
Khesari,2006,Rabi       ,Chhattisgarh,425361.0,225224,1317.2,54322853.31,93579.42,0.537333333
Khesari,2006,Rabi       ,Madhya Pradesh,46723.0,36491,1072.3,5966994.33,10279.06,0.680689655
Khesari,2007,Rabi       ,Bihar,98114.0,82348,1600.2,13088407.6,15698.24,0.803684211
Khesari,2007,Rabi       ,Chhattisgarh,428553.0,553008,1246.2,57168970.2,68568.48,0.754
Khesari,2007,Rabi       ,Madhya Pradesh,51415.0,30078,740.4,6858761.0,8226.4,0.497857143
Khesari,2008,Rabi       ,Bihar,97195.0,79791,1197.7,13902772.8,8747.55,0.844054054
Khesari,2008,Rabi       ,Chhattisgarh,387565.0,211087,1117.9,55437297.6,34880.85,0.373125
Khesari,2008,Rabi       ,Madhya Pradesh,51566.0,38829,895.0,7376000.64,4640.94,0.672413793
Khesari,2009,Rabi       ,Bihar,78827.0,81666,889.3,12282823.14,13400.59,1.023684211
Khesari,2009,Rabi       ,Chhattisgarh,327479.0,193190,956.9,51027777.78,55671.43,0.569333333
Khesari,2009,Rabi       ,West Bengal,28127.0,19661,1317.2,4382749.14,4781.59,0.761875
Khesari,2009,Whole Year ,Madhya Pradesh,53778.0,40118,904.1,8379687.96,9142.26,0.646666667
Khesari,2010,Rabi       ,Bihar,74372.0,73175,629.2,12353932.92,17849.28,0.897297297
Khesari,2010,Rabi       ,Chhattisgarh,359198.0,223624,1283.1,59666379.78,86207.52,0.625
Khesari,2010,Rabi       ,Madhya Pradesh,52782.0,30033,856.3,8767618.02,12667.68,0.511333333
Khesari,2010,Rabi       ,West Bengal,25778.0,30222,1096.0,4281983.58,6186.72,1.116875
Khesari,2011,Rabi       ,Bihar,72755.0,92066,1097.1,12187917.6,24009.15,1.067297297
Khesari,2011,Rabi       ,Chhattisgarh,347612.0,206829,1302.7,58231962.24,114711.96,0.568095238
Khesari,2011,Rabi       ,Madhya Pradesh,53290.0,40447,852.6,8927140.8,17585.7,0.792758621
Khesari,2011,Rabi       ,West Bengal,25808.0,26651,1686.5,4323356.16,8516.64,0.977857143
Khesari,2012,Rabi       ,Bihar,71199.0,83797,924.1,10736809.2,22071.69,1.079428571
Khesari,2012,Rabi       ,Chhattisgarh,331839.0,159868,1366.8,50041321.2,102870.09,0.466818182
Khesari,2012,Rabi       ,Madhya Pradesh,47460.0,40246,1049.5,7156968.0,14712.6,0.836206897
Khesari,2012,Rabi       ,West Bengal,28488.0,35325,1566.0,4295990.4,8831.28,1.235333333
Khesari,2013,Rabi       ,Bihar,63233.0,70548,1069.9,9136536.17,17072.91,1.094411765
Khesari,2013,Rabi       ,Chhattisgarh,315247.0,174016,1418.3,45550039.03,85116.69,0.564782609
Khesari,2013,Rabi       ,Madhya Pradesh,46730.0,26122,1451.4,6752017.7,12617.1,0.629642857
Khesari,2013,Rabi       ,West Bengal,30728.0,38132,1939.9,4439888.72,8296.56,1.117333333
Khesari,2014,Rabi       ,Bihar,60661.0,60055,1061.0,9157384.56,20018.13,0.885428571
Khesari,2014,Rabi       ,Chhattisgarh,338202.0,297877,1274.7,51054973.92,111606.66,0.924347826
Khesari,2014,Rabi       ,West Bengal,33013.0,41047,1483.5,4983642.48,10894.29,1.166428571
Khesari,2015,Rabi       ,Bihar,54606.0,50987,874.0,8622833.46,18019.98,0.938571429
Khesari,2015,Rabi       ,Chhattisgarh,273764.0,172471,1136.0,43230073.24,90342.12,0.470434783
Khesari,2015,Rabi       ,West Bengal,65422.0,58625,1717.0,10330788.02,21589.26,0.894375
Khesari,2016,Rabi       ,Bihar,52102.0,55176,1205.6,7984631.5,18235.7,0.947714286
Khesari,2016,Rabi       ,Chhattisgarh,222628.0,263154,1298.9,34117741.0,77919.8,1.545652174
Khesari,2016,Rabi       ,West Bengal,45294.0,55041,1795.8,6941305.5,15852.9,1.154761905
Khesari,2017,Rabi       ,Bihar,47591.0,50314,1112.0,7492727.04,18084.58,0.884411765
Khesari,2017,Rabi       ,Chhattisgarh,214168.0,129787,1124.5,33718609.92,81383.84,0.540416667
Khesari,2017,Rabi       ,West Bengal,85634.0,83186,1830.0,13482216.96,32540.92,0.998571429
Khesari,2018,Rabi       ,Bihar,50452.0,51379,1521.4,8183314.4,17658.2,0.854545455
