Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Moong(Green Gram),1997,Kharif     ,West Bengal,1490.0,711,1852.9,141803.3,461.9,0.548888889
Moong(Green Gram),1997,Rabi       ,West Bengal,3269.0,1710,1852.9,311110.73,1013.39,0.542857143
Moong(Green Gram),1997,Summer     ,West Bengal,9959.0,303,1852.9,947798.03,3087.29,0.046
Moong(Green Gram),1998,Kharif     ,Karnataka,311720.0,61227,1260.8,30797936.0,90398.8,0.180769231
Moong(Green Gram),1998,Rabi       ,Karnataka,15627.0,7005,1260.8,1543947.6,4531.83,0.438823529
Moong(Green Gram),1998,Kharif     ,West Bengal,822.0,429,2152.5,81213.6,238.38,0.5075
Moong(Green Gram),1998,Rabi       ,West Bengal,2729.0,1598,2152.5,269625.2,791.41,0.61
Moong(Green Gram),1998,Summer     ,West Bengal,9320.0,2980,2152.5,920816.0,2702.8,0.312857143
Moong(Green Gram),1999,Rabi       ,Puducherry,2453.0,1321,1434.5875,260336.89,662.31,0.553333333
Moong(Green Gram),1999,Kharif     ,West Bengal,578.0,293,2318.1,61343.14,156.06,0.5325
Moong(Green Gram),1999,Rabi       ,West Bengal,2375.0,1465,2318.1,252058.75,641.25,0.615
Moong(Green Gram),1999,Summer     ,West Bengal,7947.0,3942,2318.1,843415.11,2145.69,0.850625
Moong(Green Gram),2000,Kharif     ,Andhra Pradesh,392017.0,141194,935.6,38484308.89,101924.42,0.404090909
Moong(Green Gram),2000,Rabi       ,Andhra Pradesh,128365.0,43016,935.6,12601592.05,33374.9,0.371578947
Moong(Green Gram),2000,Kharif     ,Karnataka,435355.0,180709,1213.3,42738800.35,113192.3,0.419130435
Moong(Green Gram),2000,Rabi       ,Karnataka,15474.0,4147,1213.3,1519082.58,4023.24,0.26875
Moong(Green Gram),2000,Kharif     ,Puducherry,2480.0,1400,1434.5875,243461.6,644.8,0.586666667
Moong(Green Gram),2000,Rabi       ,Puducherry,2480.0,1400,1434.5875,243461.6,644.8,0.586666667
Moong(Green Gram),2000,Kharif     ,West Bengal,635.0,308,1907.7,62337.95,165.1,0.498571429
Moong(Green Gram),2000,Rabi       ,West Bengal,2410.0,1402,1907.7,236589.7,626.6,0.583636364
Moong(Green Gram),2000,Summer     ,West Bengal,8197.0,4809,1907.7,804699.49,2131.22,0.544666667
Moong(Green Gram),2001,Kharif     ,Andhra Pradesh,338337.0,113312,928.4,34554357.81,87967.62,0.408636364
Moong(Green Gram),2001,Rabi       ,Andhra Pradesh,137698.0,42031,928.4,14063096.74,35801.48,0.351
Moong(Green Gram),2001,Rabi       ,Assam,8206.0,3740,1824.7,838078.78,2133.56,0.44173913
Moong(Green Gram),2001,Kharif     ,Karnataka,251332.0,65336,1002.9,25668537.16,65346.32,0.31826087
Moong(Green Gram),2001,Rabi       ,Karnataka,7111.0,2090,1002.9,726246.43,1848.86,0.282941176
Moong(Green Gram),2001,Rabi       ,Puducherry,544.0,105,1434.5875,55558.72,141.44,0.236666667
Moong(Green Gram),2001,Kharif     ,West Bengal,619.0,311,1556.6,63218.47,160.94,0.556666667
Moong(Green Gram),2001,Rabi       ,West Bengal,1814.0,998,1556.6,185263.82,471.64,0.569
Moong(Green Gram),2001,Summer     ,West Bengal,8468.0,4733,1556.6,864836.84,2201.68,0.549444444
Moong(Green Gram),2002,Kharif     ,Andhra Pradesh,355292.0,87862,648.1,33635493.64,88823.0,0.217272727
