Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Niger seed,1997,Whole Year ,Assam,9914.0,5076,2051.4,943515.38,3073.34,0.482352941
Niger seed,1997,Rabi       ,West Bengal,50808100.0,38657300,1852.9,4835406877.0,15750511.0,0.698888889
Niger seed,1997,Whole Year ,West Bengal,6512.0,3522,1852.9,619747.04,2018.72,0.40375
Niger seed,1998,Kharif     ,Assam,8753.0,4478,2354.4,864796.4,2538.37,0.520555556
Niger seed,1998,Kharif     ,Karnataka,41853.0,8104,1260.8,4135076.4,12137.37,0.214782609
Niger seed,1998,Kharif     ,West Bengal,7587.0,4100,2152.5,749595.6,2200.23,0.4075
Niger seed,1999,Kharif     ,Assam,8904.0,4582,2201.8,944981.52,2404.08,0.548947368
Niger seed,1999,Kharif     ,West Bengal,6733.0,3528,2318.1,714573.29,1817.91,0.3875
Niger seed,2000,Kharif     ,Andhra Pradesh,18452.0,6001,935.6,1811432.84,4797.52,0.36
Niger seed,2000,Kharif     ,Assam,9044.0,4653,1965.5,887849.48,2351.44,0.627368421
Niger seed,2000,Kharif     ,Karnataka,43842.0,8382,1213.3,4303969.14,11398.92,0.213043478
Niger seed,2000,Kharif     ,West Bengal,6874.0,3702,1907.7,674820.58,1787.24,0.405555556
Niger seed,2001,Kharif     ,Andhra Pradesh,19090.0,8017,928.4,1949661.7,4963.4,0.38
Niger seed,2001,Kharif     ,Assam,8914.0,4567,1824.7,910386.82,2317.64,0.532777778
Niger seed,2001,Kharif     ,Karnataka,36198.0,7034,1002.9,3696901.74,9411.48,0.213043478
Niger seed,2001,Kharif     ,West Bengal,6362.0,3229,1556.6,649751.06,1654.12,0.466666667
Niger seed,2002,Kharif     ,Andhra Pradesh,14919.0,5743,648.1,1412381.73,3729.75,0.38
Niger seed,2002,Kharif     ,Assam,9904.0,5060,1973.6,937611.68,2476.0,0.52
Niger seed,2002,Kharif     ,West Bengal,6809.0,3596,1629.1,644608.03,1702.25,0.50625
Niger seed,2003,Kharif     ,Andhra Pradesh,17295.0,6792,826.0,1711859.1,4150.8,0.375
Niger seed,2003,Kharif     ,Assam,9747.0,5001,2213.7,964758.06,2339.28,0.538333333
Niger seed,2003,Kharif     ,Karnataka,27485.0,5158,867.6,2720465.3,6596.4,0.213043478
Niger seed,2003,Kharif     ,West Bengal,7954.0,4953,1526.7,787286.92,1908.96,0.54625
Niger seed,2004,Kharif     ,Karnataka,32700.0,6169,1117.7,3542718.0,6867.0,0.213913043
Niger seed,2004,Kharif     ,Tamil Nadu,1239.0,0,1034.0,134233.26,260.19,0.0
Niger seed,2005,Kharif     ,Andhra Pradesh,15748.0,6097,1075.5,1888500.16,3307.08,0.465
Niger seed,2005,Kharif     ,Assam,7374.0,3787,2184.6,884290.08,1548.54,0.529545455
Niger seed,2005,Kharif     ,Karnataka,33184.0,6366,1316.2,3979425.28,6968.64,0.212173913
Niger seed,2005,Kharif     ,Tamil Nadu,638.0,0,1364.1,76508.96,133.98,0.0
Niger seed,2005,Kharif     ,West Bengal,5033.0,3270,1650.1,603557.36,1056.93,0.45875
Niger seed,2006,Kharif     ,Andhra Pradesh,14547.0,5334,845.2,1857797.37,3200.34,0.4225
Niger seed,2006,Kharif     ,Assam,10029.0,5147,1774.9,1280803.59,2206.38,0.53
Niger seed,2006,Kharif     ,Karnataka,27426.0,5197,1146.3,3502574.46,6033.72,0.213043478
Niger seed,2006,Kharif     ,West Bengal,4930.0,3218,1631.4,629610.3,1084.6,0.481428571
Niger seed,2007,Kharif     ,Assam,8627.0,4420,2154.1,1150841.8,1380.32,0.535652174
Niger seed,2007,Kharif     ,Karnataka,31244.0,11750,1323.3,4167949.6,4999.04,0.349166667
Niger seed,2007,Kharif     ,West Bengal,4883.0,3187,2007.5,651392.2,781.28,0.518333333
Niger seed,2008,Kharif     ,Andhra Pradesh,12494.0,5469,944.6,1787141.76,1124.46,0.4625
Niger seed,2008,Kharif     ,Assam,7493.0,3821,2109.9,1071798.72,674.37,0.509565217
Niger seed,2008,Kharif     ,Karnataka,25337.0,8678,1164.1,3624204.48,2280.33,0.3416
Niger seed,2008,Kharif     ,West Bengal,5000.0,3297,1560.1,715200.0,450.0,0.548571429
Niger seed,2009,Kharif     ,Andhra Pradesh,7663.0,2632,711.0,1194048.66,1302.71,0.376666667
Niger seed,2009,Kharif     ,Assam,7645.0,3925,1727.1,1191243.9,1299.65,0.51
Niger seed,2009,Kharif     ,Karnataka,26380.0,9250,1321.0,4110531.6,4484.6,0.33375
Niger seed,2010,Kharif     ,Assam,7811.0,4020,2578.5,1297485.21,1874.64,0.5284
Niger seed,2010,Kharif     ,Andhra Pradesh,10007.0,3823,1297.0,1662262.77,2401.68,0.335
Niger seed,2010,Kharif     ,Karnataka,23385.0,7041,1317.7,3884482.35,5612.4,0.300769231
Niger seed,2011,Kharif     ,Assam,8423.0,4372,1743.4,1411020.96,2779.59,0.604347826
Niger seed,2011,Kharif     ,Andhra Pradesh,6880.0,2558,861.9,1152537.6,2270.4,0.28
Niger seed,2011,Kharif     ,Karnataka,18547.0,5042,1178.986364,3106993.44,6120.51,0.268846154
Niger seed,2012,Rabi       ,Andhra Pradesh,8273.0,5813,968.7,1247568.4,2564.63,0.63
Niger seed,2012,Kharif     ,Assam,7669.0,4059,2167.5,1156485.2,2377.39,0.572608696
Niger seed,2012,Kharif     ,Karnataka,11639.0,2791,956.2,1755161.2,3608.09,0.2492
Niger seed,2013,Kharif     ,Andhra Pradesh,21.0,11,1062.3,3034.29,5.67,0.52
Niger seed,2013,Rabi       ,Andhra Pradesh,8789.0,4483,1062.3,1269922.61,2373.03,0.47
Niger seed,2013,Kharif     ,Assam,7273.0,4493,1797.7,1050875.77,1963.71,0.587391304
Niger seed,2013,Kharif     ,Karnataka,14277.0,3125,1235.6,2062883.73,3854.79,0.2196
Niger seed,2014,Rabi       ,Andhra Pradesh,7378.0,2376,687.6,1113782.88,2434.74,0.41
Niger seed,2014,Kharif     ,Assam,7152.0,4427,1899.0,1079665.92,2360.16,0.590454545
Niger seed,2014,Kharif     ,Karnataka,10906.0,2885,1238.5,1646369.76,3598.98,0.2636
Niger seed,2015,Rabi       ,Andhra Pradesh,6685.0,2578,940.7,1055628.35,2206.05,0.445
