Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Oilseeds total,2015,Kharif     ,Andhra Pradesh,849779.0,1945561,940.7,134188601.9,280427.07,5.453076923
Oilseeds total,2016,Kharif     ,Andhra Pradesh,1198491.0,2250605,890.0,183668745.8,419471.85,4.020769231
Oilseeds total,2016,Rabi       ,Andhra Pradesh,133813.0,240747,890.0,20506842.25,46834.55,1.706923077
Oilseeds total,2017,Kharif     ,Andhra Pradesh,786064.0,2643671,868.2,123757916.2,298704.32,7.239230769
Oilseeds total,2017,Rabi       ,Andhra Pradesh,128634.0,232855,868.2,20252136.96,48880.92,1.855384615
Oilseeds total,2018,Kharif     ,Andhra Pradesh,941981.0,2321558,1220.5,152789318.2,329693.35,4.400769231
Oilseeds total,2018,Rabi       ,Andhra Pradesh,114507.0,148801,1220.5,18573035.4,40077.45,1.439230769
Oilseeds total,2019,Kharif     ,Andhra Pradesh,712037.0,2914652,899.2,122299475.1,263453.69,8.527692308
Oilseeds total,2019,Rabi       ,Andhra Pradesh,141100.0,250093,899.2,24235336.0,52207.0,1.720769231
Oilseeds total,1998,Whole Year ,Gujarat,2902856.0,3845031,775.6,286802172.8,841828.24,1.342105263
Oilseeds total,1998,Whole Year ,Arunachal Pradesh,26481.0,25300,3616.7,2616322.8,7679.49,0.955384615
Oilseeds total,1999,Whole Year ,Arunachal Pradesh,27748.0,27228,2338.6,2944895.24,7491.96,0.943076923
Oilseeds total,2000,Whole Year ,Arunachal Pradesh,26301.0,27252,2157.7,2581969.17,6838.26,1.003846154
Oilseeds total,2001,Whole Year ,Arunachal Pradesh,27560.0,29307,2128.5,2814702.8,7165.6,1.021538462
Oilseeds total,2002,Whole Year ,Arunachal Pradesh,28494.0,29821,2832.8,2697526.98,7123.5,1.007333333
Oilseeds total,2003,Whole Year ,Arunachal Pradesh,28024.0,28478,2782.2,2773815.52,6725.76,0.991333333
Oilseeds total,2004,Whole Year ,Arunachal Pradesh,27139.0,26281,2939.5,2940239.26,5699.19,1.044666667
Oilseeds total,2005,Whole Year ,Arunachal Pradesh,27566.0,23695,2767.0,3305714.72,5788.86,0.955333333
Oilseeds total,2006,Whole Year ,Arunachal Pradesh,32160.0,29265,1940.0,4107153.6,7075.2,0.959375
Oilseeds total,2007,Whole Year ,Arunachal Pradesh,30749.0,28568,3223.9,4101916.6,4919.84,0.9325
Oilseeds total,2008,Whole Year ,Arunachal Pradesh,31785.0,31016,2244.4,4546526.4,2860.65,0.995
Oilseeds total,2009,Whole Year ,Arunachal Pradesh,121468.0,215842,1701.9,18927143.76,20649.56,1.679375
Oilseeds total,2010,Whole Year ,Arunachal Pradesh,31854.0,29251,2574.1,5291267.94,7644.96,1.085625
Oilseeds total,2011,Whole Year ,Arunachal Pradesh,32500.0,33000,2193.7,5444400.0,10725.0,1.185625
Oilseeds total,2012,Whole Year ,Arunachal Pradesh,32767.0,31285,2760.7,4941263.6,10157.77,1.12125
Oilseeds total,2013,Whole Year ,Arunachal Pradesh,33114.0,31635,2042.9,4784641.86,8940.78,1.115294118
Oilseeds total,2014,Whole Year ,Arunachal Pradesh,35000.0,33950,2403.2,5283600.0,11550.0,1.082941176
Oilseeds total,2015,Whole Year ,Arunachal Pradesh,35000.0,36400,2593.2,5526850.0,11550.0,1.135
Oilseeds total,1997,Whole Year ,Arunachal Pradesh,26118.0,24290,2274.9,2485650.06,8096.58,0.950769231
