Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Onion,1997,Whole Year ,Assam,7832.0,17943,2051.4,745371.44,2427.92,2.342608696
Onion,1998,Kharif     ,Puducherry,26.0,429,1434.5875,2568.8,7.54,16.5
Onion,1998,Whole Year ,Assam,8083.0,18341,2354.4,798600.4,2344.07,2.340434783
Onion,1998,Kharif     ,Karnataka,79921.0,362053,1260.8,7896194.8,23177.09,5.363636364
Onion,1998,Rabi       ,Karnataka,8882.0,91057,1260.8,877541.6,2575.78,8.936315789
Onion,1998,Summer     ,Karnataka,4797.0,55339,1260.8,473943.6,1391.13,11.86631579
Onion,1999,Whole Year ,Assam,7365.0,17167,2201.8,781647.45,1988.55,2.322173913
Onion,1999,Whole Year ,Puducherry,14.0,183,1434.5875,1485.82,3.78,13.07
Onion,2000,Kharif     ,Andhra Pradesh,17058.0,227873,935.6,1674583.86,4435.08,12.77315789
Onion,2000,Rabi       ,Andhra Pradesh,13248.0,308617,935.6,1300556.16,3444.48,22.5085
Onion,2000,Whole Year ,Assam,7359.0,17156,1965.5,722433.03,1913.34,2.331304348
Onion,2000,Whole Year ,Karnataka,120358.0,645357,1213.3,11815544.86,31293.08,6.0164
Onion,2000,Whole Year ,Puducherry,13.0,202,1434.5875,1276.21,3.38,15.54
Onion,2001,Kharif     ,Andhra Pradesh,17736.0,234978,928.4,1811377.68,4611.36,12.74411765
Onion,2001,Rabi       ,Andhra Pradesh,14089.0,324477,928.4,1438909.57,3663.14,21.08136364
Onion,2001,Whole Year ,Assam,7476.0,17453,1824.7,763523.88,1943.76,2.351304348
Onion,2001,Whole Year ,Karnataka,125815.0,721033,1002.9,12849485.95,32711.9,7.9108
Onion,2001,Whole Year ,Puducherry,16.0,251,1434.5875,1634.08,4.16,15.69
Onion,2002,Kharif     ,Andhra Pradesh,15403.0,171950,648.1,1458202.01,3850.75,10.49411765
Onion,2002,Rabi       ,Andhra Pradesh,11725.0,240657,648.1,1110005.75,2931.25,19.15952381
Onion,2002,Whole Year ,Assam,7500.0,17467,1973.6,710025.0,1875.0,2.337826087
Onion,2002,Whole Year ,Tamil Nadu,23492.0,198715,315.9,2223987.64,5873.0,8.54625
Onion,2003,Kharif     ,Andhra Pradesh,16862.0,234546,826.0,1669000.76,4046.88,12.80157895
Onion,2003,Rabi       ,Andhra Pradesh,12187.0,284935,826.0,1206269.26,2924.88,19.88333333
Onion,2003,Whole Year ,Assam,7332.0,17142,2213.7,725721.36,1759.68,2.34173913
Onion,2003,Whole Year ,Karnataka,101221.0,360469,867.6,10018854.58,24293.04,6.0956
Onion,2003,Whole Year ,Puducherry,7.0,100,1434.5875,692.86,1.68,8.75
Onion,2003,Whole Year ,Tamil Nadu,23452.0,211173,345.6,2321278.96,5628.48,8.768076923
Onion,2004,Whole Year ,Karnataka,136038.0,841333,1117.7,14738356.92,28567.98,7.8688
Onion,2004,Whole Year ,Tamil Nadu,26491.0,256359,1034.0,2870034.94,5563.11,9.490357143
Onion,2005,Kharif     ,Andhra Pradesh,20434.0,364201,1075.5,2450445.28,4291.14,15.5455
Onion,2005,Rabi       ,Andhra Pradesh,15952.0,332092,1075.5,1912963.84,3349.92,20.49047619
Onion,2005,Whole Year ,Assam,7726.0,18291,2184.6,926501.92,1622.46,2.373333333
Onion,2005,Kharif     ,Karnataka,136344.0,759619,1316.2,16350372.48,28632.24,6.543913043
Onion,2005,Rabi       ,Karnataka,10900.0,112992,1316.2,1307128.0,2289.0,10.36952381
Onion,2005,Summer     ,Karnataka,4075.0,67545,1316.2,488674.0,855.75,16.31842105
Onion,2005,Whole Year ,Tamil Nadu,29169.0,233796,1364.1,3497946.48,6125.49,8.07826087
Onion,2006,Rabi       ,Puducherry,1.0,4,1434.5875,127.71,0.22,4.0
Onion,2006,Summer     ,Puducherry,2.0,10,1434.5875,255.42,0.44,5.0
Onion,2006,Kharif     ,Andhra Pradesh,18601.0,306843,845.2,2375533.71,4092.22,15.37055556
Onion,2006,Rabi       ,Andhra Pradesh,12439.0,272602,845.2,1588584.69,2736.58,19.59105263
Onion,2006,Whole Year ,Assam,6870.0,16775,1774.9,877367.7,1511.4,2.384814815
Onion,2006,Whole Year ,Karnataka,151289.0,859132,1146.3,19321118.19,33283.58,6.4348
Onion,2006,Whole Year ,Tamil Nadu,29587.0,258333,927.9,3778555.77,6509.14,8.720454545
Onion,2007,Rabi       ,Puducherry,3.0,25,1434.5875,400.2,0.48,8.33
Onion,2007,Whole Year ,Assam,6697.0,16323,2154.1,893379.8,1071.52,2.37037037
Onion,2007,Kharif     ,Karnataka,165668.0,987538,1323.3,22100111.2,26506.88,6.5028
Onion,2007,Rabi       ,Karnataka,11727.0,98738,1323.3,1564381.8,1876.32,8.509047619
Onion,2007,Summer     ,Karnataka,4706.0,39752,1323.3,627780.4,752.96,7.833809524
Onion,2007,Whole Year ,Tamil Nadu,29809.0,287208,1067.2,3976520.6,4769.44,9.574347826
Onion,2008,Kharif     ,Andhra Pradesh,26723.0,439644,944.6,3822457.92,2405.07,15.30888889
Onion,2008,Rabi       ,Andhra Pradesh,13737.0,289004,944.6,1964940.48,1236.33,18.40631579
Onion,2008,Whole Year ,Assam,6963.0,16816,2109.9,995987.52,626.67,2.381481481
Onion,2008,Kharif     ,Karnataka,117822.0,611170,1164.1,16853258.88,10603.98,5.7176
Onion,2008,Rabi       ,Karnataka,13415.0,89581,1164.1,1918881.6,1207.35,6.771363636
Onion,2008,Summer     ,Karnataka,3775.0,20587,1164.1,539976.0,339.75,5.57952381
Onion,2008,Whole Year ,Tamil Nadu,30255.0,286040,1201.9,4327675.2,2722.95,10.1544
Onion,2009,Kharif     ,Andhra Pradesh,22954.0,374804,711.0,3576692.28,3902.18,15.85611111
Onion,2009,Rabi       ,Andhra Pradesh,13608.0,333288,711.0,2120398.56,2313.36,25.09052632
Onion,2009,Whole Year ,Assam,6785.0,15801,1727.1,1057238.7,1153.45,2.375185185
Onion,2009,Kharif     ,Karnataka,174311.0,615452,1321.0,27161140.02,29632.87,4.2968
Onion,2009,Rabi       ,Karnataka,13815.0,81847,1321.0,2152653.3,2348.55,7.0895
Onion,2009,Summer     ,Karnataka,3777.0,28828,1321.0,588532.14,642.09,7.65
Onion,2009,Whole Year ,Tamil Nadu,31024.0,302563,928.5,4834159.68,5274.08,9.8704
Onion,2010,Rabi       ,Puducherry,1.0,7,1434.5875,166.11,0.24,7.0
Onion,2010,Whole Year ,Assam,6906.0,15408,2578.5,1147155.66,1657.44,2.308518519
Onion,2010,Kharif     ,Andhra Pradesh,25612.0,499564,1297.0,4254409.32,6146.88,17.78625
Onion,2010,Rabi       ,Andhra Pradesh,17787.0,360959,1297.0,2954598.57,4268.88,18.2145
Onion,2010,Kharif     ,Karnataka,143154.0,893739,1317.7,23779310.94,34356.96,6.8968
Onion,2010,Rabi       ,Karnataka,14430.0,98814,1317.7,2396967.3,3463.2,7.219047619
Onion,2010,Summer     ,Karnataka,4680.0,49792,1317.7,777394.8,1123.2,10.59809524
Onion,2011,Rabi       ,Puducherry,1.0,7,1434.5875,167.52,0.33,7.0
Onion,2011,Whole Year ,Assam,7372.0,22595,1743.4,1234957.44,2432.76,3.02962963
Onion,2011,Kharif     ,Andhra Pradesh,39613.0,554878,861.9,6635969.76,13072.29,13.41823529
Onion,2011,Rabi       ,Andhra Pradesh,17378.0,444871,861.9,2911162.56,5734.74,24.52894737
Onion,2011,Kharif     ,Karnataka,136540.0,674001,1178.986364,22873180.8,45058.2,5.5184
Onion,2011,Rabi       ,Karnataka,13695.0,108989,1178.986364,2294186.4,4519.35,8.495454545
Onion,2011,Summer     ,Karnataka,3572.0,21998,1178.986364,598381.44,1178.76,6.214285714
Onion,2011,Whole Year ,Tamil Nadu,34913.0,376947,926.5,5848625.76,11521.29,11.16703704
Onion,2012,Kharif     ,Andhra Pradesh,25000.0,450000,968.7,3770000.0,7750.0,15.35285714
Onion,2012,Rabi       ,Andhra Pradesh,14000.0,386000,968.7,2111200.0,4340.0,25.34375
Onion,2012,Whole Year ,Assam,7099.0,25893,2167.5,1070529.2,2200.69,3.265185185
Onion,2012,Kharif     ,Karnataka,67739.0,359625,956.2,10215041.2,20999.09,5.5388
Onion,2012,Rabi       ,Karnataka,12087.0,79118,956.2,1822719.6,3746.97,7.056666667
Onion,2012,Summer     ,Karnataka,3543.0,20096,956.2,534284.4,1098.33,5.650952381
Onion,2012,Whole Year ,Kerala,40.0,0,2187.6,6032.0,12.4,0.0
Onion,2013,Kharif     ,Andhra Pradesh,20959.0,394680,1062.3,3028365.91,5658.93,18.40181818
Onion,2013,Rabi       ,Andhra Pradesh,5326.0,117905,1062.3,769553.74,1438.02,19.63545455
Onion,2013,Whole Year ,Assam,7436.0,28812,1797.7,1074427.64,2007.72,3.347037037
Onion,2013,Kharif     ,Karnataka,112723.0,745697,1235.6,16287346.27,30435.21,6.9688
Onion,2013,Rabi       ,Karnataka,19940.0,140107,1235.6,2881130.6,5383.8,7.312608696
Onion,2013,Summer     ,Karnataka,5914.0,46434,1235.6,854513.86,1596.78,8.033333333
Onion,2013,Whole Year ,Kerala,103.0,0,3255.4,14882.47,27.81,0.0
Onion,2013,Kharif     ,Tamil Nadu,9104.0,105866,740.9,1315436.96,2458.08,11.31961538
Onion,2013,Rabi       ,Tamil Nadu,15883.0,134505,740.9,2294934.67,4288.41,8.304615385
Onion,2014,Kharif     ,Andhra Pradesh,29445.0,540640,687.6,4445017.2,9716.85,17.84545455
Onion,2014,Rabi       ,Andhra Pradesh,3983.0,85150,687.6,601273.68,1314.39,19.12090909
Onion,2014,Whole Year ,Assam,8283.0,32421,1899.0,1250401.68,2733.39,3.382592593
Onion,2014,Kharif     ,Karnataka,165553.0,850280,1238.5,24991880.88,54632.49,5.48
Onion,2014,Rabi       ,Karnataka,13779.0,91319,1238.5,2080077.84,4547.07,7.599090909
Onion,2014,Summer     ,Karnataka,5782.0,28365,1238.5,872850.72,1908.06,5.114090909
Onion,2014,Whole Year ,Kerala,61.0,0,3046.4,9208.56,20.13,0.0
Onion,2014,Rabi       ,Meghalaya,499.0,4231,3484.4,75329.04,164.67,8.006
Onion,2014,Kharif     ,Tamil Nadu,11835.0,100221,911.3,1786611.6,3905.55,8.114074074
Onion,2014,Rabi       ,Tamil Nadu,16270.0,140110,911.3,2456119.2,5369.1,8.551111111
Onion,2015,Kharif     ,Andhra Pradesh,33867.0,573224,940.7,5347937.97,11176.11,16.65909091
Onion,2015,Rabi       ,Andhra Pradesh,7375.0,122524,940.7,1164586.25,2433.75,14.99583333
Onion,2015,Summer     ,Puducherry,1.0,6,1980.6,157.91,0.33,6.0
Onion,2015,Whole Year ,Assam,8503.0,80339,2155.3,1342708.73,2805.99,6.916296296
Onion,2015,Rabi       ,Meghalaya,521.0,4595,3870.8,82271.11,171.93,8.331
Onion,2015,Kharif     ,Karnataka,173510.0,757715,1024.9,27398964.1,57258.3,4.7168
Onion,2015,Rabi       ,Karnataka,15694.0,88814,1024.9,2478239.54,5179.02,6.207083333
Onion,2015,Summer     ,Karnataka,6246.0,27006,1024.9,986305.86,2061.18,4.536666667
Onion,2015,Whole Year ,Kerala,27.0,0,2602.9,4263.57,8.91,0.0
Onion,2015,Kharif     ,Tamil Nadu,16013.0,154375,1201.9,2528612.83,5284.29,9.524166667
Onion,2015,Rabi       ,Tamil Nadu,19796.0,128339,1201.9,3125986.36,6532.68,6.711071429
Onion,2016,Kharif     ,Andhra Pradesh,32006.0,555944,890.0,4904919.5,11202.1,21.05416667
