Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Peas & beans (Pulses),1998,Kharif     ,Karnataka,1730.0,15872,1260.8,170924.0,501.7,9.265882353
Peas & beans (Pulses),1998,Rabi       ,Karnataka,494.0,4882,1260.8,48807.2,143.26,8.948181818
Peas & beans (Pulses),1998,Summer     ,Karnataka,1583.0,13707,1260.8,156400.4,459.07,7.827
Peas & beans (Pulses),1998,Rabi       ,West Bengal,9230.0,6776,2152.5,911924.0,2676.7,0.70625
Peas & beans (Pulses),1999,Rabi       ,West Bengal,7041.0,6027,2318.1,747261.33,1901.07,0.931333333
Peas & beans (Pulses),2000,Rabi       ,West Bengal,7338.0,6111,1907.7,720371.46,1907.88,0.843333333
Peas & beans (Pulses),2001,Rabi       ,Assam,24375.0,14305,1824.7,2489418.75,6337.5,0.587826087
Peas & beans (Pulses),2001,Whole Year ,Karnataka,6974.0,42197,1002.9,712254.62,1813.24,6.209444444
Peas & beans (Pulses),2001,Rabi       ,West Bengal,8836.0,5602,1556.6,902420.68,2297.36,0.596666667
Peas & beans (Pulses),2002,Rabi       ,Assam,23077.0,13684,1973.6,2184699.59,5769.25,0.585217391
Peas & beans (Pulses),2002,Rabi       ,West Bengal,10754.0,8635,1629.1,1018081.18,2688.5,0.807647059
Peas & beans (Pulses),2003,Rabi       ,Assam,25133.0,14866,2213.7,2487664.34,6031.92,0.586956522
Peas & beans (Pulses),2003,Rabi       ,West Bengal,14607.0,17206,1526.7,1445800.86,3505.68,1.140588235
Peas & beans (Pulses),2005,Rabi       ,Assam,17875.0,11309,2184.6,2143570.0,3753.75,0.618518519
Peas & beans (Pulses),2005,Kharif     ,Karnataka,4174.0,25514,1316.2,500546.08,876.54,5.612105263
Peas & beans (Pulses),2005,Rabi       ,Karnataka,686.0,4824,1316.2,82265.12,144.06,7.193333333
Peas & beans (Pulses),2005,Summer     ,Karnataka,525.0,2655,1316.2,62958.0,110.25,5.036875
Peas & beans (Pulses),2005,Rabi       ,West Bengal,13131.0,11504,1650.1,1574669.52,2757.51,0.936470588
Peas & beans (Pulses),2006,Rabi       ,Assam,19143.0,11716,1774.9,2444752.53,4211.46,0.616666667
Peas & beans (Pulses),2006,Rabi       ,West Bengal,12495.0,8436,1631.4,1595736.45,2748.9,0.679411765
Peas & beans (Pulses),2007,Rabi       ,Assam,22514.0,13800,2154.1,3003367.6,3602.24,0.624814815
Peas & beans (Pulses),2007,Rabi       ,West Bengal,9851.0,7161,2007.5,1314123.4,1576.16,0.779375
Peas & beans (Pulses),2008,Rabi       ,Assam,20943.0,12964,2109.9,2995686.72,1884.87,0.632222222
Peas & beans (Pulses),2008,Rabi       ,West Bengal,8815.0,6731,1560.1,1260897.6,793.35,0.695333333
Peas & beans (Pulses),2009,Rabi       ,Assam,22013.0,13412,1727.1,3430065.66,3742.21,0.623703704
Peas & beans (Pulses),2009,Rabi       ,Meghalaya,1012.0,1384,2995.9,157689.84,172.04,1.202857143
Peas & beans (Pulses),2010,Rabi       ,Assam,22401.0,13365,2578.5,3721030.11,5376.24,0.604814815
Peas & beans (Pulses),2010,Kharif     ,Karnataka,4019.0,35992,1317.7,667596.09,964.56,8.276842105
Peas & beans (Pulses),2010,Rabi       ,Karnataka,2140.0,15096,1317.7,355475.4,513.6,7.131764706
Peas & beans (Pulses),2010,Summer     ,Karnataka,1470.0,12493,1317.7,244181.7,352.8,8.156875
Peas & beans (Pulses),2010,Rabi       ,Meghalaya,1035.0,1420,3119.7,171923.85,248.4,1.274285714
Peas & beans (Pulses),2011,Rabi       ,Assam,21151.0,13602,1743.4,3543215.52,6979.83,0.645925926
Peas & beans (Pulses),2011,Kharif     ,Karnataka,3589.0,31982,1178.986364,601229.28,1184.37,8.606666667
Peas & beans (Pulses),2011,Rabi       ,Karnataka,1321.0,9710,1178.986364,221293.92,435.93,7.387647059
Peas & beans (Pulses),2011,Summer     ,Karnataka,1345.0,12183,1178.986364,225314.4,443.85,8.729333333
Peas & beans (Pulses),2011,Rabi       ,Meghalaya,1053.0,1488,4083.104545,176398.56,347.49,1.315714286
Peas & beans (Pulses),2012,Rabi       ,Assam,30952.0,19821,2167.5,4667561.6,9595.12,0.654814815
Peas & beans (Pulses),2012,Rabi       ,Meghalaya,2190.0,4064,2945.3,330252.0,678.9,1.868571429
Peas & beans (Pulses),2013,Rabi       ,Assam,31246.0,26509,1797.7,4514734.54,8436.42,0.819259259
