Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Potato,1997,Whole Year ,Assam,75259.0,671871,2051.4,7162399.03,23330.29,7.561304348
Potato,1997,Whole Year ,Meghalaya,20764.0,200509,3818.2,1976109.88,6436.84,8.641428571
Potato,1997,Whole Year ,West Bengal,284015.0,5581553,1852.9,27029707.55,88044.65,18.23722222
Potato,1998,Whole Year ,Assam,76958.0,611077,2354.4,7603450.4,22317.82,7.230434783
Potato,1998,Kharif     ,Karnataka,28755.0,317052,1260.8,2840994.0,8338.95,12.37333333
Potato,1998,Rabi       ,Karnataka,4173.0,82124,1260.8,412292.4,1210.17,18.90714286
Potato,1998,Summer     ,Karnataka,1137.0,19387,1260.8,112335.6,329.73,17.6
Potato,1998,Whole Year ,Karnataka,268.0,3910,1260.8,26478.4,77.72,14.59
Potato,1998,Whole Year ,Meghalaya,20753.0,201059,6552.7,2050396.4,6018.37,7.738571429
Potato,1998,Whole Year ,West Bengal,318199.0,6689636,2152.5,31438061.2,92277.71,18.95944444
Potato,1999,Whole Year ,Assam,76748.0,699744,2201.8,8145265.24,20721.96,8.062608696
Potato,1999,Whole Year ,Meghalaya,18339.0,143287,6200.3,1946318.07,4951.53,6.858571429
Potato,1999,Summer     ,West Bengal,2478.0,33214,2318.1,262990.14,669.06,13.4
Potato,1999,Winter     ,West Bengal,313373.0,7449103,2318.1,33258276.49,84610.71,20.56777778
Potato,2000,Whole Year ,Andhra Pradesh,2489.0,14618,935.6,244345.13,647.14,6.14375
Potato,2000,Whole Year ,Assam,80504.0,668457,1965.5,7903077.68,20931.04,7.459565217
Potato,2000,Whole Year ,Karnataka,38298.0,452462,1213.3,3759714.66,9957.48,11.70933333
Potato,2000,Whole Year ,Meghalaya,18318.0,144292,6258.8,1798278.06,4762.68,6.954285714
Potato,2000,Whole Year ,West Bengal,299664.0,7673130,1907.7,29418014.88,77912.64,22.39388889
Potato,2001,Whole Year ,Andhra Pradesh,2348.0,14653,928.4,239801.24,610.48,5.85
Potato,2001,Whole Year ,Assam,80056.0,620571,1824.7,8176119.28,20814.56,7.350869565
Potato,2001,Whole Year ,Karnataka,39156.0,473407,1002.9,3999002.28,10180.56,12.815
Potato,2001,Whole Year ,Meghalaya,18151.0,159032,4241.0,1853761.63,4719.26,7.288571429
Potato,2001,Whole Year ,West Bengal,299821.0,7822363,1556.6,30620718.73,77953.46,21.95444444
Potato,2002,Whole Year ,Andhra Pradesh,2672.0,18677,648.1,252958.24,668.0,6.946666667
Potato,2002,Whole Year ,Assam,75486.0,589916,1973.6,7146259.62,18871.5,7.566956522
Potato,2002,Whole Year ,Tamil Nadu,4537.0,73362,315.9,429517.79,1134.25,18.3475
Potato,2002,Summer     ,West Bengal,2395.0,30807,1629.1,226734.65,598.75,12.86
Potato,2002,Winter     ,West Bengal,346906.0,6871659,1629.1,32841591.02,86726.5,20.73388889
Potato,2003,Whole Year ,Andhra Pradesh,2648.0,24049,826.0,262099.04,635.52,9.045
Potato,2003,Whole Year ,Assam,77894.0,543070,2213.7,7709948.12,18694.56,6.471304348
Potato,2003,Whole Year ,Karnataka,53076.0,342752,867.6,5253462.48,12738.24,9.008666667
Potato,2003,Whole Year ,Meghalaya,18035.0,149428,3321.3,1785104.3,4328.4,7.241428571
Potato,2003,Whole Year ,Tamil Nadu,4341.0,70103,345.6,429672.18,1041.84,17.054
Potato,2003,Whole Year ,West Bengal,308425.0,7621635,1526.7,30527906.5,74022.0,21.86777778
Potato,2004,Whole Year ,Karnataka,51937.0,360759,1117.7,5626854.58,10906.77,10.17875
Potato,2004,Whole Year ,Meghalaya,17287.0,141622,4767.9,1872873.58,3630.27,7.178571429
Potato,2004,Whole Year ,Tamil Nadu,5034.0,79060,1034.0,545383.56,1057.14,16.0325
Potato,2005,Whole Year ,Andhra Pradesh,3275.0,29564,1075.5,392738.0,687.75,8.895
Potato,2005,Whole Year ,Assam,69638.0,353696,2184.6,8350988.96,14623.98,5.326296296
Potato,2005,Kharif     ,Karnataka,67623.0,226399,1316.2,8109350.16,14200.83,3.381333333
Potato,2005,Rabi       ,Karnataka,5416.0,97924,1316.2,649486.72,1137.36,17.84
Potato,2005,Summer     ,Karnataka,317.0,5078,1316.2,38014.64,66.57,15.45
Potato,2005,Whole Year ,Meghalaya,17986.0,167030,3374.4,2156881.12,3777.06,7.768571429
Potato,2005,Whole Year ,Tamil Nadu,5005.0,74593,1364.1,600199.6,1051.05,15.32
Potato,2005,Whole Year ,West Bengal,354455.0,7462464,1650.1,42506243.6,74435.55,19.345
Potato,2006,Rabi       ,Meghalaya,18173.0,188202,2454.7,2320873.83,3998.06,8.212857143
Potato,2006,Whole Year ,Andhra Pradesh,3645.0,44728,845.2,465502.95,801.9,12.436
Potato,2006,Whole Year ,Assam,77712.0,504557,1774.9,9924599.52,17096.64,6.657407407
Potato,2006,Whole Year ,Karnataka,63374.0,561001,1146.3,8093493.54,13942.28,12.976875
Potato,2006,Whole Year ,Tamil Nadu,5190.0,77443,927.9,662814.9,1141.8,15.11333333
Potato,2006,Whole Year ,West Bengal,407941.0,5051962,1631.4,52098145.11,89747.02,13.35111111
Potato,2007,Whole Year ,Assam,75197.0,520831,2154.1,10031279.8,12031.52,6.564444444
Potato,2007,Kharif     ,Karnataka,54981.0,181310,1323.3,7334465.4,8796.96,5.07
Potato,2007,Rabi       ,Karnataka,2957.0,36386,1323.3,394463.8,473.12,12.32909091
Potato,2007,Summer     ,Karnataka,2156.0,34500,1323.3,287610.4,344.96,15.924
Potato,2007,Whole Year ,Tamil Nadu,4066.0,68169,1067.2,542404.4,650.56,17.018
Potato,2007,Whole Year ,West Bengal,400786.0,9900846,2007.5,53464852.4,64125.76,22.28666667
Potato,2008,Whole Year ,Andhra Pradesh,5227.0,50118,944.6,747670.08,470.43,9.332
Potato,2008,Whole Year ,Assam,78317.0,515740,2109.9,11202463.68,7048.53,6.5
Potato,2008,Kharif     ,Karnataka,67728.0,128436,1164.1,9687813.12,6095.52,2.449411765
Potato,2008,Rabi       ,Karnataka,6060.0,87080,1164.1,866822.4,545.4,15.515
Potato,2008,Summer     ,Karnataka,1907.0,30684,1164.1,272777.28,171.63,15.96333333
