Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Ragi,1997,Kharif     ,Karnataka,897921.0,1214282,1266.7,85455141.57,278355.51,1.191333333
Ragi,1997,Rabi       ,Karnataka,27104.0,33696,1266.7,2579487.68,8402.24,1.312222222
Ragi,1997,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.847777778
Ragi,1997,Autumn     ,West Bengal,12607.0,15330,1852.9,1199808.19,3908.17,0.986
Ragi,1998,Kharif     ,Puducherry,112.0,366,1434.5875,11065.6,32.48,3.27
Ragi,1998,Kharif     ,Goa,2500.0,2476,2964.9,247000.0,725.0,0.99
Ragi,1998,Kharif     ,Karnataka,986173.0,1664767,1260.8,97433892.4,285990.17,1.418
Ragi,1998,Rabi       ,Karnataka,33833.0,45301,1260.8,3342700.4,9811.57,1.361
Ragi,1998,Summer     ,Karnataka,10673.0,24008,1260.8,1054492.4,3095.17,2.239230769
Ragi,1998,Kharif     ,Kerala,1157.0,936,3151.5,114311.6,335.53,0.81
Ragi,1998,Kharif     ,West Bengal,12895.0,15648,2152.5,1274026.0,3739.55,0.91
Ragi,1999,Kharif     ,Goa,1000.0,1070,3879.3,106130.0,270.0,1.07
Ragi,1999,Kharif     ,Kerala,870.0,704,2914.6,92333.1,234.9,0.815
Ragi,1999,Kharif     ,Puducherry,124.0,452,1434.5875,13160.12,33.48,3.325
Ragi,1999,Kharif     ,West Bengal,12489.0,15051,2318.1,1325457.57,3372.03,0.898
Ragi,2000,Kharif     ,Andhra Pradesh,83492.0,92780,935.6,8196409.64,21707.92,1.172
Ragi,2000,Rabi       ,Andhra Pradesh,15760.0,27299,935.6,1547159.2,4097.6,1.639285714
Ragi,2000,Kharif     ,Goa,500.0,499,3886.9,49085.0,130.0,1.0
Ragi,2000,Kharif     ,Karnataka,983456.0,1788947,1213.3,96545875.52,255698.56,1.644
Ragi,2000,Rabi       ,Karnataka,28464.0,25009,1213.3,2794310.88,7400.64,1.385384615
Ragi,2000,Summer     ,Karnataka,10781.0,21376,1213.3,1058370.77,2803.06,1.982857143
