Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Small millets,1997,Kharif     ,Assam,10490.0,5391,2051.4,998333.3,3251.9,0.473
Small millets,1997,Kharif     ,Meghalaya,2804.0,2237,3818.2,266856.68,869.24,0.861428571
Small millets,1997,Whole Year ,West Bengal,5046.0,3222,1852.9,480227.82,1564.26,0.626666667
Small millets,1998,Kharif     ,Puducherry,4.0,3,1434.5875,395.2,1.16,0.75
Small millets,1998,Kharif     ,Assam,10547.0,5450,2354.4,1042043.6,3058.63,0.521363636
Small millets,1998,Kharif     ,Meghalaya,2823.0,2282,6552.7,278912.4,818.67,0.871428571
Small millets,1998,Kharif     ,West Bengal,3742.0,1877,2152.5,369709.6,1085.18,0.575714286
Small millets,1998,Rabi       ,West Bengal,1235.0,1387,2152.5,122018.0,358.15,1.035
Small millets,1999,Kharif     ,Assam,10681.0,5467,2201.8,1133574.53,2883.87,0.502727273
Small millets,1999,Kharif     ,West Bengal,3702.0,1924,2318.1,392893.26,999.54,0.617142857
Small millets,1999,Rabi       ,West Bengal,1505.0,1541,2318.1,159725.65,406.35,0.918
Small millets,2000,Kharif     ,Andhra Pradesh,64766.0,38398,935.6,6358078.22,16839.16,0.668125
Small millets,2000,Rabi       ,Andhra Pradesh,1961.0,1449,935.6,192511.37,509.86,0.681666667
Small millets,2000,Kharif     ,Assam,10591.0,5410,1965.5,1039718.47,2753.66,0.495454545
Small millets,2000,Kharif     ,Karnataka,71447.0,47452,1213.3,7013951.99,18576.22,0.686363636
Small millets,2000,Kharif     ,Meghalaya,2800.0,2266,6258.8,274876.0,728.0,0.864285714
Small millets,2000,Kharif     ,West Bengal,3061.0,1625,1907.7,300498.37,795.86,0.682857143
Small millets,2000,Rabi       ,West Bengal,1285.0,1308,1907.7,126148.45,334.1,0.946666667
Small millets,2001,Kharif     ,Andhra Pradesh,56370.0,33223,928.4,5757068.1,14656.2,0.469285714
Small millets,2001,Rabi       ,Andhra Pradesh,931.0,760,928.4,95083.03,242.06,0.732
Small millets,2001,Kharif     ,Assam,8480.0,4403,1824.7,866062.4,2204.8,0.49173913
Small millets,2001,Kharif     ,Karnataka,70091.0,36856,1002.9,7158393.83,18223.66,0.609545455
Small millets,2001,Kharif     ,Meghalaya,2720.0,2152,4241.0,277793.6,707.2,0.847142857
Small millets,2001,Kharif     ,West Bengal,4610.0,3125,1556.6,470819.3,1198.6,0.796666667
Small millets,2002,Kharif     ,Andhra Pradesh,46256.0,21891,648.1,4379055.52,11564.0,0.461538462
Small millets,2002,Rabi       ,Andhra Pradesh,1986.0,720,648.1,188014.62,496.5,0.328333333
Small millets,2002,Kharif     ,Assam,8310.0,4328,1973.6,786707.7,2077.5,0.489090909
Small millets,2002,Kharif     ,Tamil Nadu,7348.0,4137,315.9,695635.16,1837.0,0.575454545
Small millets,2002,Kharif     ,West Bengal,3126.0,2088,1629.1,295938.42,781.5,0.85625
Small millets,2002,Rabi       ,West Bengal,1030.0,1135,1629.1,97510.1,257.5,0.8925
Small millets,2003,Kharif     ,Andhra Pradesh,47510.0,28020,826.0,4702539.8,11402.4,0.518666667
Small millets,2003,Rabi       ,Andhra Pradesh,3134.0,1748,826.0,310203.32,752.16,0.577142857
Small millets,2003,Kharif     ,Assam,8299.0,4320,2213.7,821435.02,1991.76,0.506956522
Small millets,2003,Kharif     ,Karnataka,68145.0,38803,867.6,6744992.1,16354.8,0.546315789
Small millets,2003,Kharif     ,Kerala,1233.0,960,2386.0,122042.34,295.92,0.726666667
Small millets,2003,Kharif     ,Meghalaya,2661.0,2209,3321.3,263385.78,638.64,0.918571429
Small millets,2003,Kharif     ,Tamil Nadu,68609.0,42529,345.6,6790918.82,16466.16,2.611153846
Small millets,2003,Kharif     ,West Bengal,2756.0,1828,1526.7,272788.88,661.44,0.8025
Small millets,2003,Rabi       ,West Bengal,1035.0,1169,1526.7,102444.3,248.4,1.0
Small millets,2004,Kharif     ,Karnataka,58359.0,30584,1117.7,6322614.06,12255.39,0.532105263
Small millets,2004,Kharif     ,Meghalaya,2652.0,2241,4767.9,287317.68,556.92,0.957142857
Small millets,2004,Kharif     ,Tamil Nadu,50576.0,42869,1034.0,5479403.84,10620.96,0.8724
Small millets,2005,Kharif     ,Andhra Pradesh,43674.0,26264,1075.5,5237386.08,9171.54,0.6
Small millets,2005,Rabi       ,Andhra Pradesh,438.0,314,1075.5,52524.96,91.98,0.855
Small millets,2005,Kharif     ,Assam,7714.0,3947,2184.6,925062.88,1619.94,0.504814815
Small millets,2005,Kharif     ,Karnataka,52273.0,26918,1316.2,6268578.16,10977.33,0.5485
Small millets,2005,Kharif     ,Meghalaya,2670.0,2272,3374.4,320186.4,560.7,0.955714286
Small millets,2005,Kharif     ,Tamil Nadu,40366.0,30071,1364.1,4840690.72,8476.86,0.77375
Small millets,2005,Kharif     ,West Bengal,2113.0,1627,1650.1,253390.96,443.73,0.744285714
Small millets,2005,Rabi       ,West Bengal,1170.0,1408,1650.1,140306.4,245.7,1.245
Small millets,2006,Rabi       ,Meghalaya,2625.0,2219,2454.7,335238.75,577.5,0.977142857
Small millets,2006,Kharif     ,Andhra Pradesh,33676.0,17007,845.2,4300761.96,7408.72,0.5475
Small millets,2006,Rabi       ,Andhra Pradesh,360.0,225,845.2,45975.6,79.2,0.6225
Small millets,2006,Kharif     ,Assam,7473.0,3843,1774.9,954376.83,1644.06,0.500384615
Small millets,2006,Kharif     ,Karnataka,39586.0,21403,1146.3,5055528.06,8708.92,0.442105263
Small millets,2006,Kharif     ,Tamil Nadu,52702.0,61473,927.9,6730572.42,11594.44,1.057826087
Small millets,2006,Kharif     ,West Bengal,1604.0,1129,1631.4,204846.84,352.88,0.591666667
Small millets,2006,Rabi       ,West Bengal,1650.0,1881,1631.4,210721.5,363.0,1.265
Small millets,2007,Kharif     ,Puducherry,2.0,1,1434.5875,266.8,0.32,0.5
Small millets,2007,Kharif     ,Assam,6919.0,3521,2154.1,922994.6,1107.04,0.495384615
Small millets,2007,Kharif     ,Karnataka,35680.0,17571,1323.3,4759712.0,5708.8,0.465238095
