Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Sugarcane,1997,Kharif     ,Assam,31318.0,1287451,2051.4,2980534.06,9708.58,41.89695652
Sugarcane,1997,Whole Year ,Karnataka,308857.0,28999269,1266.7,29393920.69,95745.67,91.74736842
Sugarcane,1997,Whole Year ,Meghalaya,82.0,225,3818.2,7803.94,25.42,2.352
Sugarcane,1997,Whole Year ,West Bengal,25797.0,1818700,1852.9,2455100.49,7997.07,67.83625
Sugarcane,1998,Kharif     ,Puducherry,2710.0,232369,1434.5875,267748.0,785.9,82.595
Sugarcane,1998,Whole Year ,Assam,30571.0,1223578,2354.4,3020414.8,8865.59,39.89304348
Sugarcane,1998,Whole Year ,Goa,1320.0,64000,2964.9,130416.0,382.8,48.48
Sugarcane,1998,Whole Year ,Kerala,6160.0,472160,3151.5,608608.0,1786.4,64.83
Sugarcane,1998,Whole Year ,Meghalaya,83.0,225,6552.7,8200.4,24.07,2.328
Sugarcane,1998,Whole Year ,West Bengal,26949.0,2001900,2152.5,2662561.2,7815.21,75.314375
Sugarcane,1999,Whole Year ,Assam,29107.0,1154615,2201.8,3089125.91,7858.89,40.43478261
Sugarcane,1999,Whole Year ,Goa,1335.0,68440,3879.3,141683.55,360.45,51.27
Sugarcane,1999,Whole Year ,Kerala,5780.0,578820,2914.6,613431.4,1560.6,88.2225
Sugarcane,1999,Whole Year ,Meghalaya,80.0,223,6200.3,8490.4,21.6,2.372
Sugarcane,1999,Whole Year ,Puducherry,2798.0,237610,1434.5875,296951.74,755.46,83.0
Sugarcane,1999,Whole Year ,West Bengal,22883.0,1762806,2318.1,2428572.79,6178.41,78.571875
Sugarcane,2000,Whole Year ,Andhra Pradesh,237150.0,17690131,935.6,23281015.5,61659.0,73.8955
Sugarcane,2000,Whole Year ,Assam,26768.0,987696,1965.5,2627814.56,6959.68,36.57217391
Sugarcane,2000,Whole Year ,Goa,1250.0,72750,3886.9,122712.5,325.0,58.2
Sugarcane,2000,Whole Year ,Karnataka,417141.0,42923496,1213.3,40950731.97,108456.66,98.80038462
Sugarcane,2000,Whole Year ,Kerala,3367.0,275550,2412.6,330538.39,875.42,90.19
Sugarcane,2000,Whole Year ,Meghalaya,86.0,237,6258.8,8442.62,22.36,2.288
Sugarcane,2000,Whole Year ,Puducherry,2464.0,200413,1434.5875,241890.88,640.64,81.17
Sugarcane,2000,Whole Year ,West Bengal,21609.0,1465550,1907.7,2121355.53,5618.34,67.08461538
Sugarcane,2001,Whole Year ,Andhra Pradesh,218298.0,18081889,928.4,22294774.74,56757.48,84.989
Sugarcane,2001,Whole Year ,Assam,27166.0,1011398,1824.7,2774463.58,7063.16,37.2173913
Sugarcane,2001,Whole Year ,Goa,1205.0,70565,2530.6,123066.65,313.3,58.56
Sugarcane,2001,Whole Year ,Karnataka,406950.0,33016618,1002.9,41561803.5,105807.0,84.00269231
Sugarcane,2001,Whole Year ,Kerala,3267.0,269780,2946.7,333658.71,849.42,88.77583333
Sugarcane,2001,Whole Year ,Meghalaya,83.0,226,4241.0,8476.79,21.58,2.278
Sugarcane,2001,Whole Year ,Puducherry,2117.0,197412,1434.5875,216209.21,550.42,91.64
Sugarcane,2001,Whole Year ,West Bengal,19598.0,1513656,1556.6,2001543.74,5095.48,79.67857143
Sugarcane,2002,Whole Year ,Andhra Pradesh,232471.0,15387218,648.1,22008029.57,58117.75,69.35666667
Sugarcane,2002,Whole Year ,Assam,25152.0,916076,1973.6,2381139.84,6288.0,37.02130435
Sugarcane,2002,Whole Year ,Goa,1188.0,65470,2516.3,112467.96,297.0,55.11
Sugarcane,2002,Whole Year ,Kerala,3758.0,312830,2511.2,355769.86,939.5,88.46083333
