Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685,2051.4,631643.29,2057.47,0.710434783
Arhar/Tur,1997,Kharif     ,Karnataka,421810.0,98473,1266.7,40143657.7,130761.1,0.268235294
Arhar/Tur,1997,Kharif     ,Meghalaya,865.0,683,3818.2,82322.05,268.15,0.806666667
Arhar/Tur,1997,Whole Year ,West Bengal,3630.0,2181,1852.9,345467.1,1125.3,0.777692308
Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389,2354.4,756511.6,2220.53,0.709130435
Arhar/Tur,1998,Kharif     ,Karnataka,475396.0,221453,1260.8,46969124.8,137864.84,0.400833333
Arhar/Tur,1998,Kharif     ,Meghalaya,861.0,678,6552.7,85066.8,249.69,0.803333333
Arhar/Tur,1998,Kharif     ,West Bengal,2606.0,1672,2152.5,257472.8,755.74,0.756923077
Arhar/Tur,1999,Kharif     ,Assam,7266.0,5102,2201.8,771140.58,1961.82,0.707826087
Arhar/Tur,1999,Kharif     ,Meghalaya,871.0,647,6200.3,92439.23,235.17,0.78
Arhar/Tur,1999,Kharif     ,West Bengal,3077.0,2320,2318.1,326562.01,830.79,0.83
Arhar/Tur,2000,Kharif     ,Andhra Pradesh,507366.0,216457,935.6,49808120.22,131915.16,0.433181818
Arhar/Tur,2000,Rabi       ,Andhra Pradesh,6098.0,2701,935.6,598640.66,1585.48,0.42375
Arhar/Tur,2000,Kharif     ,Assam,7280.0,5159,1965.5,714677.6,1892.8,0.714347826
Arhar/Tur,2000,Kharif     ,Karnataka,582763.0,263533,1213.3,57209843.71,151518.38,0.492083333
Arhar/Tur,2000,Kharif     ,Meghalaya,863.0,641,6258.8,84720.71,224.38,0.78
Arhar/Tur,2000,Kharif     ,West Bengal,8868.0,5930,1907.7,870571.56,2305.68,0.686153846
Arhar/Tur,2001,Kharif     ,Andhra Pradesh,414401.0,185620,928.4,42322774.13,107744.26,0.465
Arhar/Tur,2001,Rabi       ,Andhra Pradesh,5439.0,2706,928.4,555485.07,1414.14,0.46
Arhar/Tur,2001,Kharif     ,Assam,7236.0,5125,1824.7,739012.68,1881.36,0.709130435
Arhar/Tur,2001,Kharif     ,Karnataka,482100.0,147437,1002.9,49236873.0,125346.0,0.37625
Arhar/Tur,2001,Kharif     ,Meghalaya,818.0,631,4241.0,83542.34,212.68,0.793333333
Arhar/Tur,2001,Kharif     ,West Bengal,3938.0,3268,1556.6,402187.94,1023.88,0.816923077
Arhar/Tur,2002,Kharif     ,Andhra Pradesh,423436.0,147361,648.1,40086686.12,105859.0,0.337727273
Arhar/Tur,2002,Rabi       ,Andhra Pradesh,8200.0,3004,648.1,776294.0,2050.0,0.299333333
Arhar/Tur,2002,Kharif     ,Assam,7013.0,4961,1973.6,663920.71,1753.25,0.710869565
Arhar/Tur,2002,Kharif     ,Tamil Nadu,44127.0,24067,315.9,4177503.09,11031.75,0.535416667
Arhar/Tur,2002,Kharif     ,West Bengal,3075.0,2806,1629.1,291110.25,768.75,0.924166667
Arhar/Tur,2003,Kharif     ,Andhra Pradesh,513239.0,214657,826.0,50800396.22,123177.36,0.424090909
Arhar/Tur,2003,Rabi       ,Andhra Pradesh,7492.0,3246,826.0,741558.16,1798.08,0.41625
Arhar/Tur,2003,Kharif     ,Assam,7012.0,4940,2213.7,694047.76,1682.88,0.708695652
Arhar/Tur,2003,Kharif     ,Karnataka,532251.0,199627,867.6,52682203.98,127740.24,0.298333333
Arhar/Tur,2003,Kharif     ,Meghalaya,812.0,639,3321.3,80371.76,194.88,0.806666667
Arhar/Tur,2003,Kharif     ,Tamil Nadu,44914.0,27475,345.6,4445587.72,10779.36,0.6396
Arhar/Tur,2003,Kharif     ,West Bengal,3361.0,3382,1526.7,332671.78,806.64,1.016153846
Arhar/Tur,2004,Kharif     ,Karnataka,562127.0,291113,1117.7,60900839.18,118046.67,0.53875
Arhar/Tur,2004,Kharif     ,Meghalaya,804.0,633,4767.9,87105.36,168.84,0.806666667
Arhar/Tur,2004,Kharif     ,Tamil Nadu,43416.0,28979,1034.0,4703689.44,9117.36,0.6684
Arhar/Tur,2005,Kharif     ,Andhra Pradesh,494523.0,300636,1075.5,59303198.16,103849.83,0.554545455
Arhar/Tur,2005,Kharif     ,Assam,6473.0,4529,2184.6,776242.16,1359.33,0.704444444
Arhar/Tur,2005,Kharif     ,Karnataka,599884.0,407832,1316.2,71938089.28,125975.64,0.5968
Arhar/Tur,2005,Kharif     ,Meghalaya,804.0,633,3374.4,96415.68,168.84,0.796666667
Arhar/Tur,2005,Kharif     ,Tamil Nadu,37769.0,20400,1364.1,4529258.48,7931.49,0.6375
Arhar/Tur,2005,Rabi       ,West Bengal,1830.0,1584,1650.1,219453.6,384.3,0.885
Arhar/Tur,2006,Kharif     ,Andhra Pradesh,395644.0,157669,845.2,50527695.24,87041.68,0.420454545
Arhar/Tur,2006,Rabi       ,Andhra Pradesh,5606.0,3174,845.2,715942.26,1233.32,0.433333333
Arhar/Tur,2006,Kharif     ,Assam,6676.0,4769,1774.9,852591.96,1468.72,0.706666667
Arhar/Tur,2006,Kharif     ,Karnataka,595697.0,262673,1146.3,76076463.87,131053.34,0.4648
Arhar/Tur,2006,Whole Year ,Tamil Nadu,29127.0,21334,927.9,3719809.17,6407.94,0.744
Arhar/Tur,2006,Rabi       ,West Bengal,2044.0,1412,1631.4,261039.24,449.68,0.445454545
Arhar/Tur,2007,Kharif     ,Assam,5893.0,4230,2154.1,786126.2,942.88,0.712962963
Arhar/Tur,2007,Kharif     ,Karnataka,681136.0,451013,1323.3,90863542.4,108981.76,0.644230769
Arhar/Tur,2007,Whole Year ,Tamil Nadu,30057.0,21077,1067.2,4009603.8,4809.12,0.73375
Arhar/Tur,2007,Rabi       ,West Bengal,1097.0,889,2007.5,146339.8,175.52,0.802307692
Arhar/Tur,2008,Kharif     ,Andhra Pradesh,439248.0,199414,944.6,62830033.92,39532.32,0.530909091
Arhar/Tur,2008,Rabi       ,Andhra Pradesh,3466.0,1942,944.6,495776.64,311.94,0.56
Arhar/Tur,2008,Kharif     ,Assam,5368.0,3811,2109.9,767838.72,483.12,0.706296296
Arhar/Tur,2008,Kharif     ,Karnataka,596622.0,313730,1164.1,85340810.88,53695.98,0.546153846
Arhar/Tur,2008,Kharif     ,Meghalaya,794.0,627,3114.3,113573.76,71.46,0.796666667
Arhar/Tur,2008,Whole Year ,Tamil Nadu,27483.0,16703,1201.9,3931168.32,2473.47,0.606923077
Arhar/Tur,2008,Rabi       ,West Bengal,629.0,530,1560.1,89972.16,56.61,0.813333333
Arhar/Tur,2009,Kharif     ,Andhra Pradesh,438392.0,189677,711.0,68310241.44,74526.64,0.525909091
Arhar/Tur,2009,Rabi       ,Andhra Pradesh,24895.0,13266,711.0,3879138.9,4232.15,0.52
Arhar/Tur,2009,Kharif     ,Assam,6191.0,4408,1727.1,964681.62,1052.47,0.707037037
Arhar/Tur,2009,Kharif     ,Karnataka,604305.0,279760,1321.0,94162805.1,102731.85,0.526923077
Arhar/Tur,2009,Kharif     ,Meghalaya,781.0,612,2995.9,121695.42,132.77,0.79
Arhar/Tur,2009,Whole Year ,Tamil Nadu,26558.0,20274,928.5,4138267.56,4514.86,0.709615385
Arhar/Tur,2010,Kharif     ,Assam,7137.0,5098,2578.5,1185527.07,1712.88,0.70962963
Arhar/Tur,2010,Kharif     ,Andhra Pradesh,629980.0,261286,1297.0,104645977.8,151195.2,0.466363636
Arhar/Tur,2010,Rabi       ,Andhra Pradesh,8123.0,4101,1297.0,1349311.53,1949.52,0.483333333
Arhar/Tur,2010,Kharif     ,Karnataka,891525.0,522540,1317.7,148091217.8,213966.0,0.65037037
Arhar/Tur,2010,Kharif     ,Meghalaya,779.0,611,3119.7,129399.69,186.96,0.79
Arhar/Tur,2011,Kharif     ,Assam,5697.0,4467,1743.4,954361.44,1880.01,0.774074074
Arhar/Tur,2011,Kharif     ,Andhra Pradesh,478657.0,144679,861.9,80184620.64,157956.81,0.435454545
Arhar/Tur,2011,Rabi       ,Andhra Pradesh,2841.0,1409,861.9,475924.32,937.53,0.455294118
Arhar/Tur,2011,Kharif     ,Karnataka,767419.0,351611,1178.986364,128558030.9,253248.27,0.52
Arhar/Tur,2011,Kharif     ,Meghalaya,788.0,921,4083.104545,132005.76,260.04,0.96
Arhar/Tur,2011,Whole Year ,Tamil Nadu,35968.0,31292,926.5,6025359.36,11869.44,0.867037037
Arhar/Tur,2012,Kharif     ,Andhra Pradesh,480000.0,251000,968.7,72384000.0,148800.0,0.5885
Arhar/Tur,2012,Kharif     ,Assam,5958.0,4937,2167.5,898466.4,1846.98,0.81962963
Arhar/Tur,2012,Kharif     ,Karnataka,659742.0,467109,956.2,99489093.6,204520.02,0.573333333
Arhar/Tur,2012,Whole Year ,Kerala,1186.0,1892,2187.6,178848.8,367.66,1.496
Arhar/Tur,2012,Kharif     ,Meghalaya,1136.0,1390,2945.3,171308.8,352.16,1.003333333
Arhar/Tur,2013,Kharif     ,Andhra Pradesh,182826.0,102954,1062.3,26416528.74,49363.02,0.696923077
