Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Kharif     ,Bihar,64898.0,83722,1303.7,6176342.66,20118.38,1.186363636
Bajra,1997,Kharif     ,Bihar,5894.0,3594,1303.7,560931.98,1827.14,0.603225806
Banana,1997,Whole Year ,Bihar,18197.0,440763,1303.7,1731808.49,5641.07,24.0412
Barley,1997,Rabi       ,Bihar,42838.0,44140,1303.7,4076892.46,13279.78,1.04
Castor seed,1997,Kharif     ,Bihar,967.0,761,1303.7,92029.39,299.77,0.781538462
Coriander,1997,Whole Year ,Bihar,3097.0,1509,1303.7,294741.49,960.07,0.462051282
Cotton(lint),1997,Kharif     ,Bihar,200.0,400,1303.7,19034.0,62.0,2.0
Dry chillies,1997,Whole Year ,Bihar,5231.0,4450,1303.7,497834.27,1621.61,0.881777778
Garlic,1997,Whole Year ,Bihar,3068.0,4095,1303.7,291981.56,951.08,1.317560976
Ginger,1997,Kharif     ,Bihar,629.0,887,1303.7,59861.93,194.99,1.321428571
Gram,1997,Rabi       ,Bihar,121670.0,91316,1303.7,11579333.9,37717.7,0.805471698
Groundnut,1997,Kharif     ,Bihar,5245.0,6294,1303.7,499166.65,1625.95,1.125384615
Jowar,1997,Kharif     ,Bihar,3129.0,2690,1303.7,297786.93,969.99,0.874761905
Jute,1997,Kharif     ,Bihar,147527.0,1327863,1303.7,14040144.59,45733.37,8.642631579
Linseed,1997,Rabi       ,Bihar,60265.0,33814,1303.7,5735420.05,18682.15,0.555471698
Maize,1997,Kharif     ,Bihar,375000.0,456375,1303.7,35688750.0,116250.0,1.260185185
Maize,1997,Rabi       ,Bihar,181914.0,546011,1303.7,17312755.38,56393.34,2.803555556
Maize,1997,Summer     ,Bihar,143522.0,307134,1303.7,13658988.74,44491.82,2.025192308
Mesta,1997,Kharif     ,Bihar,19855.0,135202,1303.7,1889600.35,6155.05,8.318387097
Niger seed,1997,Kharif     ,Bihar,24751.0,15643,1303.7,2355552.67,7672.81,0.617058824
Onion,1997,Whole Year ,Bihar,18061.0,137869,1303.7,1718865.37,5598.91,7.817272727
Other  Rabi pulses,1997,Rabi       ,Bihar,5641.0,3950,1303.7,536853.97,1748.71,0.701836735
Other Kharif pulses,1997,Kharif     ,Bihar,15730.0,9337,1303.7,1497024.1,4876.3,0.572830189
Potato,1997,Whole Year ,Bihar,168074.0,1465659,1303.7,15995602.58,52102.94,8.929636364
Ragi,1997,Whole Year ,Bihar,74292.0,64976,1303.7,7070369.64,23030.52,0.8998
Rapeseed &Mustard,1997,Rabi       ,Bihar,101428.0,82367,1303.7,9652902.76,31442.68,0.718909091
Rice,1997,Autumn     ,Bihar,749671.0,892725,1303.7,71346189.07,232398.01,1.102244898
Rice,1997,Summer     ,Bihar,124429.0,236446,1303.7,11841907.93,38572.99,1.683265306
Rice,1997,Winter     ,Bihar,4238204.0,6004120,1303.7,403349874.7,1313843.24,1.354363636
Safflower,1997,Rabi       ,Bihar,480.0,302,1303.7,45681.6,148.8,0.653636364
Sannhamp,1997,Whole Year ,Bihar,3844.0,2282,1303.7,365833.48,1191.64,0.583095238
Sesamum,1997,Kharif     ,Bihar,17628.0,10580,1303.7,1677656.76,5464.68,0.605217391
Small millets,1997,Kharif     ,Bihar,38633.0,20296,1303.7,3676702.61,11976.23,0.777916667
Sugarcane,1997,Whole Year ,Bihar,107424.0,4939899,1303.7,10223542.08,33301.44,50.18152174
Sunflower,1997,Rabi       ,Bihar,15122.0,11389,1303.7,1439160.74,4687.82,0.824761905
Sweet potato,1997,Whole Year ,Bihar,14114.0,186123,1303.7,1343229.38,4375.34,13.03461538
Tobacco,1997,Rabi       ,Bihar,20561.0,14763,1303.7,1956790.37,6373.91,0.755263158
Turmeric,1997,Whole Year ,Bihar,2904.0,3216,1303.7,276373.68,900.24,1.173333333
Wheat,1997,Rabi       ,Bihar,2067610.0,4048699,1303.7,196774443.7,640959.1,1.811090909
Arhar/Tur,1998,Kharif     ,Bihar,65771.0,98963,1332.5,6498174.8,19073.59,1.447037037
Bajra,1998,Kharif     ,Bihar,6180.0,3640,1332.5,610584.0,1792.2,0.578787879
Banana,1998,Whole Year ,Bihar,17743.0,323667,1332.5,1753008.4,5145.47,17.85958333
Barley,1998,Rabi       ,Bihar,40907.0,47295,1332.5,4041611.6,11863.03,1.191346154
Castor seed,1998,Kharif     ,Bihar,975.0,810,1332.5,96330.0,282.75,0.835454545
Coriander,1998,Whole Year ,Bihar,2971.0,1821,1332.5,293534.8,861.59,0.680512821
Cotton(lint),1998,Kharif     ,Bihar,43.0,88,1332.5,4248.4,12.47,2.05
Dry chillies,1998,Whole Year ,Bihar,6304.0,6362,1332.5,622835.2,1828.16,0.970666667
Garlic,1998,Whole Year ,Bihar,2927.0,4252,1332.5,289187.6,848.83,1.415365854
