Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1998,Whole Year ,Goa,1500.0,1820,2964.9,148200.0,435.0,1.21
Banana,1998,Whole Year ,Goa,1900.0,14400,2964.9,187720.0,551.0,7.58
Black pepper,1998,Whole Year ,Goa,250.0,70,2964.9,24700.0,72.5,0.28
Cashewnut,1998,Whole Year ,Goa,52875.0,15000,2964.9,5224050.0,15333.75,0.28
Coconut ,1998,Whole Year ,Goa,24858.0,121000000,2964.9,2455970.4,7208.82,4867.65
Groundnut,1998,Kharif     ,Goa,350.0,412,2964.9,34580.0,101.5,1.18
Groundnut,1998,Rabi       ,Goa,1048.0,2124,2964.9,103542.4,303.92,2.03
Other  Rabi pulses,1998,Rabi       ,Goa,8671.0,9220,2964.9,856694.8,2514.59,1.06
Other Kharif pulses,1998,Kharif     ,Goa,1200.0,324,2964.9,118560.0,348.0,0.27
Ragi,1998,Kharif     ,Goa,2500.0,2476,2964.9,247000.0,725.0,0.99
Rice,1998,Kharif     ,Goa,41000.0,104249,2964.9,4050800.0,11890.0,2.54
Rice,1998,Rabi       ,Goa,15439.0,46925,2964.9,1525373.2,4477.31,3.04
Sugarcane,1998,Whole Year ,Goa,1320.0,64000,2964.9,130416.0,382.8,48.48
Arecanut,1999,Whole Year ,Goa,1550.0,1880,3879.3,164501.5,418.5,1.21
Banana,1999,Whole Year ,Goa,1950.0,14500,3879.3,206953.5,526.5,7.44
Black pepper,1999,Whole Year ,Goa,275.0,120,3879.3,29185.75,74.25,0.44
Cashewnut,1999,Whole Year ,Goa,53292.0,17274,3879.3,5655879.96,14388.84,0.32
Coconut ,1999,Whole Year ,Goa,24975.0,121580000,3879.3,2650596.75,6743.25,4868.07
Groundnut,1999,Kharif     ,Goa,350.0,513,3879.3,37145.5,94.5,1.47
Groundnut,1999,Rabi       ,Goa,1004.0,1767,3879.3,106554.52,271.08,1.76
Other  Rabi pulses,1999,Rabi       ,Goa,9227.0,8430,3879.3,979261.51,2491.29,0.91
Other Kharif pulses,1999,Kharif     ,Goa,1000.0,578,3879.3,106130.0,270.0,0.58
Ragi,1999,Kharif     ,Goa,1000.0,1070,3879.3,106130.0,270.0,1.07
Rice,1999,Kharif     ,Goa,40500.0,96281,3879.3,4298265.0,10935.0,2.38
Rice,1999,Rabi       ,Goa,16213.0,43642,3879.3,1720685.69,4377.51,2.69
Sugarcane,1999,Whole Year ,Goa,1335.0,68440,3879.3,141683.55,360.45,51.27
Arecanut,2000,Whole Year ,Goa,1600.0,2500,3886.9,157072.0,416.0,1.56
Banana,2000,Whole Year ,Goa,2000.0,14745,3886.9,196340.0,520.0,7.37
Black pepper,2000,Whole Year ,Goa,480.0,100,3886.9,47121.6,124.8,0.21
Cashewnut,2000,Whole Year ,Goa,53767.0,21335,3886.9,5278306.39,13979.42,0.4
Coconut ,2000,Whole Year ,Goa,25025.0,125120000,3886.9,2456704.25,6506.5,4999.8
Groundnut,2000,Kharif     ,Goa,360.0,567,3886.9,35341.2,93.6,1.58
Groundnut,2000,Rabi       ,Goa,1421.0,2584,3886.9,139499.57,369.46,1.82
Other  Rabi pulses,2000,Rabi       ,Goa,10121.0,9338,3886.9,993578.57,2631.46,0.92
Other Kharif pulses,2000,Kharif     ,Goa,650.0,314,3886.9,63810.5,169.0,0.48
Ragi,2000,Kharif     ,Goa,500.0,499,3886.9,49085.0,130.0,1.0
Rice,2000,Kharif     ,Goa,41000.0,96568,3886.9,4024970.0,10660.0,2.36
Rice,2000,Rabi       ,Goa,16207.0,45555,3886.9,1591041.19,4213.82,2.81
Sugarcane,2000,Whole Year ,Goa,1250.0,72750,3886.9,122712.5,325.0,58.2
Arecanut,2001,Whole Year ,Goa,1600.0,2500,2530.6,163408.0,416.0,1.56
Banana,2001,Whole Year ,Goa,2100.0,15482,2530.6,214473.0,546.0,7.37
Black pepper,2001,Whole Year ,Goa,573.0,100,2530.6,58520.49,148.98,0.17
Cashewnut,2001,Whole Year ,Goa,54060.0,22976,2530.6,5521147.8,14055.6,0.43
Coconut ,2001,Whole Year ,Goa,25025.0,125120000,2530.6,2555803.25,6506.5,4999.8
Groundnut,2001,Kharif     ,Goa,148.0,137,2530.6,15115.24,38.48,0.93
Groundnut,2001,Rabi       ,Goa,1515.0,2390,2530.6,154726.95,393.9,1.58
Other  Rabi pulses,2001,Rabi       ,Goa,8944.0,8085,2530.6,913450.72,2325.44,0.9
Other Kharif pulses,2001,Kharif     ,Goa,505.0,283,2530.6,51575.65,131.3,0.56
Ragi,2001,Kharif     ,Goa,315.0,315,2530.6,32170.95,81.9,1.0
Rice,2001,Kharif     ,Goa,32746.0,79071,2530.6,3344348.98,8513.96,2.41
Rice,2001,Rabi       ,Goa,16637.0,47452,2530.6,1699136.81,4325.62,2.85
