Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Kharif     ,Maharashtra,1005600.0,348000,1156.1,95702952.0,311736.0,0.3325
Bajra,1997,Kharif     ,Maharashtra,1671200.0,1119000,1156.1,159048104.0,518072.0,0.632272727
Cotton(lint),1997,Whole Year ,Maharashtra,31292.0,1753100,1156.1,2978059.64,9700.52,95.99391304
Gram,1997,Kharif     ,Maharashtra,717100.0,295900,1156.1,68246407.0,222301.0,0.408148148
Jowar,1997,Kharif     ,Maharashtra,2013200.0,2632300,1156.1,191596244.0,624092.0,1.6468
Jowar,1997,Rabi       ,Maharashtra,3487000.0,1357500,1156.1,331857790.0,1080970.0,0.442083333
Maize,1997,Autumn     ,Maharashtra,21.0,19695,1156.1,1998.57,6.51,989.87
Maize,1997,Kharif     ,Maharashtra,187600.0,219700,1156.1,17853892.0,58156.0,1.082083333
Maize,1997,Rabi       ,Maharashtra,45800.0,65400,1156.1,4358786.0,14198.0,1.476875
Maize,1997,Summer     ,Maharashtra,7500.0,12500,1156.1,713775.0,2325.0,1.407777778
Moong(Green Gram),1997,Kharif     ,Maharashtra,612100.0,221000,1156.1,58253557.0,189751.0,0.444444444
Other  Rabi pulses,1997,Rabi       ,Maharashtra,12830.0,492,1156.1,1221031.1,3977.3,0.0476
Ragi,1997,Kharif     ,Maharashtra,156600.0,146800,1156.1,14903622.0,48546.0,0.969090909
Rice,1997,Kharif     ,Maharashtra,1339000.0,2330000,1156.1,127432630.0,415090.0,8.778275862
Rice,1997,Summer     ,Maharashtra,329.0,646,1156.1,31310.93,101.99,2.018888889
Sugarcane,1997,Kharif     ,Maharashtra,183300.0,158866,1156.1,17444661.0,56823.0,0.863333333
Urad,1997,Kharif     ,Maharashtra,525400.0,210300,1156.1,50002318.0,162874.0,0.489310345
Wheat,1997,Rabi       ,Maharashtra,747300.0,670600,1156.1,71120541.0,231663.0,0.8476
Arhar/Tur,1998,Kharif     ,Maharashtra,1006700.0,808900,1314.8,99461960.0,291943.0,0.6425
Bajra,1998,Kharif     ,Maharashtra,1759700.0,1492500,1314.8,173858360.0,510313.0,0.739545455
Castor seed,1998,Kharif     ,Maharashtra,10100.0,2900,1314.8,997880.0,2929.0,0.277
Cotton(lint),1998,Kharif     ,Maharashtra,3199100.0,2618900,1314.8,316071080.0,927739.0,1.040434783
Gram,1998,Rabi       ,Maharashtra,904200.0,561900,1314.8,89334960.0,262218.0,0.615714286
