Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Kharif     ,Mizoram,83.0,143,2644.2,7899.11,25.73,2.013333333
Coconut ,1997,Kharif     ,Mizoram,15.0,40,2644.2,1427.55,4.65,2.595
Groundnut,1997,Kharif     ,Mizoram,119.0,178,2644.2,11325.23,36.89,1.483333333
Maize,1997,Kharif     ,Mizoram,8140.0,16256,2644.2,774683.8,2523.4,2.0875
Maize,1997,Rabi       ,Mizoram,120.0,243,2644.2,11420.4,37.2,2.15
Peas & beans (Pulses),1997,Kharif     ,Mizoram,231.0,271,2644.2,21984.27,71.61,1.4825
Rapeseed &Mustard,1997,Kharif     ,Mizoram,374.0,440,2644.2,35593.58,115.94,1.853333333
Rapeseed &Mustard,1997,Rabi       ,Mizoram,2095.0,1340,2644.2,199381.15,649.45,0.81
Rice,1997,Whole Year ,Mizoram,68114.0,110573,2644.2,6482409.38,21115.34,1.6
Sesamum,1997,Kharif     ,Mizoram,4592.0,4443,2644.2,437020.64,1423.52,0.9
Soyabean,1997,Kharif     ,Mizoram,1039.0,1614,2644.2,98881.63,322.09,1.4925
Sugarcane,1997,Whole Year ,Mizoram,1252.0,7488,2644.2,119152.84,388.12,5.8
Sunflower,1997,Kharif     ,Mizoram,6.0,7,2644.2,571.02,1.86,1.25
Tapioca,1997,Whole Year ,Mizoram,478.0,6956,2644.2,45491.26,148.18,9.34
Tobacco,1997,Rabi       ,Mizoram,377.0,415,2644.2,35879.09,116.87,1.225
Wheat,1997,Rabi       ,Mizoram,22.0,11,2644.2,2093.74,6.82,0.5
Arhar/Tur,2000,Kharif     ,Mizoram,77.0,95,2834.3,7559.09,20.02,1.025
Cotton(lint),2000,Kharif     ,Mizoram,483.0,1236,2834.3,47416.11,125.58,2.645
Maize,2000,Kharif     ,Mizoram,6410.0,16112,2834.3,629269.7,1666.6,2.1825
Maize,2000,Rabi       ,Mizoram,233.0,324,2834.3,22873.61,60.58,1.516666667
Masoor,2000,Rabi       ,Mizoram,10.0,8,2834.3,981.7,2.6,0.8
Other  Rabi pulses,2000,Rabi       ,Mizoram,344.0,747,2834.3,33770.48,89.44,2.106666667
Other Kharif pulses,2000,Kharif     ,Mizoram,1610.0,2554,2834.3,158053.7,418.6,1.4075
Potato,2000,Whole Year ,Mizoram,310.0,2429,2834.3,30432.7,80.6,5.805
Rapeseed &Mustard,2000,Rabi       ,Mizoram,2328.0,1984,2834.3,228539.76,605.28,0.8475
Rice,2000,Kharif     ,Mizoram,51839.0,103673,2834.3,5089034.63,13478.14,1.8875
Sesamum,2000,Kharif     ,Mizoram,3791.0,2047,2834.3,372162.47,985.66,0.735
Soyabean,2000,Kharif     ,Mizoram,1194.0,1591,2834.3,117214.98,310.44,1.45
Sugarcane,2000,Whole Year ,Mizoram,952.0,6361,2834.3,93457.84,247.52,8.705
Tobacco,2000,Whole Year ,Mizoram,373.0,246,2834.3,36617.41,96.98,0.56
Arhar/Tur,2001,Kharif     ,Mizoram,53.0,49,2406.4,5412.89,13.78,0.92
Cotton(lint),2001,Kharif     ,Mizoram,618.0,1264,2406.4,63116.34,160.68,2.625
Maize,2001,Kharif     ,Mizoram,5493.0,13758,2406.4,561000.09,1428.18,2.076666667
Maize,2001,Rabi       ,Mizoram,1884.0,2887,2406.4,192412.92,489.84,1.6025
Masoor,2001,Rabi       ,Mizoram,45.0,57,2406.4,4595.85,11.7,1.023333333
Moong(Green Gram),2001,Kharif     ,Mizoram,5.5,4,2406.4,561.715,1.43,0.69
Moong(Green Gram),2001,Rabi       ,Mizoram,82.77,72,2406.4,8453.3001,21.5202,1.05
Peas & beans (Pulses),2001,Kharif     ,Mizoram,100.9,161,2406.4,10304.917,26.234,1.53
Peas & beans (Pulses),2001,Rabi       ,Mizoram,138.5,97,2406.4,14145.005,36.01,0.85
Potato,2001,Whole Year ,Mizoram,376.0,1471,2406.4,38400.88,97.76,4.8975
Rapeseed &Mustard,2001,Rabi       ,Mizoram,2494.0,2173,2406.4,254712.22,648.44,0.8475
Rice,2001,Kharif     ,Mizoram,55880.0,105713,2406.4,5707024.4,14528.8,1.825
Sesamum,2001,Kharif     ,Mizoram,3985.0,1741,2406.4,406988.05,1036.1,0.5025
Soyabean,2001,Kharif     ,Mizoram,1266.0,1212,2406.4,129296.58,329.16,0.98
Sugarcane,2001,Whole Year ,Mizoram,1379.0,9359,2406.4,140837.27,358.54,8.115
Tapioca,2001,Whole Year ,Mizoram,307.0,1479,2406.4,31353.91,79.82,5.7375
Tobacco,2001,Whole Year ,Mizoram,292.0,224,2406.4,29821.96,75.92,0.76
Urad,2001,Kharif     ,Mizoram,28.0,29,2406.4,2859.64,7.28,1.02
Urad,2001,Rabi       ,Mizoram,36.0,23,2406.4,3676.68,9.36,0.643333333
Arhar/Tur,2002,Kharif     ,Mizoram,101.0,75,2627.0,9561.67,25.25,0.653333333
Arhar/Tur,2002,Rabi       ,Mizoram,336.0,170,2627.0,31809.12,84.0,0.505
Cotton(lint),2002,Kharif     ,Mizoram,388.0,1030,2627.0,36731.96,97.0,2.4125
Maize,2002,Kharif     ,Mizoram,6889.0,13820,2627.0,652181.63,1722.25,1.89
Maize,2002,Rabi       ,Mizoram,600.0,1059,2627.0,56802.0,150.0,1.695
Masoor,2002,Kharif     ,Mizoram,26.0,28,2627.0,2461.42,6.5,1.08
Masoor,2002,Rabi       ,Mizoram,56.0,65,2627.0,5301.52,14.0,0.873333333
Moong(Green Gram),2002,Kharif     ,Mizoram,13.0,9,2627.0,1230.71,3.25,0.69
Moong(Green Gram),2002,Rabi       ,Mizoram,37.0,38,2627.0,3502.79,9.25,0.866666667
Other  Rabi pulses,2002,Rabi       ,Mizoram,2078.0,2259,2627.0,196724.26,519.5,1.245
Other Kharif pulses,2002,Kharif     ,Mizoram,2030.0,2384,2627.0,192180.1,507.5,0.945
Potato,2002,Whole Year ,Mizoram,369.0,726,2627.0,34933.23,92.25,1.976666667
Rapeseed &Mustard,2002,Rabi       ,Mizoram,2043.0,1471,2627.0,193410.81,510.75,0.6575
Rice,2002,Kharif     ,Mizoram,57067.0,109205,2627.0,5402532.89,14266.75,1.89
Sesamum,2002,Kharif     ,Mizoram,2945.0,1806,2627.0,278803.15,736.25,0.6
Soyabean,2002,Kharif     ,Mizoram,1950.0,1846,2627.0,184606.5,487.5,0.955
Sugarcane,2002,Whole Year ,Mizoram,1370.0,7443,2627.0,129697.9,342.5,6.4075
Tapioca,2002,Whole Year ,Mizoram,232.0,1330,2627.0,21963.44,58.0,7.0675
Tobacco,2002,Whole Year ,Mizoram,300.0,252,2627.0,28401.0,75.0,0.7975
Urad,2002,Kharif     ,Mizoram,6.0,4,2627.0,568.02,1.5,0.67
Urad,2002,Rabi       ,Mizoram,33.0,20,2627.0,3124.11,8.25,0.606666667
Arhar/Tur,2003,Kharif     ,Mizoram,61.0,67,2499.5,6037.78,14.64,0.93
Arhar/Tur,2003,Rabi       ,Mizoram,211.0,110,2499.5,20884.78,50.64,0.9125
Cotton(lint),2003,Kharif     ,Mizoram,343.0,1336,2499.5,33950.14,82.32,3.501666667
Gram,2003,Kharif     ,Mizoram,23.0,25,2499.5,2276.54,5.52,0.916666667
Gram,2003,Rabi       ,Mizoram,23.0,18,2499.5,2276.54,5.52,1.176666667
Maize,2003,Kharif     ,Mizoram,9765.0,19005,2499.5,966539.7,2343.6,1.981666667
Maize,2003,Rabi       ,Mizoram,716.0,1277,2499.5,70869.68,171.84,1.802
Masoor,2003,Rabi       ,Mizoram,11.0,8,2499.5,1088.78,2.64,0.723333333
Moong(Green Gram),2003,Kharif     ,Mizoram,24.0,30,2499.5,2375.52,5.76,1.245
Moong(Green Gram),2003,Rabi       ,Mizoram,44.0,46,2499.5,4355.12,10.56,0.944
Other  Rabi pulses,2003,Rabi       ,Mizoram,1925.0,1570,2499.5,190536.5,462.0,0.92
Other Kharif pulses,2003,Kharif     ,Mizoram,2053.0,1887,2499.5,203205.94,492.72,0.881666667
