Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Kharif     ,Punjab,11000.0,8200,690.1,1046870.0,3410.0,0.766153846
Bajra,1997,Kharif     ,Punjab,8000.0,8000,690.1,761360.0,2480.0,1.0
Barley,1997,Rabi       ,Punjab,37000.0,111000,690.1,3521290.0,11470.0,2.995454545
Cotton(lint),1997,Whole Year ,Punjab,724000.0,937000,690.1,68903080.0,224440.0,1.324
Gram,1997,Rabi       ,Punjab,13300.0,11000,690.1,1265761.0,4123.0,0.844615385
Groundnut,1997,Kharif     ,Punjab,8000.0,8000,690.1,761360.0,2480.0,1.0
Maize,1997,Kharif     ,Punjab,165000.0,345000,690.1,15703050.0,51150.0,2.102727273
Masoor,1997,Rabi       ,Punjab,5200.0,3400,690.1,494884.0,1612.0,0.72625
Moong(Green Gram),1997,Whole Year ,Punjab,49300.0,31700,690.1,4691881.0,15283.0,0.601666667
Rapeseed &Mustard,1997,Rabi       ,Punjab,72000.0,63000,690.1,6852240.0,22320.0,0.925882353
Rice,1997,Kharif     ,Punjab,2281000.0,7904000,690.1,217082770.0,707110.0,3.476470588
Sesamum,1997,Kharif     ,Punjab,14300.0,4500,690.1,1360931.0,4433.0,0.447
Sugarcane,1997,Whole Year ,Punjab,126000.0,7150000,690.1,11991420.0,39060.0,58.046875
Urad,1997,Kharif     ,Punjab,4700.0,1900,690.1,447299.0,1457.0,0.446666667
Wheat,1997,Rabi       ,Punjab,3300000.0,12715000,690.1,314061000.0,1023000.0,3.781176471
Arhar/Tur,1998,Kharif     ,Punjab,8700.0,5400,588.6,859560.0,2523.0,0.685
Bajra,1998,Kharif     ,Punjab,4000.0,4000,588.6,395200.0,1160.0,1.0
Barley,1998,Rabi       ,Punjab,31000.0,100000,588.6,3062800.0,8990.0,3.122727273
Cotton(lint),1998,Kharif     ,Punjab,562000.0,595000,588.6,55525600.0,162980.0,1.004
Gram,1998,Rabi       ,Punjab,15200.0,10400,588.6,1501760.0,4408.0,0.765833333
Groundnut,1998,Kharif     ,Punjab,6000.0,5000,588.6,592800.0,1740.0,0.9175
Linseed,1998,Rabi       ,Punjab,300.0,300,588.6,29640.0,87.0,1.0
Maize,1998,Kharif     ,Punjab,154000.0,352000,588.6,15215200.0,44660.0,2.42
Masoor,1998,Rabi       ,Punjab,4800.0,3200,588.6,474240.0,1392.0,0.73125
Moong(Green Gram),1998,Kharif     ,Punjab,42300.0,25600,588.6,4179240.0,12267.0,0.596666667
Peas & beans (Pulses),1998,Rabi       ,Punjab,4300.0,4100,588.6,424840.0,1247.0,0.944444444
