Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,2013,Kharif     ,Telangana,261516.0,138315,1348.7,37786446.84,70609.32,0.577777778
Arhar/Tur,2013,Rabi       ,Telangana,1398.0,922,1348.7,201997.02,377.46,0.61
Bajra,2013,Kharif     ,Telangana,4281.0,4033,1348.7,618561.69,1155.87,0.964
Bajra,2013,Rabi       ,Telangana,8937.0,8419,1348.7,1291307.13,2412.99,0.97
Banana,2013,Whole Year ,Telangana,1522.0,47401,1348.7,219913.78,410.94,31.14714286
Cashewnut,2013,Kharif     ,Telangana,4235.0,2710,1348.7,611915.15,1143.45,0.635
Castor seed,2013,Kharif     ,Telangana,78475.0,55516,1348.7,11338852.75,21188.25,0.60625
Castor seed,2013,Rabi       ,Telangana,1358.0,964,1348.7,196217.42,366.66,0.713333333
Coconut ,2013,Whole Year ,Telangana,428.0,6956712,1348.7,61841.72,115.56,16254.0
Coriander,2013,Whole Year ,Telangana,1378.0,978,1348.7,199107.22,372.06,0.701428571
Cotton(lint),2013,Kharif     ,Telangana,1712830.0,4265305,1348.7,247486806.7,462464.1,2.458888889
Cowpea(Lobia),2013,Kharif     ,Telangana,2162.0,1209,1348.7,312387.38,583.74,0.515
Cowpea(Lobia),2013,Rabi       ,Telangana,8572.0,6669,1348.7,1238568.28,2314.44,0.75
Dry chillies,2013,Kharif     ,Telangana,54378.0,171985,1348.7,7857077.22,14682.06,2.717777778
Dry chillies,2013,Rabi       ,Telangana,24557.0,107792,1348.7,3548240.93,6630.39,4.40625
Ginger,2013,Kharif     ,Telangana,1767.0,12703,1348.7,255313.83,477.09,6.776666667
Ginger,2013,Rabi       ,Telangana,4.0,26,1348.7,577.96,1.08,6.5
Gram,2013,Kharif     ,Telangana,54.0,73,1348.7,7802.46,14.58,1.35
Gram,2013,Rabi       ,Telangana,113374.0,194546,1348.7,16381409.26,30610.98,1.525555556
Groundnut,2013,Kharif     ,Telangana,21394.0,32071,1348.7,3091219.06,5776.38,1.25875
Groundnut,2013,Rabi       ,Telangana,188660.0,323072,1348.7,27259483.4,50938.2,1.644444444
Horse-gram,2013,Kharif     ,Telangana,507.0,315,1348.7,73256.43,136.89,0.61
Horse-gram,2013,Rabi       ,Telangana,2437.0,1165,1348.7,352122.13,657.99,0.481428571
Jowar,2013,Kharif     ,Telangana,70833.0,76868,1348.7,10234660.17,19124.91,0.951428571
Jowar,2013,Rabi       ,Telangana,36331.0,32017,1348.7,5249466.19,9809.37,0.906666667
Linseed,2013,Rabi       ,Telangana,229.0,112,1348.7,33088.21,61.83,0.49
Maize,2013,Kharif     ,Telangana,552897.0,2436849,1348.7,79888087.53,149282.19,4.022222222
Maize,2013,Rabi       ,Telangana,197322.0,1074644,1348.7,28511055.78,53276.94,5.292222222
Masoor,2013,Rabi       ,Telangana,382.0,196,1348.7,55195.18,103.14,0.51
Mesta,2013,Kharif     ,Telangana,25.0,229,1348.7,3612.25,6.75,9.155
Mesta,2013,Rabi       ,Telangana,85.0,780,1348.7,12281.65,22.95,9.18
Moong(Green Gram),2013,Kharif     ,Telangana,110951.0,73489,1348.7,16031309.99,29956.77,0.656666667
Moong(Green Gram),2013,Rabi       ,Telangana,12516.0,11549,1348.7,1808436.84,3379.32,0.9325
Onion,2013,Kharif     ,Telangana,3984.0,74919,1348.7,575648.16,1075.68,18.82666667
Onion,2013,Rabi       ,Telangana,10794.0,359826,1348.7,1559625.06,2914.38,31.81375
Other  Rabi pulses,2013,Rabi       ,Telangana,467.0,660,1348.7,67476.83,126.09,1.315
Other Kharif pulses,2013,Kharif     ,Telangana,346.0,109,1348.7,49993.54,93.42,0.37
Potato,2013,Whole Year ,Telangana,3512.0,47411,1348.7,507448.88,948.24,14.71
Ragi,2013,Kharif     ,Telangana,1204.0,1727,1348.7,173965.96,325.08,1.593333333
Ragi,2013,Rabi       ,Telangana,511.0,794,1348.7,73834.39,137.97,1.55
Rapeseed &Mustard,2013,Rabi       ,Telangana,843.0,644,1348.7,121805.07,227.61,0.834
Rice,2013,Kharif     ,Telangana,1166334.0,3768045,1348.7,168523599.7,314910.18,3.115555556
Rice,2013,Rabi       ,Telangana,828103.0,2813045,1348.7,119652602.5,223587.81,3.203333333
Safflower,2013,Rabi       ,Telangana,7867.0,5573,1348.7,1136702.83,2124.09,0.75
Sesamum,2013,Kharif     ,Telangana,5713.0,1300,1348.7,825471.37,1542.51,0.242857143
Sesamum,2013,Rabi       ,Telangana,18484.0,7410,1348.7,2670753.16,4990.68,0.392857143
Small millets,2013,Kharif     ,Telangana,882.0,665,1348.7,127440.18,238.14,0.75
Soyabean,2013,Kharif     ,Telangana,242438.0,390305,1348.7,35029866.62,65458.26,1.6
