Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1998,Kharif     ,Tripura,790.0,520,2472.9,78052.0,229.1,0.67
Cotton(lint),1998,Kharif     ,Tripura,750.0,850,2472.9,74100.0,217.5,1.155
Gram,1998,Rabi       ,Tripura,170.0,110,2472.9,16796.0,49.3,0.665
Groundnut,1998,Kharif     ,Tripura,1420.0,1410,2472.9,140296.0,411.8,0.9925
Groundnut,1998,Rabi       ,Tripura,365.0,315,2472.9,36062.0,105.85,0.8425
Jute,1998,Kharif     ,Tripura,1260.0,10000,2472.9,124488.0,365.4,7.8975
Maize,1998,Kharif     ,Tripura,2320.0,1730,2472.9,229216.0,672.8,0.7475
Masoor,1998,Rabi       ,Tripura,295.0,120,2472.9,29146.0,85.55,0.405
Mesta,1998,Kharif     ,Tripura,2175.0,15250,2472.9,214890.0,630.75,7.255
Moong(Green Gram),1998,Kharif     ,Tripura,700.0,330,2472.9,69160.0,203.0,0.4675
Moong(Green Gram),1998,Rabi       ,Tripura,630.0,260,2472.9,62244.0,182.7,0.4125
Other  Rabi pulses,1998,Rabi       ,Tripura,1025.0,600,2472.9,101270.0,297.25,0.58
Other Kharif pulses,1998,Kharif     ,Tripura,1560.0,1100,2472.9,154128.0,452.4,0.7
Peas & beans (Pulses),1998,Rabi       ,Tripura,780.0,470,2472.9,77064.0,226.2,0.6025
Rapeseed &Mustard,1998,Rabi       ,Tripura,3630.0,2900,2472.9,358644.0,1052.7,0.8025
Rice,1998,Kharif     ,Tripura,255487.0,491430,2472.9,25242115.6,74091.23,1.8775
Sesamum,1998,Kharif     ,Tripura,2170.0,930,2472.9,214396.0,629.3,0.4275
Sugarcane,1998,Whole Year ,Tripura,1080.0,51300,2472.9,106704.0,313.2,48.21
Urad,1998,Kharif     ,Tripura,1000.0,470,2472.9,98800.0,290.0,0.4725
Urad,1998,Rabi       ,Tripura,500.0,230,2472.9,49400.0,145.0,0.4575
Wheat,1998,Rabi       ,Tripura,1110.0,2100,2472.9,109668.0,321.9,1.9025
Arhar/Tur,2004,Kharif     ,Tripura,1481.0,997,2706.3,160451.54,311.01,0.69
Cotton(lint),2004,Kharif     ,Tripura,1045.0,1555,2706.3,113215.3,219.45,1.4875
Gram,2004,Rabi       ,Tripura,266.0,187,2706.3,28818.44,55.86,0.7025
Groundnut,2004,Kharif     ,Tripura,442.0,459,2706.3,47886.28,92.82,1.005
Groundnut,2004,Rabi       ,Tripura,197.0,210,2706.3,21342.98,41.37,1.1575
Jute,2004,Kharif     ,Tripura,978.0,7748,2706.3,105956.52,205.38,7.88
Maize,2004,Kharif     ,Tripura,2790.0,2967,2706.3,302268.6,585.9,1.0525
Masoor,2004,Rabi       ,Tripura,422.0,215,2706.3,45719.48,88.62,0.5225
Mesta,2004,Kharif     ,Tripura,1250.0,9650,2706.3,135425.0,262.5,7.9425
