Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335
1997,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154
1997,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444
1998,Kharif     ,Karnataka,1079193.0,2599170,1260.8,106624268.4,312965.97,2.310740741
1998,Rabi       ,Karnataka,51782.0,106072,1260.8,5116061.6,15016.78,2.054285714
1998,Summer     ,Karnataka,295830.0,951569,1260.8,29228004.0,85790.7,2.99375
2000,Kharif     ,Karnataka,1120549.0,2792657,1213.3,110004295.3,291342.74,2.357407407
2000,Rabi       ,Karnataka,52005.0,106335,1213.3,5105330.85,13521.3,2.064615385
2000,Summer     ,Karnataka,310892.0,947744,1213.3,30520267.64,80831.92,2.751304348
2001,Kharif     ,Karnataka,1087967.0,2393946,1002.9,111114069.7,282871.42,2.154814815
2001,Rabi       ,Karnataka,53480.0,99699,1002.9,5461912.4,13904.8,1.840714286
2001,Summer     ,Karnataka,276277.0,740400,1002.9,28216170.01,71832.02,2.4368
2003,Kharif     ,Karnataka,944272.0,2100123,867.6,93464042.56,226625.28,2.133333333
2003,Rabi       ,Karnataka,54629.0,158046,867.6,5407178.42,13110.96,2.892
2003,Summer     ,Karnataka,74998.0,292230,867.6,7423302.04,17999.52,3.8768
2004,Kharif     ,Karnataka,1055061.0,2627561,1117.7,114305308.7,221562.81,2.37
2004,Rabi       ,Karnataka,43861.0,144235,1117.7,4751900.74,9210.81,3.388666667
2004,Summer     ,Karnataka,209257.0,935326,1117.7,22670903.38,43943.97,4.251666667
2005,Kharif     ,Karnataka,1075993.0,2770413,1316.2,129033080.6,225958.53,2.50962963
2005,Rabi       ,Karnataka,44944.0,97483,1316.2,5389684.48,9438.24,2.2675
2005,Summer     ,Karnataka,364244.0,1131350,1316.2,43680140.48,76491.24,3.0144
2006,Kharif     ,Karnataka,1066981.0,2723038,1146.3,136264143.5,234735.82,2.428148148
2006,Rabi       ,Karnataka,44063.0,99796,1146.3,5627285.73,9693.86,2.335333333
2006,Summer     ,Karnataka,284632.0,822692,1146.3,36350352.72,62619.04,2.6825
2007,Kharif     ,Karnataka,1051466.0,2791181,1323.3,140265564.4,168234.56,2.567586207
2007,Rabi       ,Karnataka,40325.0,86756,1323.3,5379355.0,6452.0,2.255333333
2007,Summer     ,Karnataka,324525.0,990578,1323.3,43291635.0,51924.0,2.846923077
2008,Kharif     ,Karnataka,1129883.0,2906761,1164.1,161618464.3,101689.47,2.513448276
2008,Rabi       ,Karnataka,40982.0,89072,1164.1,5862065.28,3688.38,2.514166667
2008,Summer     ,Karnataka,343122.0,1035706,1164.1,49080170.88,30880.98,2.786923077
2009,Kharif     ,Karnataka,1102221.0,2734838,1321.0,171748076.2,187377.57,2.397931034
2009,Rabi       ,Karnataka,37747.0,84636,1321.0,5881737.54,6416.99,2.416666667
2009,Summer     ,Karnataka,346510.0,1057933,1321.0,53993188.2,58906.7,2.806923077
2010,Kharif     ,Karnataka,1129304.0,3192746,1317.7,187588687.4,271032.96,2.654
2010,Rabi       ,Karnataka,49700.0,117501,1317.7,8255667.0,11928.0,2.668333333
2010,Summer     ,Karnataka,360062.0,1163725,1317.7,59809898.82,86414.88,2.935714286
2011,Kharif     ,Karnataka,1117720.0,3218289,1178.986364,187240454.4,368847.6,2.702666667
2011,Rabi       ,Karnataka,43192.0,94196,1178.986364,7235523.84,14253.36,2.378181818
2011,Summer     ,Karnataka,255223.0,869134,1178.986364,42754956.96,84223.59,2.931428571
2012,Kharif     ,Karnataka,1048427.0,2667359,956.2,158102791.6,325012.37,2.418333333
2012,Rabi       ,Karnataka,45326.0,109309,956.2,6835160.8,14051.06,2.394615385
2012,Summer     ,Karnataka,185162.0,587711,956.2,27922429.6,57400.22,2.747777778
2013,Kharif     ,Karnataka,1035111.0,3057894,1235.6,149563188.4,279479.97,2.792666667
2013,Rabi       ,Karnataka,40896.0,102639,1235.6,5909063.04,11041.92,2.545833333
2013,Summer     ,Karnataka,264028.0,892066,1235.6,38149405.72,71287.56,3.022962963
2014,Kharif     ,Karnataka,1000025.0,3057611,1238.5,150963774.0,330008.25,2.812333333
2014,Rabi       ,Karnataka,48096.0,118479,1238.5,7260572.16,15871.68,2.493846154
2014,Summer     ,Karnataka,278414.0,851657,1238.5,42029377.44,91876.62,2.852
2015,Kharif     ,Karnataka,977005.0,2641669,1024.9,154278859.5,322411.65,2.525666667
2015,Rabi       ,Karnataka,29329.0,71420,1024.9,4631342.39,9678.57,2.456428571
2015,Summer     ,Karnataka,103711.0,307524,1024.9,16377004.01,34224.63,2.785769231
2016,Kharif     ,Karnataka,942025.0,2611754,1147.2,144365331.3,329708.75,2.529666667
2016,Rabi       ,Karnataka,18686.0,49615,1147.2,2863629.5,6540.1,2.525333333
2016,Summer     ,Karnataka,73832.0,212837,1147.2,11314754.0,25841.2,2.852692308
2017,Kharif     ,Karnataka,737547.0,2123100,1111.7,116119399.7,280267.86,2.9
2017,Rabi       ,Karnataka,30634.0,81726,1111.7,4823016.96,11640.92,2.773076923
2017,Summer     ,Karnataka,224744.0,702645,1111.7,35383695.36,85402.72,3.063703704
2018,Kharif     ,Karnataka,1037158.0,2949318,1419.1,168227027.6,363005.3,2.637
2018,Rabi       ,Karnataka,11442.0,28334,1419.1,1855892.4,4004.7,2.480833333
2018,Summer     ,Karnataka,150993.0,484330,1419.1,24491064.6,52847.55,2.9272
2019,Kharif     ,Karnataka,964087.0,3088937,1422.3,165591583.1,356712.19,2.924
2019,Rabi       ,Karnataka,11266.0,31038,1422.3,1935048.16,4168.42,2.881428571
2019,Summer     ,Karnataka,272701.0,827998,1422.3,46839123.76,100899.37,2.86862069
1999,Kharif     ,Karnataka,1096198.0,2678951,1203.8,116339493.7,295973.46,2.292962963
1999,Rabi       ,Karnataka,52778.0,107289,1203.8,5601329.14,14250.06,2.079285714
1999,Summer     ,Karnataka,300820.0,930490,1203.8,31926026.6,81221.4,2.7336
2002,Kharif     ,Karnataka,1030464.0,2103709,860.8,97554026.88,257616.0,2.035185185
2002,Rabi       ,Karnataka,50456.0,102312,860.8,4776669.52,12614.0,2.000666667
2002,Summer     ,Karnataka,73863.0,184064,860.8,6992610.21,18465.75,2.378
1998,Autumn     ,Kerala,120217.0,235849,3151.5,11877439.6,34862.93,1.856923077
1998,Summer     ,Kerala,57700.0,144872,3151.5,5700760.0,16733.0,2.116153846
1998,Winter     ,Kerala,174714.0,346022,3151.5,17261743.2,50667.06,1.937142857
1999,Autumn     ,Kerala,121525.0,252876,2914.6,12897448.25,32811.75,2.081538462
1999,Summer     ,Kerala,58021.0,144551,2914.6,6157768.73,15665.67,2.292857143
1999,Winter     ,Kerala,170228.0,373259,2914.6,18066297.64,45961.56,2.097142857
2000,Autumn     ,Kerala,129752.0,260306,2412.6,12737753.84,33735.52,1.938461538
2000,Summer     ,Kerala,55258.0,154606,2412.6,5424677.86,14367.08,2.23
2000,Winter     ,Kerala,162445.0,336416,2412.6,15947225.65,42235.7,2.042857143
2001,Autumn     ,Kerala,116540.0,235838,2946.7,11902230.2,30300.4,1.886923077
2001,Summer     ,Kerala,43850.0,105032,2946.7,4478400.5,11401.0,2.151428571
2001,Winter     ,Kerala,161978.0,362634,2946.7,16542813.14,42114.28,2.153571429
2002,Autumn     ,Kerala,112438.0,233217,2511.2,10644505.46,28109.5,2.130769231
2002,Summer     ,Kerala,41079.0,111850,2511.2,3888948.93,10269.75,2.212142857
2002,Winter     ,Kerala,157004.0,343792,2511.2,14863568.68,39251.0,2.123571429
2003,Autumn     ,Kerala,102770.0,220132,2386.0,10172174.6,24664.8,2.140769231
2003,Summer     ,Kerala,37186.0,83239,2386.0,3680670.28,8924.64,1.845
2003,Winter     ,Kerala,147384.0,266674,2386.0,14588068.32,35372.16,1.960714286
2004,Autumn     ,Kerala,105349.0,241824,2880.2,11413510.66,22123.29,2.271538462
2004,Summer     ,Kerala,35732.0,89752,2880.2,3871204.88,7503.72,2.256923077
2004,Winter     ,Kerala,148893.0,335529,2880.2,16131067.62,31267.53,2.175714286
2005,Autumn     ,Kerala,98256.0,212520,3030.9,11782859.52,20633.76,2.096923077
