Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
1997,Whole Year ,Gujarat,672600.0,1042300,798.9,64011342.0,208506.0,1.665
1998,Kharif     ,Gujarat,622100.0,1015900,775.6,61463480.0,180409.0,1.695384615
1999,Kharif     ,Gujarat,664400.0,984900,458.9,70512772.0,179388.0,1.510714286
2000,Kharif     ,Gujarat,583500.0,472600,379.7,57282195.0,151710.0,0.8725
2000,Summer     ,Gujarat,3900.0,10700,379.7,382863.0,1014.0,3.53
2001,Kharif     ,Gujarat,664000.0,1028700,666.5,67814320.0,172640.0,1.533571429
2001,Summer     ,Gujarat,3800.0,11500,666.5,388094.0,988.0,2.935
2002,Kharif     ,Gujarat,469000.0,541700,458.4,44400230.0,117250.0,1.209230769
2002,Summer     ,Gujarat,11800.0,54700,458.4,1117106.0,2950.0,4.53
2003,Kharif     ,Gujarat,651400.0,1193200,902.5,64475572.0,156336.0,1.7125
2003,Summer     ,Gujarat,23900.0,83800,902.5,2365622.0,5736.0,3.565714286
2004,Kharif     ,Gujarat,665600.0,1157300,719.8,72111104.0,139776.0,1.730666667
2004,Summer     ,Gujarat,13800.0,39200,719.8,1495092.0,2898.0,2.68625
2005,Kharif     ,Gujarat,648300.0,1209300,942.4,77744136.0,136143.0,1.843125
2005,Summer     ,Gujarat,24600.0,74300,942.4,2950032.0,5166.0,3.054444444
2006,Kharif     ,Gujarat,655600.0,1045200,1056.2,83726676.0,144232.0,1.601875
2006,Summer     ,Gujarat,33700.0,96000,1056.2,4303827.0,7414.0,2.855555556
2007,Kharif     ,Gujarat,726000.0,1376300,1021.6,96848400.0,116160.0,1.8325
2007,Summer     ,Gujarat,32600.0,97900,1021.6,4348840.0,5216.0,3.043333333
2008,Kharif     ,Gujarat,722100.0,1225500,746.1,103289184.0,64989.0,1.615294118
2008,Summer     ,Gujarat,25200.0,77400,746.1,3604608.0,2268.0,2.921111111
2009,Kharif     ,Gujarat,658500.0,1228400,618.0,102607470.0,111945.0,1.693529412
2009,Summer     ,Gujarat,21000.0,64600,618.0,3272220.0,3570.0,3.034444444
2010,Kharif     ,Gujarat,728300.0,1423800,1107.5,120977913.0,174792.0,1.8275
2010,Summer     ,Gujarat,79800.0,242000,1107.5,13255578.0,19152.0,2.987777778
2011,Kharif     ,Gujarat,751300.0,1521800,890.5,125857776.0,247929.0,1.951666667
2011,Summer     ,Gujarat,84200.0,267900,890.5,14105184.0,27786.0,3.122222222
2012,Kharif     ,Gujarat,672000.0,1408100,460.6,101337600.0,208320.0,1.98
2012,Summer     ,Gujarat,29100.0,89200,460.6,4388280.0,9021.0,2.943
2013,Kharif     ,Gujarat,787300.0,1672585,1006.5,113756977.0,212571.0,1.939411765
2013,Summer     ,Gujarat,33099.0,105505,1006.5,4782474.51,8936.73,3.133636364
2014,Kharif     ,Gujarat,763205.0,1671308,605.6,115213426.8,251857.65,1.867368421
2014,Summer     ,Gujarat,31238.0,100275,605.6,4715688.48,10308.54,3.144166667
2015,Kharif     ,Gujarat,741042.0,1584355,584.3,117017942.2,244543.86,1.895238095
2015,Summer     ,Gujarat,33140.0,107509,584.3,5233137.4,10936.2,3.201818182
2016,Kharif     ,Gujarat,792207.0,1808275,710.5,121405722.8,277272.45,2.0745
2016,Summer     ,Gujarat,55403.0,180196,710.5,8490509.75,19391.05,3.133333333
2017,Kharif     ,Gujarat,802674.0,1749613,814.8,126372994.6,305016.12,2.0375
2017,Summer     ,Gujarat,52616.0,140196,814.8,8283863.04,19994.08,2.657857143
2018,Kharif     ,Gujarat,809367.0,1819260,1125.4,131279327.4,283278.45,2.131
2018,Summer     ,Gujarat,29582.0,92755,1125.4,4798200.4,10353.7,2.676153846
2019,Kharif     ,Gujarat,849599.0,1821136,1067.8,145927124.2,314351.63,1.948571429
2019,Summer     ,Gujarat,54751.0,161497,1067.8,9404031.76,20257.87,2.848571429
1998,Kharif     ,Goa,41000.0,104249,2964.9,4050800.0,11890.0,2.54
1998,Rabi       ,Goa,15439.0,46925,2964.9,1525373.2,4477.31,3.04
1999,Kharif     ,Goa,40500.0,96281,3879.3,4298265.0,10935.0,2.38
1999,Rabi       ,Goa,16213.0,43642,3879.3,1720685.69,4377.51,2.69
2000,Kharif     ,Goa,41000.0,96568,3886.9,4024970.0,10660.0,2.36
2000,Rabi       ,Goa,16207.0,45555,3886.9,1591041.19,4213.82,2.81
2001,Kharif     ,Goa,32746.0,79071,2530.6,3344348.98,8513.96,2.41
2001,Rabi       ,Goa,16637.0,47452,2530.6,1699136.81,4325.62,2.85
2002,Kharif     ,Goa,33728.0,90072,2516.3,3193029.76,8432.0,2.67
2002,Rabi       ,Goa,16441.0,44695,2516.3,1556469.47,4110.25,2.72
2003,Kharif     ,Goa,35471.0,115996,3011.6,3510919.58,8513.04,3.27
2003,Rabi       ,Goa,17330.0,54665,3011.6,1715323.4,4159.2,3.15
2013,Kharif     ,Goa,28330.0,80114,3642.6,4093401.7,7649.1,2.82
2013,Rabi       ,Goa,14490.0,46397,3642.6,2093660.1,3912.3,3.205
2014,Kharif     ,Goa,27840.0,81269,3491.2,4202726.4,9187.2,2.925
2014,Rabi       ,Goa,14130.0,39236,3491.2,2133064.8,4662.9,2.775
2015,Kharif     ,Goa,27730.0,78489,2587.1,4378844.3,9150.9,2.83
2015,Rabi       ,Goa,13614.0,36579,2587.1,2149786.74,4492.62,2.76
2016,Kharif     ,Goa,27630.0,77109,3266.9,4234297.5,9670.5,2.795
2016,Rabi       ,Goa,13193.0,36118,3266.9,2021827.25,4617.55,2.745
2017,Kharif     ,Goa,27219.0,71279,2772.5,4285359.36,10343.22,2.635
2017,Rabi       ,Goa,11301.0,31718,2772.5,1779229.44,4294.38,2.855
2018,Kharif     ,Goa,25841.0,70272,4406.0,4191410.2,9044.35,2.72
2018,Rabi       ,Goa,10543.0,28582,4406.0,1710074.6,3690.05,2.72
2019,Kharif     ,Goa,24411.0,60556,4489.5,4192833.36,9032.07,2.475
2019,Rabi       ,Goa,10287.0,29819,4489.5,1766895.12,3806.19,2.95
2004,Kharif     ,Goa,52442.0,145174,2518.0,5681566.28,11012.82,2.75
2005,Kharif     ,Goa,52177.0,147236,3392.8,6257065.84,10957.17,2.81
2006,Kharif     ,Goa,52985.0,128945,2928.8,6766714.35,11656.7,2.41
2007,Kharif     ,Goa,52191.0,121679,3674.7,6962279.4,8350.56,2.32
1997,Kharif     ,Goa,15169.0,40864,3680.3,1443633.73,4702.39,2.69
1997,Rabi       ,Goa,6417.0,19052,3680.3,610705.89,1989.27,2.97
2008,Kharif     ,Goa,33638.0,78705,3271.6,4811579.52,3027.42,2.325
2008,Rabi       ,Goa,15688.0,43162,3271.6,2244011.52,1411.92,2.755
2009,Kharif     ,Goa,31166.0,59267,3334.9,4856286.12,5298.22,1.895
2009,Rabi       ,Goa,15938.0,41338,3334.9,2483459.16,2709.46,2.57
2010,Kharif     ,Goa,30632.0,72221,4193.3,5088281.52,7351.68,2.35
2010,Rabi       ,Goa,15980.0,42773,4193.3,2654437.8,3835.2,2.68
2011,Kharif     ,Goa,31247.0,78770,3340.395455,5234497.44,10311.51,2.495
2011,Rabi       ,Goa,15990.0,43221,3340.395455,2678644.8,5276.7,2.7
2012,Kharif     ,Goa,31255.0,81229,3048.9,4713254.0,9689.05,2.59
2012,Rabi       ,Goa,14575.0,41592,3048.9,2197910.0,4518.25,2.85
1997,Kharif     ,Maharashtra,1339000.0,2330000,1156.1,127432630.0,415090.0,8.778275862
1997,Summer     ,Maharashtra,329.0,646,1156.1,31310.93,101.99,2.018888889
1998,Kharif     ,Maharashtra,1445700.0,2395100,1314.8,142835160.0,419253.0,1.267241379
1998,Summer     ,Maharashtra,37400.0,72500,1314.8,3695120.0,10846.0,2.053333333
1999,Kharif     ,Maharashtra,1457100.0,2466400,1166.5,154642023.0,393417.0,1.211935484
1999,Summer     ,Maharashtra,41400.0,82900,1166.5,4393782.0,11178.0,2.081
2000,Kharif     ,Maharashtra,1486400.0,1879200,1057.8,145919888.0,386464.0,0.9865625
2000,Summer     ,Maharashtra,25100.0,50500,1057.8,2464067.0,6526.0,1.987
2001,Kharif     ,Maharashtra,1487200.0,2590400,1035.8,151887736.0,386672.0,1.261875
2001,Summer     ,Maharashtra,26800.0,60800,1035.8,2737084.0,6968.0,2.192
2002,Kharif     ,Maharashtra,1496800.0,1793000,967.4,141702056.0,374200.0,0.8903125
2002,Summer     ,Maharashtra,26500.0,61100,967.4,2508755.0,6625.0,2.288
2003,Kharif     ,Maharashtra,1500400.0,2768600,1037.4,148509592.0,360096.0,1.232258065
2003,Summer     ,Maharashtra,29500.0,65500,1037.4,2919910.0,7080.0,2.217
2004,Kharif     ,Maharashtra,1488200.0,2098200,1052.0,161231588.0,312522.0,1.022903226
2004,Summer     ,Maharashtra,20500.0,49000,1052.0,2220970.0,4305.0,2.463
2005,Kharif     ,Maharashtra,1473700.0,2596800,1387.2,176726104.0,309477.0,1.215666667
2005,Summer     ,Maharashtra,38800.0,72200,1387.2,4652896.0,8148.0,2.007
2006,Kharif     ,Maharashtra,1491300.0,2488600,1439.4,190453923.0,328086.0,1.166333333
2006,Summer     ,Maharashtra,38000.0,81100,1439.4,4852980.0,8360.0,2.176
2007,Kharif     ,Maharashtra,1535300.0,2912800,1257.2,204809020.0,245648.0,1.377241379
2007,Summer     ,Maharashtra,41400.0,98700,1257.2,5522760.0,6624.0,2.486
2008,Kharif     ,Maharashtra,1499500.0,2234300,1052.8,214488480.0,134955.0,1.170740741
2008,Summer     ,Maharashtra,22000.0,53200,1052.8,3146880.0,1980.0,2.421111111
2009,Kharif     ,Maharashtra,1450000.0,2138100,1002.4,225939000.0,246500.0,1.106071429
2009,Summer     ,Maharashtra,20600.0,47700,1002.4,3209892.0,3502.0,2.251111111
2010,Kharif     ,Maharashtra,1486200.0,2625100,1389.0,246872682.0,356688.0,1.3116
2010,Summer     ,Maharashtra,29500.0,65800,1389.0,4900245.0,7080.0,2.388888889
2011,Kharif     ,Maharashtra,1516400.0,2784600,1174.095455,254027328.0,500412.0,1.319642857
2011,Summer     ,Maharashtra,27800.0,64300,1174.095455,4657056.0,9174.0,2.427777778
2012,Kharif     ,Maharashtra,1528100.0,3001640,1003.4,230437480.0,473711.0,1.316153846
2012,Summer     ,Maharashtra,30900.0,76400,1003.4,4659720.0,9579.0,2.38
2013,Kharif     ,Maharashtra,1567500.0,3016600,1409.8,226488075.0,423225.0,1.436
2013,Summer     ,Maharashtra,37400.0,91690,1409.8,5403926.0,10098.0,2.423333333
2014,Kharif     ,Maharashtra,1508400.0,2835400,1001.6,227708064.0,497772.0,1.3064
2014,Summer     ,Maharashtra,42800.0,111200,1001.6,6461088.0,14124.0,2.52375
2015,Kharif     ,Maharashtra,1471400.0,2517100,875.7,232348774.0,485562.0,1.334583333
2015,Summer     ,Maharashtra,31400.0,76000,875.7,4958374.0,10362.0,2.538888889
2016,Kharif     ,Maharashtra,1465730.0,3419021,1151.1,224623122.5,513005.5,1.664444444
2016,Summer     ,Maharashtra,69640.0,161900,1151.1,10672330.0,24374.0,2.369166667
