Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
1998,Kharif     ,Madhya Pradesh,5438800.0,3346300,962.7,537353440.0,1577252.0,0.586785714
1999,Kharif     ,Madhya Pradesh,5514025.0,6663769,1222.9,585203473.3,1488786.75,1.110508475
2000,Kharif     ,Madhya Pradesh,1697346.0,975274,723.3,166628456.8,441309.96,0.613555556
2001,Kharif     ,Madhya Pradesh,1766150.0,1685799,955.0,180376899.5,459199.0,0.849333333
2002,Kharif     ,Madhya Pradesh,1671107.0,1024930,800.8,158203699.7,417776.75,0.608
2003,Kharif     ,Madhya Pradesh,1708583.0,1743430,1163.0,169115545.3,410059.92,0.997916667
2004,Kharif     ,Madhya Pradesh,1675513.0,1302615,895.7,181525078.4,351857.73,0.803541667
2005,Kharif     ,Madhya Pradesh,1700446.0,1687475,1032.7,203917484.3,357093.66,0.881041667
2006,Kharif     ,Madhya Pradesh,1674013.0,1389269,1072.3,213788200.2,368282.86,0.856666667
2007,Kharif     ,Madhya Pradesh,1634912.0,1325175,740.4,218097260.8,261585.92,0.875
2008,Kharif     ,Madhya Pradesh,1706557.0,1571103,895.0,244105913.3,153590.13,0.911020408
2009,Whole Year ,Madhya Pradesh,1593071.0,1355660,904.1,248232323.2,270822.07,0.906041667
2010,Kharif     ,Madhya Pradesh,1573535.0,1766596,856.3,261379898.8,377648.4,1.211666667
2011,Kharif     ,Madhya Pradesh,1693231.0,2273045,852.6,283650057.1,558766.23,1.400416667
2012,Kharif     ,Madhya Pradesh,1791157.0,3106146,1049.5,270106475.6,555258.67,1.631041667
2013,Kharif     ,Madhya Pradesh,1881546.0,3321724,1451.4,271864581.5,508017.42,1.410204082
2014,Kharif     ,Madhya Pradesh,2057000.0,3522660,891.2,310524720.0,678810.0,1.663488372
2015,Kharif     ,Madhya Pradesh,2027000.0,3546790,1000.7,320083570.0,668910.0,1.701904762
2016,Kharif     ,Madhya Pradesh,2260000.0,5400540,1048.4,346345000.0,791000.0,2.040294118
2017,Kharif     ,Madhya Pradesh,2023070.0,4869658,800.0,318512140.8,768766.6,1.806888889
2017,Summer     ,Madhya Pradesh,12070.0,29400,800.0,1900300.8,4586.6,1.965294118
2018,Kharif     ,Madhya Pradesh,2794020.0,5238850,1102.2,453190044.0,977907.0,1.444901961
2019,Kharif     ,Madhya Pradesh,3076000.0,7268659,1446.7,528333760.0,1138120.0,1.858
2019,Summer     ,Madhya Pradesh,34311.0,94770,1446.7,5893257.36,12695.07,0.8775
2000,Kharif     ,Chhattisgarh,3769746.0,2369295,896.4,370075964.8,980133.96,0.6575
2001,Kharif     ,Chhattisgarh,3810112.0,5073721,1550.0,389126738.6,990629.12,1.34375
2002,Kharif     ,Chhattisgarh,3777661.0,2634853,1001.4,357631166.9,944415.25,0.710625
2003,Kharif     ,Chhattisgarh,3828992.0,5567644,1643.7,378993628.2,918958.08,1.4375
2004,Kharif     ,Chhattisgarh,3843825.0,4586818,1122.8,416440000.5,807203.25,1.160625
2005,Kharif     ,Chhattisgarh,3854352.0,5267537,1292.7,462213891.8,809413.92,1.30375
2006,Kharif     ,Chhattisgarh,3905319.0,5441525,1317.2,498748289.5,859170.18,1.247222222
2007,Kharif     ,Chhattisgarh,3902881.0,5634972,1246.2,520644325.4,624460.96,1.393888889
2008,Kharif     ,Chhattisgarh,3928815.0,4707499,1117.9,561977697.6,353593.35,1.198333333
2009,Kharif     ,Chhattisgarh,3837610.0,4347316,956.9,597976390.2,652393.7,1.106666667
2010,Kharif     ,Chhattisgarh,3937796.0,6637737,1283.1,654107293.6,945071.04,1.702222222
2011,Kharif     ,Chhattisgarh,3939826.0,6300825,1302.7,659999651.5,1300142.58,1.527777778
2012,Kharif     ,Chhattisgarh,3982172.0,7848401,1366.8,600511537.6,1234473.32,1.91962963
2013,Kharif     ,Chhattisgarh,3987721.0,7102729,1418.3,576185807.3,1076684.67,1.75037037
2014,Kharif     ,Chhattisgarh,4035700.0,7977746,1274.7,609229272.0,1331781.0,1.92962963
2015,Kharif     ,Chhattisgarh,3959746.0,5154328,1136.0,625283490.9,1306716.18,1.21962963
2016,Kharif     ,Chhattisgarh,4052587.0,8793273,1298.9,621058957.8,1418405.45,2.076666667
2017,Kharif     ,Chhattisgarh,3976626.0,5749044,1124.5,626079997.4,1511117.88,1.386296296
2018,Kharif     ,Chhattisgarh,4141378.0,6509430,1515.5,671731511.6,1449482.3,1.521481481
2019,Kharif     ,Chhattisgarh,4266022.0,8569367,1420.3,732731938.7,1578428.14,1.936428571
