Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1998,Kharif     ,Haryana,1086694.0,2432000,687.6,107365367.2,315141.26,2.286666667
Rice,1999,Kharif     ,Haryana,1083052.0,2563000,344.0,114944308.8,292424.04,2.235
Rice,2000,Kharif     ,Haryana,1054282.0,2695000,383.7,103498863.9,274113.32,2.443157895
Rice,2001,Kharif     ,Haryana,1027505.0,2726000,483.8,104939085.6,267151.3,2.645555556
Rice,2002,Kharif     ,Haryana,905651.0,2468000,353.9,85737980.17,226412.75,2.495
Rice,2003,Kharif     ,Haryana,1015191.0,2790000,592.3,100483605.2,243645.84,2.733333333
Rice,2004,Kharif     ,Haryana,1024236.0,3010000,484.6,110965728.2,215089.56,2.832777778
Rice,2005,Kharif     ,Haryana,1046588.0,3194000,516.9,125506833.0,219783.48,2.940526316
Rice,2006,Kharif     ,Haryana,1042036.0,3371000,329.3,133078417.6,229247.92,2.8545
Rice,2007,Kharif     ,Haryana,1072545.0,3606000,443.8,143077503.0,171607.2,3.191578947
Rice,2008,Kharif     ,Haryana,1211149.0,3299000,715.6,173242753.0,109003.41,2.569
Rice,2009,Kharif     ,Haryana,1206435.0,3628000,393.0,187986701.7,205093.95,2.673809524
Rice,2010,Kharif     ,Haryana,1243281.0,3465000,639.2,206521406.9,298387.44,2.561428571
Rice,2011,Kharif     ,Haryana,1234094.0,3574300,471.5409091,206735426.9,407251.02,2.63047619
Rice,2012,Kharif     ,Haryana,1206255.0,3941000,307.9,181903254.0,373939.05,3.041
Rice,2013,Kharif     ,Haryana,1244000.0,4041000,452.2,179745560.0,335880.0,3.112
Rice,2014,Kharif     ,Haryana,1277000.0,3989000,301.3,192775920.0,421410.0,2.9465
Rice,2015,Kharif     ,Haryana,1353000.0,4142000,426.8,213652230.0,446490.0,2.963
Rice,2016,Kharif     ,Haryana,1384700.0,4451000,554.7,212205275.0,484645.0,2.9505
Rice,2017,Kharif     ,Haryana,1422100.0,4880000,417.1,223895424.0,540398.0,3.096190476
Rice,2018,Kharif     ,Haryana,1447000.0,4516000,533.2,234703400.0,506450.0,2.94952381
Rice,2019,Kharif     ,Haryana,1558900.0,5194600,351.8,267756664.0,576793.0,3.048095238
Rice,1997,Kharif     ,Haryana,913000.0,2556000,661.2,86890210.0,283030.0,2.730588235
