Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1998,Kharif     ,Himachal Pradesh,82125.0,116997,1381.6,8113950.0,23816.25,1.455454545
Rice,1999,Kharif     ,Himachal Pradesh,80222.0,120365,1144.9,8513960.86,21659.94,1.55
Rice,2000,Kharif     ,Himachal Pradesh,81519.0,124893,1068.4,8002720.23,21194.94,1.55
Rice,2001,Kharif     ,Himachal Pradesh,80579.0,137418,918.1,8229533.27,20950.54,1.654545455
Rice,2002,Kharif     ,Himachal Pradesh,83273.0,85653,890.8,7883454.91,20818.25,1.133636364
Rice,2005,Kharif     ,Himachal Pradesh,79366.0,112139,1248.1,9517570.72,16666.86,1.396363636
Rice,2006,Kharif     ,Himachal Pradesh,79206.0,123485,1207.0,10115398.26,17425.32,1.750909091
Rice,2007,Kharif     ,Himachal Pradesh,78571.0,121453,1095.4,10481371.4,12571.36,1.686363636
Rice,2008,Kharif     ,Himachal Pradesh,77709.0,118277,1357.1,11115495.36,6993.81,1.6
Rice,2009,Kharif     ,Himachal Pradesh,76186.0,105787,969.9,11871302.52,12951.62,1.484545455
Rice,2010,Kharif     ,Himachal Pradesh,75426.0,110238,1319.8,12529012.86,18102.24,1.561818182
Rice,2011,Kharif     ,Himachal Pradesh,75043.0,108648,1108.3,12571203.36,24764.19,1.545454545
Rice,2012,Kharif     ,Himachal Pradesh,75380.0,111252,1035.0,11367304.0,23367.8,1.577272727
Rice,2013,Kharif     ,Himachal Pradesh,73139.0,106899,1216.9,10567854.11,19747.53,1.565454545
Rice,2014,Kharif     ,Himachal Pradesh,72380.0,116365,1019.9,10926484.8,23885.4,1.72
Rice,2015,Kharif     ,Himachal Pradesh,71614.0,114670,1223.2,11308566.74,23632.62,1.612727273
Rice,2016,Kharif     ,Himachal Pradesh,70855.0,103557,1373.9,10858528.75,24799.25,1.559090909
Rice,2017,Kharif     ,Himachal Pradesh,71613.0,114785,1182.2,11274750.72,27212.94,1.618181818
Rice,2018,Kharif     ,Himachal Pradesh,71810.0,114896,1052.2,11647582.0,25133.5,1.623636364
Rice,2019,Kharif     ,Himachal Pradesh,72620.0,116879,1217.7,12473211.2,26869.4,1.656363636
Rice,2003,Kharif     ,Himachal Pradesh,81335.0,120624,1112.6,8050538.3,19520.4,1.469090909
Rice,2004,Kharif     ,Himachal Pradesh,79519.0,109129,939.2,8615088.46,16698.99,1.454545455
