Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1999,Kharif     ,Nagaland,148000.0,222000,1782.2,15707240.0,39960.0,1.484285714
Rice,2000,Kharif     ,Nagaland,150000.0,230000,1631.8,14725500.0,39000.0,1.5025
Rice,2000,Rabi       ,Nagaland,1680.0,3330,1631.8,164925.6,436.8,1.98
Rice,2001,Kharif     ,Nagaland,155000.0,235000,1532.0,15830150.0,40300.0,1.485
Rice,2001,Rabi       ,Nagaland,1500.0,2000,1532.0,153195.0,390.0,1.76
Rice,2002,Kharif     ,Nagaland,150000.0,223400,1536.6,14200500.0,37500.0,1.46375
Rice,2003,Kharif     ,Nagaland,155000.0,220990,1709.8,15341900.0,37200.0,1.36
Rice,2003,Rabi       ,Nagaland,1000.0,2000,1709.8,98980.0,240.0,1.945
Rice,2004,Kharif     ,Nagaland,153000.0,259750,1711.5,16576020.0,32130.0,1.65625
Rice,2004,Rabi       ,Nagaland,1000.0,2000,1711.5,108340.0,210.0,1.99
Rice,2005,Kharif     ,Nagaland,155500.0,261300,1568.6,18647560.0,32655.0,1.6425
Rice,2005,Rabi       ,Nagaland,900.0,1800,1568.6,107928.0,189.0,2.06
Rice,2006,Kharif     ,Nagaland,163680.0,261920,1362.5,20903572.8,36009.6,1.595
Rice,2006,Rabi       ,Nagaland,1000.0,1600,1362.5,127710.0,220.0,1.605
Rice,2007,Kharif     ,Nagaland,166000.0,308800,1769.0,22144400.0,26560.0,1.8275
Rice,2007,Rabi       ,Nagaland,1500.0,2500,1769.0,200100.0,240.0,1.66
Rice,2008,Kharif     ,Nagaland,173100.0,345090,1540.9,24760224.0,15579.0,1.964545455
Rice,2009,Kharif     ,Nagaland,168570.0,240310,1225.9,26266577.4,28656.9,1.393636364
Rice,2010,Kharif     ,Nagaland,180060.0,378210,1771.8,29909766.6,43214.4,2.051818182
Rice,2010,Rabi       ,Nagaland,1330.0,3150,1771.8,220926.3,319.2,2.38
Rice,2011,Kharif     ,Nagaland,179050.0,376390,1544.354545,29994456.0,59086.5,2.049090909
Rice,2011,Rabi       ,Nagaland,2530.0,5990,1544.354545,423825.6,834.9,2.34
Rice,2012,Kharif     ,Nagaland,179780.0,396230,1296.6,27110824.0,55731.8,2.15
Rice,2012,Rabi       ,Nagaland,3550.0,8950,1296.6,535340.0,1100.5,2.52
Rice,2013,Kharif     ,Nagaland,185670.0,419640,1350.9,26827458.3,50130.9,2.203636364
Rice,2013,Rabi       ,Nagaland,3810.0,10000,1350.9,550506.9,1028.7,2.633333333
Rice,2014,Kharif     ,Nagaland,191230.0,443450,1333.3,28868080.8,63105.9,2.260909091
Rice,2014,Rabi       ,Nagaland,4010.0,10740,1333.3,605349.6,1323.3,2.683333333
Rice,2015,Kharif     ,Nagaland,176790.0,427240,1308.3,27916908.9,58340.7,2.41
Rice,2015,Rabi       ,Nagaland,4520.0,12220,1308.3,713753.2,1491.6,2.703333333
Rice,2016,Kharif     ,Nagaland,201860.0,491660,1959.8,30935045.0,70651.0,2.391818182
Rice,2016,Rabi       ,Nagaland,4800.0,13400,1959.8,735600.0,1680.0,2.79
Rice,2017,Kharif     ,Nagaland,206750.0,509590,1722.1,32550720.0,78565.0,2.421818182
Rice,2017,Rabi       ,Nagaland,5250.0,14850,1722.1,826560.0,1995.0,2.826666667
Rice,2018,Kharif     ,Nagaland,208990.0,519600,1372.7,33898178.0,73146.5,2.444545455
Rice,2018,Rabi       ,Nagaland,5460.0,15440,1372.7,885612.0,1911.0,2.8275
Rice,2019,Kharif     ,Nagaland,211280.0,528920,1593.0,36289452.8,78173.6,2.459090909
Rice,2019,Rabi       ,Nagaland,5670.0,16050,1593.0,973879.2,2097.9,2.83
Rice,1997,Kharif     ,Nagaland,145000.0,188000,1398.5,13799650.0,44950.0,1.29
Rice,1997,Rabi       ,Nagaland,200.0,250,1398.5,19034.0,62.0,1.3
Rice,1998,Kharif     ,Nagaland,141000.0,205000,1498.0,13930800.0,40890.0,1.441428571
