Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,2013,Kharif     ,Telangana,1166334.0,3768045,1348.7,168523599.7,314910.18,3.115555556
Rice,2013,Rabi       ,Telangana,828103.0,2813045,1348.7,119652602.5,223587.81,3.203333333
Rice,2014,Kharif     ,Telangana,920307.0,2854873,746.4,138929544.7,303701.31,2.958888889
Rice,2014,Rabi       ,Telangana,495113.0,1690109,746.4,74742258.48,163387.29,3.332222222
Rice,2015,Kharif     ,Telangana,748713.0,2197030,747.9,118229269.8,247075.29,2.822222222
Rice,2015,Rabi       ,Telangana,297475.0,850259,747.9,46974277.25,98166.75,2.785555556
Rice,2016,Kharif     ,Telangana,889351.0,3028634,942.6,136293040.8,311272.85,3.229666667
Rice,2016,Rabi       ,Telangana,939223.0,3570445,942.6,143935924.8,328728.05,3.585
Rice,2017,Kharif     ,Telangana,1046987.0,2946004,815.7,164837633.3,397855.06,2.672333333
Rice,2017,Rabi       ,Telangana,915389.0,3317425,815.7,144118844.2,347847.82,3.532666667
Rice,2018,Kharif     ,Telangana,1189264.0,4135049,1350.3,192898620.8,416242.4,3.3065625
Rice,2018,Rabi       ,Telangana,742508.0,2533895,1350.3,120434797.6,259877.8,3.208125
Rice,2019,Kharif     ,Telangana,1631151.0,5985349,1031.7,280166495.8,603525.87,3.575625
Rice,2019,Rabi       ,Telangana,1585062.0,5900447,1031.7,272250249.1,586472.94,3.610625
