Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1997,Kharif     ,Uttar Pradesh,5726527.0,12262794,473.9,544993574.6,1775223.37,2.037
Rice,1997,Summer     ,Uttar Pradesh,6607.0,18281,473.9,628788.19,2048.17,2.202903226
Rice,1998,Kharif     ,Uttar Pradesh,5875153.0,11374070,743.4,580465116.4,1703794.37,1.865060241
Rice,1998,Summer     ,Uttar Pradesh,5629.0,12643,743.4,556145.2,1632.41,2.015172414
Rice,1999,Kharif     ,Uttar Pradesh,6079822.0,13230539,883.4,645251508.9,1641551.94,1.991707317
Rice,1999,Summer     ,Uttar Pradesh,6052.0,16186,883.4,642298.76,1634.04,2.190384615
Rice,2000,Kharif     ,Uttar Pradesh,5904128.0,11672250,874.4,579608245.8,1535073.28,1.894782609
Rice,2000,Summer     ,Uttar Pradesh,3023.0,6899,874.4,296767.91,785.98,2.083181818
Rice,2001,Kharif     ,Uttar Pradesh,6068496.0,12849116,849.9,619775496.5,1577808.96,2.016086957
Rice,2001,Summer     ,Uttar Pradesh,2829.0,6741,849.9,288925.77,735.54,2.097777778
Rice,2003,Kharif     ,Uttar Pradesh,5719933.0,12476923,1075.6,566158968.3,1372783.92,2.066285714
Rice,2003,Summer     ,Uttar Pradesh,7839.0,18016,1075.6,775904.22,1881.36,2.1595
Rice,2006,Kharif     ,Uttar Pradesh,5902577.0,11082993,590.5,753818108.7,1298566.94,1.846
Rice,2006,Summer     ,Uttar Pradesh,18175.0,40620,590.5,2321129.25,3998.5,1.995
Rice,2007,Kharif     ,Uttar Pradesh,5690539.0,11731754,672.9,759117902.6,910486.24,1.962
Rice,2007,Summer     ,Uttar Pradesh,18849.0,48358,672.9,2514456.6,3015.84,2.152142857
Rice,2008,Kharif     ,Uttar Pradesh,6011761.0,13051365,891.6,859922293.4,541058.49,2.124428571
Rice,2008,Summer     ,Uttar Pradesh,21621.0,45666,891.6,3092667.84,1945.89,2.095
Rice,2009,Kharif     ,Uttar Pradesh,5148046.0,10714990,585.8,802168527.7,875167.82,2.00971831
Rice,2009,Summer     ,Uttar Pradesh,24695.0,61514,585.8,3847974.9,4198.15,2.13
Rice,2010,Kharif     ,Uttar Pradesh,5631949.0,11938078,742.6,935523048.4,1351667.76,2.052916667
Rice,2010,Summer     ,Uttar Pradesh,25121.0,54221,742.6,4172849.31,6029.04,2.032222222
Rice,2011,Kharif     ,Uttar Pradesh,5922643.0,13962896,777.4,992161155.4,1954472.19,2.294444444
Rice,2011,Summer     ,Uttar Pradesh,23642.0,59496,777.4,3960507.84,7801.86,2.335909091
Rice,2012,Kharif     ,Uttar Pradesh,5837298.0,14353736,746.3,880264538.4,1809562.38,2.4092
Rice,2012,Summer     ,Uttar Pradesh,23984.0,62203,746.3,3616787.2,7435.04,2.434761905
Rice,2013,Kharif     ,Uttar Pradesh,5955306.0,14565665,995.2,860482163.9,1607932.62,2.396133333
Rice,2013,Summer     ,Uttar Pradesh,27063.0,70171,995.2,3910332.87,7307.01,2.479047619
Rice,2014,Kharif     ,Uttar Pradesh,5842029.0,13241518,616.4,881912697.8,1927869.57,2.240533333
Rice,2014,Summer     ,Uttar Pradesh,29947.0,75449,616.4,4520799.12,9882.51,2.384090909
Rice,2015,Kharif     ,Uttar Pradesh,5837445.0,12434053,596.7,921790939.9,1926356.85,2.096133333
Rice,2015,Summer     ,Uttar Pradesh,24595.0,67107,596.7,3883796.45,8116.35,2.295
Rice,2016,Kharif     ,Uttar Pradesh,5965657.0,14396168,965.3,914236935.3,2087979.95,2.3668
Rice,2016,Summer     ,Uttar Pradesh,26051.0,74184,965.3,3992315.75,9117.85,2.484117647
Rice,2017,Kharif     ,Uttar Pradesh,5897871.0,15441958,652.1,928560810.2,2241190.98,2.541333333
Rice,2017,Summer     ,Uttar Pradesh,25761.0,76645,652.1,4055811.84,9789.18,2.67
Rice,2018,Kharif     ,Uttar Pradesh,5894983.0,15932429,792.8,956166242.6,2063244.05,2.6056
Rice,2018,Summer     ,Uttar Pradesh,29145.0,87266,792.8,4727319.0,10200.75,2.662631579
Rice,2019,Kharif     ,Uttar Pradesh,5898690.0,16947998,814.5,1013158994.0,2182515.3,2.823466667
Rice,2019,Summer     ,Uttar Pradesh,25659.0,79891,814.5,4407189.84,9493.83,2.968717949
Rice,2002,Kharif     ,Uttar Pradesh,5209137.0,9586935,664.0,493148999.8,1302284.25,1.765942029
Rice,2002,Summer     ,Uttar Pradesh,4292.0,9411,664.0,406323.64,1073.0,1.960952381
Rice,2004,Kharif     ,Uttar Pradesh,5934405.0,10749989,704.0,642933437.7,1246225.05,1.827714286
Rice,2005,Kharif     ,Uttar Pradesh,5571524.0,11119095,751.9,668137158.1,1170020.04,1.951714286
