Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335
Rice,1997,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154
Rice,1997,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444
Rice,1998,Kharif     ,Karnataka,1079193.0,2599170,1260.8,106624268.4,312965.97,2.310740741
Rice,1998,Rabi       ,Karnataka,51782.0,106072,1260.8,5116061.6,15016.78,2.054285714
Rice,1998,Summer     ,Karnataka,295830.0,951569,1260.8,29228004.0,85790.7,2.99375
Rice,2000,Kharif     ,Karnataka,1120549.0,2792657,1213.3,110004295.3,291342.74,2.357407407
Rice,2000,Rabi       ,Karnataka,52005.0,106335,1213.3,5105330.85,13521.3,2.064615385
Rice,2000,Summer     ,Karnataka,310892.0,947744,1213.3,30520267.64,80831.92,2.751304348
Rice,2001,Kharif     ,Karnataka,1087967.0,2393946,1002.9,111114069.7,282871.42,2.154814815
Rice,2001,Rabi       ,Karnataka,53480.0,99699,1002.9,5461912.4,13904.8,1.840714286
Rice,2001,Summer     ,Karnataka,276277.0,740400,1002.9,28216170.01,71832.02,2.4368
Rice,2003,Kharif     ,Karnataka,944272.0,2100123,867.6,93464042.56,226625.28,2.133333333
Rice,2003,Rabi       ,Karnataka,54629.0,158046,867.6,5407178.42,13110.96,2.892
Rice,2003,Summer     ,Karnataka,74998.0,292230,867.6,7423302.04,17999.52,3.8768
Rice,2004,Kharif     ,Karnataka,1055061.0,2627561,1117.7,114305308.7,221562.81,2.37
Rice,2004,Rabi       ,Karnataka,43861.0,144235,1117.7,4751900.74,9210.81,3.388666667
Rice,2004,Summer     ,Karnataka,209257.0,935326,1117.7,22670903.38,43943.97,4.251666667
Rice,2005,Kharif     ,Karnataka,1075993.0,2770413,1316.2,129033080.6,225958.53,2.50962963
Rice,2005,Rabi       ,Karnataka,44944.0,97483,1316.2,5389684.48,9438.24,2.2675
Rice,2005,Summer     ,Karnataka,364244.0,1131350,1316.2,43680140.48,76491.24,3.0144
Rice,2006,Kharif     ,Karnataka,1066981.0,2723038,1146.3,136264143.5,234735.82,2.428148148
Rice,2006,Rabi       ,Karnataka,44063.0,99796,1146.3,5627285.73,9693.86,2.335333333
Rice,2006,Summer     ,Karnataka,284632.0,822692,1146.3,36350352.72,62619.04,2.6825
Rice,2007,Kharif     ,Karnataka,1051466.0,2791181,1323.3,140265564.4,168234.56,2.567586207
Rice,2007,Rabi       ,Karnataka,40325.0,86756,1323.3,5379355.0,6452.0,2.255333333
Rice,2007,Summer     ,Karnataka,324525.0,990578,1323.3,43291635.0,51924.0,2.846923077
Rice,2008,Kharif     ,Karnataka,1129883.0,2906761,1164.1,161618464.3,101689.47,2.513448276
Rice,2008,Rabi       ,Karnataka,40982.0,89072,1164.1,5862065.28,3688.38,2.514166667
Rice,2008,Summer     ,Karnataka,343122.0,1035706,1164.1,49080170.88,30880.98,2.786923077
Rice,2009,Kharif     ,Karnataka,1102221.0,2734838,1321.0,171748076.2,187377.57,2.397931034
Rice,2009,Rabi       ,Karnataka,37747.0,84636,1321.0,5881737.54,6416.99,2.416666667
Rice,2009,Summer     ,Karnataka,346510.0,1057933,1321.0,53993188.2,58906.7,2.806923077
Rice,2010,Kharif     ,Karnataka,1129304.0,3192746,1317.7,187588687.4,271032.96,2.654
Rice,2010,Rabi       ,Karnataka,49700.0,117501,1317.7,8255667.0,11928.0,2.668333333
Rice,2010,Summer     ,Karnataka,360062.0,1163725,1317.7,59809898.82,86414.88,2.935714286
Rice,2011,Kharif     ,Karnataka,1117720.0,3218289,1178.986364,187240454.4,368847.6,2.702666667
Rice,2011,Rabi       ,Karnataka,43192.0,94196,1178.986364,7235523.84,14253.36,2.378181818
Rice,2011,Summer     ,Karnataka,255223.0,869134,1178.986364,42754956.96,84223.59,2.931428571
Rice,2012,Kharif     ,Karnataka,1048427.0,2667359,956.2,158102791.6,325012.37,2.418333333
Rice,2012,Rabi       ,Karnataka,45326.0,109309,956.2,6835160.8,14051.06,2.394615385
Rice,2012,Summer     ,Karnataka,185162.0,587711,956.2,27922429.6,57400.22,2.747777778
Rice,2013,Kharif     ,Karnataka,1035111.0,3057894,1235.6,149563188.4,279479.97,2.792666667
Rice,2013,Rabi       ,Karnataka,40896.0,102639,1235.6,5909063.04,11041.92,2.545833333
Rice,2013,Summer     ,Karnataka,264028.0,892066,1235.6,38149405.72,71287.56,3.022962963
