Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55
Rice,1999,Kharif     ,Puducherry,25444.0,59433,1434.5875,2700371.72,6869.88,2.61
Rice,2000,Kharif     ,Puducherry,42779.0,103606,1434.5875,4199614.43,11122.54,2.605
Rice,2001,Kharif     ,Puducherry,26263.0,66868,1434.5875,2682240.19,6828.38,2.415
Rice,2003,Kharif     ,Puducherry,25065.0,67003,1434.5875,2480933.7,6015.6,2.993333333
Rice,2006,Kharif     ,Puducherry,5010.0,13285,1434.5875,639827.1,1102.2,2.64
Rice,2006,Rabi       ,Puducherry,12061.0,33581,1434.5875,1540310.31,2653.42,4.05
Rice,2006,Summer     ,Puducherry,4574.0,13942,1434.5875,584145.54,1006.28,3.05
Rice,2007,Kharif     ,Puducherry,4379.0,12878,1434.5875,584158.6,700.64,2.986666667
Rice,2007,Rabi       ,Puducherry,11411.0,28051,1434.5875,1522227.4,1825.76,3.02
Rice,2007,Summer     ,Puducherry,4647.0,12395,1434.5875,619909.8,743.52,2.21
Rice,2008,Kharif     ,Puducherry,4493.0,12290,1434.5875,642678.72,404.37,3.0
Rice,2008,Rabi       ,Puducherry,11306.0,24163,1434.5875,1617210.24,1017.54,2.82
Rice,2008,Summer     ,Puducherry,4981.0,14263,1434.5875,712482.24,448.29,2.125
Rice,2009,Kharif     ,Puducherry,4650.0,13501,1434.5875,724563.0,790.5,2.893333333
Rice,2009,Rabi       ,Puducherry,11178.0,25378,1434.5875,1741755.96,1900.26,2.903333333
Rice,2009,Summer     ,Puducherry,5098.0,13451,1434.5875,794370.36,866.66,1.965
Rice,2010,Kharif     ,Puducherry,4384.0,12602,1434.5875,728226.24,1052.16,2.673333333
Rice,2010,Rabi       ,Puducherry,10920.0,26585,1434.5875,1813921.2,2620.8,3.446666667
Rice,2010,Summer     ,Puducherry,4710.0,12773,1434.5875,782378.1,1130.4,2.7
Rice,2011,Kharif     ,Puducherry,4237.0,12794,1434.5875,709782.24,1398.21,3.046666667
Rice,2011,Rabi       ,Puducherry,10324.0,23489,1434.5875,1729476.48,3406.92,2.856666667
Rice,2011,Summer     ,Puducherry,2015.0,5831,1434.5875,337552.8,664.95,2.49
Rice,2015,Kharif     ,Puducherry,3817.0,12250,1980.6,602742.47,1259.61,2.273333333
Rice,2015,Rabi       ,Puducherry,8505.0,19587,1980.6,1343024.55,2806.65,2.47
Rice,2015,Summer     ,Puducherry,3941.0,12049,1980.6,622323.31,1300.53,2.225
Rice,2016,Kharif     ,Puducherry,3693.0,13151,1391.3,565952.25,1292.55,3.24
Rice,2016,Rabi       ,Puducherry,8412.0,23024,1391.3,1289139.0,2944.2,3.436666667
Rice,2016,Summer     ,Puducherry,4100.0,15989,1391.3,628325.0,1435.0,2.535
Rice,2017,Kharif     ,Puducherry,4325.0,15281,1582.4,680928.0,1643.5,3.256666667
Rice,2017,Rabi       ,Puducherry,8749.0,25188,1582.4,1377442.56,3324.62,3.27
Rice,2017,Summer     ,Puducherry,4297.0,15518,1582.4,676519.68,1632.86,2.85
Rice,2018,Kharif     ,Puducherry,4298.0,16082,1693.9,697135.6,1504.3,3.373333333
Rice,2018,Rabi       ,Puducherry,9048.0,30635,1693.9,1467585.6,3166.8,3.976666667
Rice,2018,Summer     ,Puducherry,4515.0,16626,1693.9,732333.0,1580.25,2.885
Rice,2019,Kharif     ,Puducherry,4323.0,15171,1317.0,742518.48,1599.51,3.216666667
Rice,2019,Rabi       ,Puducherry,9397.0,28114,1317.0,1614028.72,3476.89,3.883333333
Rice,2019,Summer     ,Puducherry,4518.0,16060,1317.0,776011.68,1671.66,3.55
Rice,2002,Kharif     ,Puducherry,24142.0,57514,1434.5875,2285523.14,6035.5,2.56
Rice,2012,Kharif     ,Puducherry,3559.0,11637,1098.3,536697.2,1103.29,3.076666667
Rice,2012,Rabi       ,Puducherry,8979.0,23373,1098.3,1354033.2,2783.49,3.233333333
Rice,2012,Summer     ,Puducherry,3743.0,11509,1098.3,564444.4,1160.33,2.54
Rice,2013,Kharif     ,Puducherry,3671.0,12091,1083.2,530422.79,991.17,2.696666667
Rice,2013,Rabi       ,Puducherry,8382.0,24736,1083.2,1211115.18,2263.14,3.78
Rice,2013,Summer     ,Puducherry,3769.0,12965,1083.2,544582.81,1017.63,3.41
Rice,2014,Kharif     ,Puducherry,3643.0,11821,1330.0,549947.28,1202.19,2.936666667
Rice,2014,Rabi       ,Puducherry,9006.0,26378,1330.0,1359545.76,2971.98,3.506666667
Rice,2014,Summer     ,Puducherry,4005.0,14518,1330.0,604594.8,1321.65,3.62
Rice,2004,Autumn     ,Puducherry,6237.0,17257,1434.5875,675716.58,1309.77,2.76
Rice,2004,Summer     ,Puducherry,5689.0,15537,1434.5875,616346.26,1194.69,2.73
Rice,2004,Winter     ,Puducherry,12896.0,28242,1434.5875,1397152.64,2708.16,2.803333333
Rice,2005,Autumn     ,Puducherry,5348.0,15278,1434.5875,641332.16,1123.08,2.57
Rice,2005,Summer     ,Puducherry,5167.0,13013,1434.5875,619626.64,1085.07,1.845
Rice,2005,Winter     ,Puducherry,12410.0,25326,1434.5875,1488207.2,2606.1,2.89
