Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,2003,Kharif     ,Delhi,6549.0,17909,962.3,648220.02,1571.76,2.73
Rice,2004,Kharif     ,Delhi,8431.0,28216,651.9,913414.54,1770.51,3.35
Rice,2005,Kharif     ,Delhi,7506.0,21092,653.1,900119.52,1576.26,2.81
Rice,2006,Kharif     ,Delhi,7381.0,20815,462.7,942627.51,1623.82,2.82
Rice,1998,Kharif     ,Delhi,7303.0,10799,784.5,721536.4,2117.87,1.48
Rice,1999,Kharif     ,Delhi,8105.0,15279,365.9,860183.65,2188.35,1.89
Rice,2000,Kharif     ,Delhi,6053.0,11420,544.3,594223.01,1573.78,1.89
Rice,2001,Kharif     ,Delhi,6405.0,12063,611.9,654142.65,1665.3,1.88
Rice,2002,Kharif     ,Delhi,6096.0,12907,593.6,577108.32,1524.0,2.12
Rice,2007,Kharif     ,Delhi,7419.0,20946,677.5,989694.6,1187.04,2.82
Rice,2008,Kharif     ,Delhi,7039.0,19873,614.6,1006858.56,633.51,2.82
Rice,2009,Kharif     ,Delhi,6821.0,19008,528.4,1062848.22,1159.57,2.79
Rice,2010,Kharif     ,Delhi,6848.0,19083,989.5,1137521.28,1643.52,2.79
Rice,2011,Kharif     ,Delhi,7248.0,20198,641.3954545,1214184.96,2391.84,2.79
Rice,2012,Kharif     ,Delhi,6068.0,19768,451.9,915054.4,1881.08,3.26
Rice,2013,Kharif     ,Delhi,6068.0,19768,706.8,876765.32,1638.36,3.26
Rice,2014,Kharif     ,Delhi,6035.0,17269,416.4,911043.6,1991.55,2.86
Rice,2015,Kharif     ,Delhi,5884.0,16837,757.7,929142.44,1941.72,2.86
Rice,2016,Kharif     ,Delhi,5973.0,17260,747.1,915362.25,2090.55,2.89
Rice,2017,Kharif     ,Delhi,5854.0,16837,533.7,921653.76,2224.52,2.88
Rice,2018,Kharif     ,Delhi,5848.0,16826,678.5,948545.6,2046.8,2.88
Rice,2019,Kharif     ,Delhi,5848.0,17580,546.9,1004452.48,2163.76,3.01
