Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1997,Kharif     ,Sikkim,15691.0,21447,2804.1,1493312.47,4864.21,1.365
Rice,1998,Kharif     ,Sikkim,15874.0,21957,3183.8,1568351.2,4603.46,1.3775
Rice,1999,Kharif     ,Sikkim,15908.0,23439,2678.5,1688316.04,4295.16,1.465
Rice,2000,Kharif     ,Sikkim,15218.0,21358,2504.8,1493951.06,3956.68,1.4225
Rice,2001,Kharif     ,Sikkim,14900.0,21372,2372.5,1521737.0,3874.0,1.4275
Rice,2002,Kharif     ,Sikkim,14790.0,21220,2496.2,1400169.3,3697.5,1.4325
Rice,2003,Kharif     ,Sikkim,14740.0,21190,2838.1,1458965.2,3537.6,1.4275
Rice,2004,Kharif     ,Sikkim,9070.0,21610,1650.5,982643.8,1904.7,4.7875
Rice,2005,Kharif     ,Sikkim,9790.0,23690,2041.6,1174016.8,2055.9,5.3425
Rice,2006,Kharif     ,Sikkim,9200.0,21450,2270.2,1174932.0,2024.0,4.84
Rice,2007,Kharif     ,Sikkim,11860.0,19480,2003.4,1582124.0,1897.6,1.5475
Rice,2008,Kharif     ,Sikkim,13000.0,22230,2247.5,1859520.0,1170.0,1.5925
Rice,2009,Kharif     ,Sikkim,12270.0,20930,2176.6,1911911.4,2085.9,1.595
Rice,2010,Kharif     ,Sikkim,12140.0,20973,2527.0,2016575.4,2913.6,1.6225
Rice,2011,Kharif     ,Sikkim,12070.0,20880,2585.486364,2021966.4,3983.1,1.6225
Rice,2012,Kharif     ,Sikkim,11920.0,21340,3006.9,1797536.0,3695.2,1.7175
Rice,2013,Kharif     ,Sikkim,11158.0,20260,2567.6,1612219.42,3012.66,1.76
Rice,2014,Kharif     ,Sikkim,11040.0,20070,2627.0,1666598.4,3643.2,1.76
Rice,2015,Kharif     ,Sikkim,10669.0,19687,2949.1,1684741.79,3520.77,1.7925
Rice,2016,Kharif     ,Sikkim,10481.0,19453,2971.6,1606213.25,3668.35,1.8075
Rice,2017,Kharif     ,Sikkim,9501.0,17636,2873.6,1495837.44,3610.38,1.815
Rice,2018,Kharif     ,Sikkim,9256.0,17182,3350.1,1501323.2,3239.6,1.82
Rice,2019,Kharif     ,Sikkim,8685.0,16137,2740.0,1491735.6,3213.45,1.8225
