Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1998,Kharif     ,Goa,41000.0,104249,2964.9,4050800.0,11890.0,2.54
Rice,1998,Rabi       ,Goa,15439.0,46925,2964.9,1525373.2,4477.31,3.04
Rice,1999,Kharif     ,Goa,40500.0,96281,3879.3,4298265.0,10935.0,2.38
Rice,1999,Rabi       ,Goa,16213.0,43642,3879.3,1720685.69,4377.51,2.69
Rice,2000,Kharif     ,Goa,41000.0,96568,3886.9,4024970.0,10660.0,2.36
Rice,2000,Rabi       ,Goa,16207.0,45555,3886.9,1591041.19,4213.82,2.81
Rice,2001,Kharif     ,Goa,32746.0,79071,2530.6,3344348.98,8513.96,2.41
Rice,2001,Rabi       ,Goa,16637.0,47452,2530.6,1699136.81,4325.62,2.85
Rice,2002,Kharif     ,Goa,33728.0,90072,2516.3,3193029.76,8432.0,2.67
Rice,2002,Rabi       ,Goa,16441.0,44695,2516.3,1556469.47,4110.25,2.72
Rice,2003,Kharif     ,Goa,35471.0,115996,3011.6,3510919.58,8513.04,3.27
Rice,2003,Rabi       ,Goa,17330.0,54665,3011.6,1715323.4,4159.2,3.15
Rice,2013,Kharif     ,Goa,28330.0,80114,3642.6,4093401.7,7649.1,2.82
Rice,2013,Rabi       ,Goa,14490.0,46397,3642.6,2093660.1,3912.3,3.205
Rice,2014,Kharif     ,Goa,27840.0,81269,3491.2,4202726.4,9187.2,2.925
Rice,2014,Rabi       ,Goa,14130.0,39236,3491.2,2133064.8,4662.9,2.775
Rice,2015,Kharif     ,Goa,27730.0,78489,2587.1,4378844.3,9150.9,2.83
Rice,2015,Rabi       ,Goa,13614.0,36579,2587.1,2149786.74,4492.62,2.76
Rice,2016,Kharif     ,Goa,27630.0,77109,3266.9,4234297.5,9670.5,2.795
Rice,2016,Rabi       ,Goa,13193.0,36118,3266.9,2021827.25,4617.55,2.745
Rice,2017,Kharif     ,Goa,27219.0,71279,2772.5,4285359.36,10343.22,2.635
Rice,2017,Rabi       ,Goa,11301.0,31718,2772.5,1779229.44,4294.38,2.855
Rice,2018,Kharif     ,Goa,25841.0,70272,4406.0,4191410.2,9044.35,2.72
Rice,2018,Rabi       ,Goa,10543.0,28582,4406.0,1710074.6,3690.05,2.72
Rice,2019,Kharif     ,Goa,24411.0,60556,4489.5,4192833.36,9032.07,2.475
Rice,2019,Rabi       ,Goa,10287.0,29819,4489.5,1766895.12,3806.19,2.95
Rice,2004,Kharif     ,Goa,52442.0,145174,2518.0,5681566.28,11012.82,2.75
Rice,2005,Kharif     ,Goa,52177.0,147236,3392.8,6257065.84,10957.17,2.81
Rice,2006,Kharif     ,Goa,52985.0,128945,2928.8,6766714.35,11656.7,2.41
Rice,2007,Kharif     ,Goa,52191.0,121679,3674.7,6962279.4,8350.56,2.32
Rice,1997,Kharif     ,Goa,15169.0,40864,3680.3,1443633.73,4702.39,2.69
Rice,1997,Rabi       ,Goa,6417.0,19052,3680.3,610705.89,1989.27,2.97
Rice,2008,Kharif     ,Goa,33638.0,78705,3271.6,4811579.52,3027.42,2.325
Rice,2008,Rabi       ,Goa,15688.0,43162,3271.6,2244011.52,1411.92,2.755
Rice,2009,Kharif     ,Goa,31166.0,59267,3334.9,4856286.12,5298.22,1.895
Rice,2009,Rabi       ,Goa,15938.0,41338,3334.9,2483459.16,2709.46,2.57
Rice,2010,Kharif     ,Goa,30632.0,72221,4193.3,5088281.52,7351.68,2.35
Rice,2010,Rabi       ,Goa,15980.0,42773,4193.3,2654437.8,3835.2,2.68
Rice,2011,Kharif     ,Goa,31247.0,78770,3340.395455,5234497.44,10311.51,2.495
Rice,2011,Rabi       ,Goa,15990.0,43221,3340.395455,2678644.8,5276.7,2.7
Rice,2012,Kharif     ,Goa,31255.0,81229,3048.9,4713254.0,9689.05,2.59
Rice,2012,Rabi       ,Goa,14575.0,41592,3048.9,2197910.0,4518.25,2.85
