Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1997,Whole Year ,Assam,73814.0,56708,2051.4,7024878.38,22882.34,0.796086957
Arecanut,1997,Whole Year ,Karnataka,93100.0,133342,1266.7,8860327.0,28861.0,1.293571429
Arecanut,1997,Whole Year ,Kerala,76145.0,93995,3252.4,7246719.65,23604.95,1.147857143
Arecanut,1997,Whole Year ,Meghalaya,9569.0,12116,3818.2,910681.73,2966.39,1.245714286
Arecanut,1997,Whole Year ,West Bengal,8058.0,12423,1852.9,766879.86,2497.98,1.691764706
Arecanut,1998,Kharif     ,Puducherry,66.0,23,1434.5875,6520.8,19.14,0.35
Arecanut,1998,Whole Year ,Assam,74457.0,55355,2354.4,7356351.6,21592.53,0.784347826
Arecanut,1998,Whole Year ,Goa,1500.0,1820,2964.9,148200.0,435.0,1.21
Arecanut,1998,Whole Year ,Karnataka,98047.0,648365,1260.8,9687043.6,28433.63,6.232
Arecanut,1998,Whole Year ,Kerala,73639.0,68479,3151.5,7275533.2,21355.31,0.797857143
Arecanut,1998,Whole Year ,Meghalaya,9585.0,11567,6552.7,946998.0,2779.65,1.151666667
Arecanut,1998,Whole Year ,West Bengal,8239.0,13665,2152.5,814013.2,2389.31,1.595294118
Arecanut,1999,Whole Year ,Assam,73464.0,52924,2201.8,7796734.32,19835.28,0.746086957
Arecanut,1999,Whole Year ,Goa,1550.0,1880,3879.3,164501.5,418.5,1.21
Arecanut,1999,Whole Year ,Kerala,81941.0,83337,2914.6,8696398.33,22124.07,0.831428571
Arecanut,1999,Whole Year ,Meghalaya,9645.0,12510,6200.3,1023623.85,2604.15,1.245
Arecanut,1999,Whole Year ,Puducherry,65.0,130,1434.5875,6898.45,17.55,2.0
Arecanut,1999,Whole Year ,West Bengal,7677.0,13124,2318.1,814760.01,2072.79,1.864117647
Arecanut,2000,Whole Year ,Andhra Pradesh,262.0,724,935.6,25720.54,68.12,2.78
Arecanut,2000,Whole Year ,Assam,73237.0,68261,1965.5,7189676.29,19041.62,0.957391304
Arecanut,2000,Whole Year ,Goa,1600.0,2500,3886.9,157072.0,416.0,1.56
Arecanut,2000,Whole Year ,Karnataka,119093.0,162741,1213.3,11691359.81,30964.18,1.2925
Arecanut,2000,Whole Year ,Kerala,87360.0,87947,2412.6,8576131.2,22713.6,0.825714286
Arecanut,2000,Whole Year ,Meghalaya,11184.0,13721,6258.8,1097933.28,2907.84,1.178571429
Arecanut,2000,Whole Year ,Puducherry,65.0,130,1434.5875,6381.05,16.9,2.0
Arecanut,2000,Whole Year ,West Bengal,7773.0,12191,1907.7,763075.41,2020.98,1.84
Arecanut,2001,Whole Year ,Andhra Pradesh,268.0,449,928.4,27370.84,69.68,1.71
Arecanut,2001,Whole Year ,Assam,73223.0,69663,1824.7,7478264.99,19037.98,0.985652174
Arecanut,2001,Whole Year ,Goa,1600.0,2500,2530.6,163408.0,416.0,1.56
Arecanut,2001,Whole Year ,Karnataka,136065.0,182800,1002.9,13896318.45,35376.9,1.292
Arecanut,2001,Whole Year ,Kerala,93193.0,84679,2946.7,9517801.09,24230.18,0.772857143
Arecanut,2001,Whole Year ,Meghalaya,11128.0,14101,4241.0,1136502.64,2893.28,1.185714286
Arecanut,2001,Whole Year ,Puducherry,65.0,137,1434.5875,6638.45,16.9,2.11
Arecanut,2001,Whole Year ,West Bengal,9276.0,14885,1556.6,947357.88,2411.76,1.861764706
Arecanut,2002,Whole Year ,Andhra Pradesh,296.0,427,648.1,28022.32,74.0,1.4525
Arecanut,2002,Whole Year ,Assam,73664.0,51631,1973.6,6973770.88,18416.0,0.711304348
Arecanut,2002,Whole Year ,Goa,1600.0,2500,2516.3,151472.0,400.0,1.56
