Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Barley,1997,Whole Year ,West Bengal,6116.0,5034,1852.9,582059.72,1895.96,1.68
Barley,1998,Rabi       ,West Bengal,5938.0,5910,2152.5,586674.4,1722.02,1.10375
Barley,1999,Rabi       ,West Bengal,5077.0,4686,2318.1,538822.01,1370.79,0.776666667
Barley,2000,Rabi       ,West Bengal,3471.0,1820,1907.7,340748.07,902.46,0.62
Barley,2001,Rabi       ,West Bengal,2622.0,2825,1556.6,267784.86,681.72,1.0675
Barley,2002,Rabi       ,West Bengal,2459.0,2341,1629.1,232793.53,614.75,0.843333333
Barley,2003,Rabi       ,West Bengal,3077.0,4142,1526.7,304561.46,738.48,1.327142857
Barley,2005,Rabi       ,West Bengal,2403.0,3000,1650.1,288167.76,504.63,1.121666667
Barley,2006,Rabi       ,West Bengal,2848.0,2610,1631.4,363718.08,626.56,0.993333333
Barley,2007,Rabi       ,West Bengal,2058.0,2709,2007.5,274537.2,329.28,1.213333333
Barley,2008,Rabi       ,West Bengal,2768.0,4202,1560.1,395934.72,249.12,1.641666667
Barley,1997,Rabi       ,Bihar,42838.0,44140,1303.7,4076892.46,13279.78,1.04
Barley,1997,Rabi       ,Madhya Pradesh,91200.0,110500,1189.1,8679504.0,28272.0,1.347096774
Barley,1997,Rabi       ,Punjab,37000.0,111000,690.1,3521290.0,11470.0,2.995454545
Barley,1997,Rabi       ,Uttar Pradesh,337037.0,747044,473.9,32075811.29,104481.47,2.046329114
Barley,1998,Rabi       ,Bihar,40907.0,47295,1332.5,4041611.6,11863.03,1.191346154
Barley,1998,Rabi       ,Haryana,36376.0,100000,687.6,3593948.8,10549.04,1.647894737
Barley,1998,Rabi       ,Himachal Pradesh,26752.0,27756,1381.6,2643097.6,7758.08,1.112727273
Barley,1998,Rabi       ,Madhya Pradesh,92700.0,105700,962.7,9158760.0,26883.0,1.371714286
Barley,1998,Rabi       ,Punjab,31000.0,100000,588.6,3062800.0,8990.0,3.122727273
Barley,1998,Rabi       ,Uttar Pradesh,330535.0,702706,743.4,32656858.0,95855.15,2.021927711
Barley,1999,Rabi       ,Haryana,34744.0,102000,344.0,3687380.72,9380.88,1.938947368
Barley,1999,Rabi       ,Himachal Pradesh,25901.0,32496,1144.9,2748873.13,6993.27,1.228333333
Barley,1999,Rabi       ,Madhya Pradesh,84318.0,100751,1222.9,8948669.34,22765.86,1.42
Barley,1999,Rabi       ,Punjab,30000.0,106000,364.4,3183900.0,8100.0,3.483
Barley,1999,Rabi       ,Uttar Pradesh,312769.0,697504,883.4,33194173.97,84447.63,2.026626506
Barley,2000,Rabi       ,Bihar,22573.0,26499,1207.0,2215991.41,5868.98,1.188378378
Barley,2000,Rabi       ,Chhattisgarh,4611.0,3873,896.4,452661.87,1198.86,0.77
Barley,2000,Rabi       ,Haryana,44116.0,118000,383.7,4330867.72,11470.16,1.613157895
Barley,2000,Rabi       ,Himachal Pradesh,25639.0,21414,1068.4,2516980.63,6666.14,0.8325
Barley,2000,Rabi       ,Madhya Pradesh,82716.0,92394,723.3,8120229.72,21506.16,1.268205128
Barley,2000,Rabi       ,Nagaland,1000.0,1500,1631.8,98170.0,260.0,1.49875
Barley,2000,Rabi       ,Punjab,32000.0,109000,405.3,3141440.0,8320.0,3.314
Barley,2000,Rabi       ,Uttar Pradesh,286886.0,604453,874.4,28163598.62,74590.36,1.956811594
Barley,2000,Rabi       ,Uttarakhand,25797.0,25064,1413.4,2532491.49,6707.22,0.978461538
Barley,2001,Rabi       ,Bihar,21300.0,26709,1247.0,2175369.0,5538.0,1.248181818
Barley,2001,Rabi       ,Chhattisgarh,4245.0,3481,1550.0,433541.85,1103.7,0.841428571
Barley,2001,Rabi       ,Haryana,29673.0,86000,483.8,3030503.49,7714.98,1.782222222
Barley,2001,Rabi       ,Himachal Pradesh,25017.0,34687,918.1,2554986.21,6504.42,1.36
Barley,2001,Rabi       ,Madhya Pradesh,83716.0,107764,955.0,8549915.08,21766.16,1.374146341
Barley,2001,Rabi       ,Nagaland,4000.0,8000,1532.0,408520.0,1040.0,2.00875
Barley,2001,Rabi       ,Punjab,23000.0,78000,479.3,2348990.0,5980.0,3.26
Barley,2001,Rabi       ,Uttar Pradesh,253713.0,592021,849.9,25911708.69,65965.38,2.195362319
Barley,2001,Rabi       ,Uttarakhand,22875.0,25590,1541.3,2336223.75,5947.5,1.215384615
