Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Cashewnut,1997,Whole Year ,Kerala,96073.0,74142,3252.4,9143267.41,29782.63,0.589285714
Cashewnut,1998,Whole Year ,Goa,52875.0,15000,2964.9,5224050.0,15333.75,0.28
Cashewnut,1998,Whole Year ,Kerala,91268.0,51336,3151.5,9017278.4,26467.72,0.484285714
Cashewnut,1999,Whole Year ,Goa,53292.0,17274,3879.3,5655879.96,14388.84,0.32
Cashewnut,1999,Whole Year ,Kerala,89403.0,65547,2914.6,9488340.39,24138.81,0.491428571
Cashewnut,1999,Whole Year ,Puducherry,210.0,177,1434.5875,22287.3,56.7,2.69
Cashewnut,2000,Whole Year ,Andhra Pradesh,145315.0,31074,935.6,14265573.55,37781.9,0.190625
Cashewnut,2000,Whole Year ,Goa,53767.0,21335,3886.9,5278306.39,13979.42,0.4
Cashewnut,2000,Whole Year ,Kerala,92122.0,66178,2412.6,9043616.74,23951.72,0.507857143
Cashewnut,2000,Whole Year ,Puducherry,202.0,121,1434.5875,19830.34,52.52,0.603333333
Cashewnut,2001,Whole Year ,Andhra Pradesh,147370.0,38729,928.4,15050898.1,38316.2,0.236
Cashewnut,2001,Whole Year ,Goa,54060.0,22976,2530.6,5521147.8,14055.6,0.43
Cashewnut,2001,Whole Year ,Kerala,89718.0,65867,2946.7,9162899.34,23326.68,0.525
Cashewnut,2001,Whole Year ,Puducherry,191.0,134,1434.5875,19506.83,49.66,1.063333333
Cashewnut,2002,Whole Year ,Andhra Pradesh,150644.0,19643,648.1,14261467.48,37661.0,0.168125
Cashewnut,2002,Whole Year ,Goa,54373.0,23109,2516.3,5147491.91,13593.25,0.43
Cashewnut,2002,Whole Year ,Kerala,88548.0,66087,2511.2,8382839.16,22137.0,0.574285714
Cashewnut,2002,Whole Year ,Tamil Nadu,95217.0,35885,315.9,9014193.39,23804.25,0.3108
Cashewnut,2003,Whole Year ,Andhra Pradesh,150077.0,39207,826.0,14854621.46,36018.48,0.225
Cashewnut,2003,Whole Year ,Goa,54668.0,23233,3011.6,5411038.64,13120.32,0.42
Cashewnut,2003,Whole Year ,Kerala,86376.0,65655,2386.0,8549496.48,20730.24,0.559285714
Cashewnut,2003,Whole Year ,Meghalaya,6708.0,6787,3321.3,663957.84,1609.92,1.003333333
Cashewnut,2003,Whole Year ,Puducherry,217.0,172,1434.5875,21478.66,52.08,1.08
Cashewnut,2003,Whole Year ,Tamil Nadu,102763.0,39380,345.6,10171481.74,24663.12,0.361153846
Cashewnut,2004,Whole Year ,Kerala,81547.0,60584,2880.2,8834801.98,17124.87,0.56
Cashewnut,2004,Whole Year ,Tamil Nadu,104659.0,44497,1034.0,11338756.06,21978.39,0.34037037
Cashewnut,2005,Whole Year ,Andhra Pradesh,148372.0,40153,1075.5,17792770.24,31158.12,0.285882353
Cashewnut,2005,Whole Year ,Kerala,78285.0,68262,3030.9,9387937.2,16439.85,0.621428571
Cashewnut,2005,Whole Year ,Tamil Nadu,106059.0,43856,1364.1,12718595.28,22272.39,0.368571429
Cashewnut,2006,Whole Year ,Andhra Pradesh,145095.0,37470,845.2,18530082.45,31920.9,0.2375
Cashewnut,2006,Whole Year ,Kerala,70463.0,61680,3429.7,8998829.73,15501.86,0.577857143
Cashewnut,2006,Whole Year ,Tamil Nadu,103968.0,51057,927.9,13277753.28,22872.96,0.503571429
Cashewnut,2007,Whole Year ,Kerala,58381.0,52402,3489.6,7788025.4,9340.96,0.579285714
Cashewnut,2007,Whole Year ,Tamil Nadu,101309.0,57905,1067.2,13514620.6,16209.44,0.548148148
Cashewnut,2008,Kharif     ,Puducherry,174.0,173,1434.5875,24888.96,15.66,0.943333333
Cashewnut,2008,Whole Year ,Andhra Pradesh,150135.0,45208,944.6,21475310.4,13512.15,0.319230769
Cashewnut,2008,Whole Year ,Karnataka,62303.0,38311,1164.1,8911821.12,5607.27,0.605
Cashewnut,2008,Whole Year ,Kerala,53007.0,42334,2524.8,7582121.28,4770.63,0.518571429
Cashewnut,2008,Whole Year ,Tamil Nadu,99168.0,51667,1201.9,14184990.72,8925.12,338.5489655
Cashewnut,2009,Kharif     ,Puducherry,171.0,146,1434.5875,26645.22,29.07,0.903333333
Cashewnut,2009,Whole Year ,Andhra Pradesh,139274.0,42703,711.0,21701674.68,23676.58,0.315
Cashewnut,2009,Whole Year ,Karnataka,63314.0,48008,1321.0,9865587.48,10763.38,0.764545455
Cashewnut,2009,Whole Year ,Kerala,48972.0,35818,2821.5,7630817.04,8325.24,0.482857143
Cashewnut,2009,Whole Year ,Tamil Nadu,99043.0,49550,928.5,15432880.26,16837.31,0.496785714
Cashewnut,2010,Kharif     ,Puducherry,173.0,131,1434.5875,28737.03,41.52,0.713333333
Cashewnut,2010,Whole Year ,Andhra Pradesh,138101.0,33563,1297.0,22939957.11,33144.24,0.25
