Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Castor seed,1997,Kharif     ,Assam,796.0,22,2051.4,75755.32,246.76,0.238333333
Castor seed,1997,Rabi       ,Meghalaya,30.0,15,3818.2,2855.1,9.3,0.49
Castor seed,1997,Whole Year ,West Bengal,660.0,46,1852.9,62812.2,204.6,0.07
Castor seed,1998,Kharif     ,Assam,1728.0,708,2354.4,170726.4,501.12,0.411428571
Castor seed,1998,Kharif     ,Karnataka,27246.0,23245,1260.8,2691904.8,7901.34,0.831818182
Castor seed,1998,Rabi       ,West Bengal,54.0,38,2152.5,5335.2,15.66,0.7
Castor seed,1999,Kharif     ,Assam,1726.0,704,2201.8,183180.38,466.02,0.423333333
Castor seed,1999,Kharif     ,Meghalaya,27.0,14,6200.3,2865.51,7.29,0.515
Castor seed,1999,Kharif     ,West Bengal,35.0,24,2318.1,3714.55,9.45,0.69
Castor seed,2000,Kharif     ,Andhra Pradesh,398561.0,136860,935.6,39126733.37,103625.86,0.339047619
Castor seed,2000,Kharif     ,Assam,1662.0,681,1965.5,163158.54,432.12,0.417619048
Castor seed,2000,Kharif     ,Karnataka,30366.0,38871,1213.3,2981030.22,7895.16,1.31
Castor seed,2000,Kharif     ,Meghalaya,23.0,12,6258.8,2257.91,5.98,0.515
Castor seed,2000,Kharif     ,West Bengal,100.0,127,1907.7,9817.0,26.0,1.27
Castor seed,2001,Kharif     ,Andhra Pradesh,283585.0,82983,928.4,28962536.05,73732.1,0.296842105
Castor seed,2001,Kharif     ,Assam,1636.0,671,1824.7,167084.68,425.36,0.42952381
Castor seed,2001,Kharif     ,Karnataka,21799.0,16137,1002.9,2226331.87,5667.74,0.704
Castor seed,2001,Kharif     ,Meghalaya,25.0,13,4241.0,2553.25,6.5,0.5
Castor seed,2001,Kharif     ,West Bengal,80.0,73,1556.6,8170.4,20.8,0.91
Castor seed,2002,Kharif     ,Andhra Pradesh,231902.0,86818,648.1,21954162.34,57975.5,0.296315789
Castor seed,2002,Kharif     ,Assam,1577.0,651,1973.6,149294.59,394.25,0.428571429
Castor seed,2002,Kharif     ,Tamil Nadu,17749.0,5600,315.9,1680297.83,4437.25,0.376666667
Castor seed,2002,Kharif     ,West Bengal,45.0,42,1629.1,4260.15,11.25,0.93
Castor seed,2003,Kharif     ,Andhra Pradesh,290915.0,131870,826.0,28794766.7,69819.6,0.447894737
Castor seed,2003,Kharif     ,Assam,1493.0,619,2213.7,147777.14,358.32,0.414285714
Castor seed,2003,Kharif     ,Karnataka,17214.0,15439,867.6,1703841.72,4131.36,0.906190476
Castor seed,2003,Kharif     ,Meghalaya,25.0,14,3321.3,2474.5,6.0,0.545
Castor seed,2003,Kharif     ,Tamil Nadu,8720.0,2975,345.6,863105.6,2092.8,0.409545455
Castor seed,2003,Kharif     ,West Bengal,40.0,48,1526.7,3959.2,9.6,1.2
Castor seed,2004,Kharif     ,Karnataka,20161.0,17493,1117.7,2184242.74,4233.81,0.908
Castor seed,2004,Kharif     ,Meghalaya,32.0,20,4767.9,3466.88,6.72,0.693333333
Castor seed,2004,Kharif     ,Tamil Nadu,8269.0,2598,1034.0,895863.46,1736.49,0.3392
Castor seed,2005,Kharif     ,Andhra Pradesh,344587.0,140019,1075.5,41322873.04,72363.27,0.462777778
Castor seed,2005,Kharif     ,Assam,1364.0,577,2184.6,163570.88,286.44,0.422
Castor seed,2005,Kharif     ,Karnataka,24981.0,25989,1316.2,2995721.52,5246.01,1.086666667
Castor seed,2005,Kharif     ,Meghalaya,33.0,21,3374.4,3957.36,6.93,0.693333333
Castor seed,2005,Kharif     ,Tamil Nadu,8391.0,2777,1364.1,1006248.72,1762.11,0.313333333
Castor seed,2005,Rabi       ,West Bengal,45.0,37,1650.1,5396.4,9.45,0.82
Castor seed,2006,Rabi       ,Meghalaya,33.0,21,2454.7,4214.43,7.26,0.693333333
Castor seed,2006,Kharif     ,Andhra Pradesh,202199.0,86892,845.2,25822834.29,44483.78,0.444117647
Castor seed,2006,Kharif     ,Assam,1303.0,552,1774.9,166406.13,286.66,0.4636
Castor seed,2006,Kharif     ,Karnataka,20230.0,16163,1146.3,2583573.3,4450.6,0.827727273
Castor seed,2006,Whole Year ,Tamil Nadu,5289.0,1674,927.9,675458.19,1163.58,0.35375
Castor seed,2006,Rabi       ,West Bengal,58.0,49,1631.4,7407.18,12.76,0.84
Castor seed,2007,Kharif     ,Assam,1193.0,509,2154.1,159146.2,190.88,0.4468
Castor seed,2007,Kharif     ,Karnataka,23387.0,15682,1323.3,3119825.8,3741.92,0.6725
Castor seed,2007,Whole Year ,Tamil Nadu,5184.0,1624,1067.2,691545.6,829.44,0.344782609
Castor seed,2008,Kharif     ,Andhra Pradesh,158723.0,81365,944.6,22703737.92,14285.07,0.586666667
Castor seed,2008,Kharif     ,Assam,1225.0,517,2109.9,175224.0,110.25,0.433333333
Castor seed,2008,Kharif     ,Karnataka,19635.0,18618,1164.1,2808590.4,1767.15,0.96826087
Castor seed,2008,Kharif     ,Meghalaya,29.0,17,3114.3,4148.16,2.61,0.686666667
Castor seed,2008,Whole Year ,Tamil Nadu,5523.0,1702,1201.9,790009.92,497.07,0.322222222
Castor seed,2008,Kharif     ,West Bengal,60.0,37,1560.1,8582.4,5.4,0.62
Castor seed,2009,Kharif     ,Andhra Pradesh,147582.0,63733,711.0,22996227.24,25088.94,0.532352941
Castor seed,2009,Kharif     ,Assam,1157.0,492,1727.1,180283.74,196.69,0.427916667
Castor seed,2009,Kharif     ,Karnataka,17829.0,11525,1321.0,2778114.78,3030.93,0.645909091
Castor seed,2009,Kharif     ,Meghalaya,29.0,15,2995.9,4518.78,4.93,0.5
Castor seed,2009,Whole Year ,Tamil Nadu,4896.0,1521,928.5,762894.72,832.32,0.313703704
Castor seed,2010,Kharif     ,Assam,978.0,419,2578.5,162455.58,234.72,0.428
Castor seed,2010,Kharif     ,Andhra Pradesh,187721.0,121143,1297.0,31182335.31,45053.04,0.526875
Castor seed,2010,Kharif     ,Karnataka,19100.0,15991,1317.7,3172701.0,4584.0,0.865652174
Castor seed,2010,Kharif     ,Meghalaya,25.0,12,3119.7,4152.75,6.0,0.626666667
Castor seed,2011,Kharif     ,Assam,1024.0,538,1743.4,171540.48,337.92,0.515833333
Castor seed,2011,Kharif     ,Andhra Pradesh,253280.0,52509,861.9,42429465.6,83582.4,0.402777778
Castor seed,2011,Kharif     ,Karnataka,16282.0,13651,1178.986364,2727560.64,5373.06,0.857916667
Castor seed,2011,Kharif     ,Meghalaya,30.0,16,4083.104545,5025.6,9.9,0.66
Castor seed,2011,Whole Year ,Tamil Nadu,6202.0,1861,926.5,1038959.04,2046.66,0.767407407
Castor seed,2012,Kharif     ,Andhra Pradesh,208000.0,105000,968.7,31366400.0,64480.0,0.764
Castor seed,2012,Kharif     ,Assam,902.0,492,2167.5,136021.6,279.62,0.5436
Castor seed,2012,Kharif     ,Karnataka,11462.0,7142,956.2,1728469.6,3553.22,0.658095238
Castor seed,2012,Kharif     ,Meghalaya,60.0,45,2945.3,9048.0,18.6,0.926666667
Castor seed,2013,Kharif     ,Andhra Pradesh,47592.0,24827,1062.3,6876568.08,12849.84,0.737777778
Castor seed,2013,Rabi       ,Andhra Pradesh,1291.0,956,1062.3,186536.59,348.57,0.74
Castor seed,2013,Kharif     ,Assam,877.0,447,1797.7,126717.73,236.79,0.623913043
Castor seed,2013,Kharif     ,Karnataka,12184.0,10900,1235.6,1760466.16,3289.68,0.906956522
Castor seed,2013,Kharif     ,Meghalaya,63.0,50,2448.4,9102.87,17.01,0.9
Castor seed,2013,Kharif     ,Tamil Nadu,6377.0,1990,740.9,921412.73,1721.79,0.35
Castor seed,2014,Kharif     ,Andhra Pradesh,46122.0,26668,687.6,6962577.12,15220.26,0.72
Castor seed,2014,Rabi       ,Andhra Pradesh,1715.0,838,687.6,258896.4,565.95,0.598333333
Castor seed,2014,Kharif     ,Assam,941.0,556,1899.0,142053.36,310.53,0.64
Castor seed,2014,Kharif     ,Karnataka,11913.0,7243,1238.5,1798386.48,3931.29,0.616363636
Castor seed,2014,Kharif     ,Meghalaya,67.0,58,3484.4,10114.32,22.11,0.968
Castor seed,2014,Kharif     ,Tamil Nadu,5132.0,1695,911.3,774726.72,1693.56,0.3575
Castor seed,2015,Kharif     ,Andhra Pradesh,48940.0,27592,940.7,7728115.4,16150.2,0.81125
Castor seed,2015,Rabi       ,Andhra Pradesh,1785.0,1226,940.7,281869.35,589.05,0.836
Castor seed,2015,Kharif     ,Assam,881.0,407,2155.3,139118.71,290.73,0.591538462
Castor seed,2015,Rabi       ,Meghalaya,72.0,65,3870.8,11369.52,23.76,1.004
Castor seed,2015,Kharif     ,Karnataka,9347.0,4911,1024.9,1475984.77,3084.51,0.514
Castor seed,2015,Kharif     ,Tamil Nadu,5495.0,1763,1201.9,867715.45,1813.35,0.325416667
Castor seed,2016,Kharif     ,Andhra Pradesh,32292.0,15195,890.0,4948749.0,11302.2,0.511111111
Castor seed,2016,Rabi       ,Andhra Pradesh,527.0,274,890.0,80762.75,184.45,0.52
Castor seed,2016,Kharif     ,Assam,744.0,346,2296.8,114018.0,260.4,0.624347826
Castor seed,2016,Rabi       ,Meghalaya,72.0,65,3837.1,11034.0,25.2,1.004
Castor seed,2016,Kharif     ,Karnataka,9527.0,4722,1147.2,1460012.75,3334.45,0.506086957
Castor seed,2016,Kharif     ,Tamil Nadu,4705.0,1470,912.4,721041.25,1646.75,0.29375
