Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Dry chillies,1997,Whole Year ,Assam,13587.0,9073,2051.4,1293074.79,4211.97,0.643636364
Dry chillies,1997,Kharif     ,Karnataka,186579.0,139206,1266.7,17756723.43,57839.49,1.078333333
Dry chillies,1997,Rabi       ,Karnataka,4565.0,7895,1266.7,434451.05,1415.15,1.869444444
Dry chillies,1997,Whole Year ,Meghalaya,1766.0,1106,3818.2,168070.22,547.46,0.64
Dry chillies,1997,Whole Year ,West Bengal,64034.0,55569,1852.9,6094115.78,19850.54,0.942777778
Dry chillies,1998,Kharif     ,Puducherry,8.0,23,1434.5875,790.4,2.32,2.75
Dry chillies,1998,Whole Year ,Assam,14724.0,9690,2354.4,1454731.2,4269.96,0.636956522
Dry chillies,1998,Whole Year ,Karnataka,170319.0,146498,1260.8,16827517.2,49392.51,1.123703704
Dry chillies,1998,Whole Year ,Kerala,297.0,288,3151.5,29343.6,86.13,0.937777778
Dry chillies,1998,Whole Year ,Meghalaya,1764.0,1051,6552.7,174283.2,511.56,0.598571429
Dry chillies,1998,Whole Year ,West Bengal,64354.0,51303,2152.5,6358175.2,18662.66,0.890555556
Dry chillies,1999,Whole Year ,Assam,14418.0,9516,2201.8,1530182.34,3892.86,0.636956522
Dry chillies,1999,Whole Year ,Kerala,312.0,310,2914.6,33112.56,84.24,0.975
Dry chillies,1999,Whole Year ,Meghalaya,1790.0,1128,6200.3,189972.7,483.3,0.635714286
Dry chillies,1999,Whole Year ,Puducherry,11.0,35,1434.5875,1167.43,2.97,3.305
Dry chillies,1999,Autumn     ,West Bengal,16849.0,13874,2318.1,1788184.37,4549.23,0.717222222
Dry chillies,1999,Rabi       ,West Bengal,46293.0,38430,2318.1,4913076.09,12499.11,1.043333333
Dry chillies,2000,Kharif     ,Andhra Pradesh,183741.0,410643,935.6,18037853.97,47772.66,2.146818182
Dry chillies,2000,Rabi       ,Andhra Pradesh,54262.0,115528,935.6,5326900.54,14108.12,2.023181818
Dry chillies,2000,Whole Year ,Assam,14688.0,9681,1965.5,1441920.96,3818.88,0.637826087
Dry chillies,2000,Whole Year ,Karnataka,172918.0,151043,1213.3,16975360.06,44958.68,1.049259259
Dry chillies,2000,Whole Year ,Meghalaya,1810.0,1146,6258.8,177687.7,470.6,0.651428571
Dry chillies,2000,Whole Year ,Puducherry,10.0,33,1434.5875,981.7,2.6,2.6775
Dry chillies,2000,Whole Year ,West Bengal,61498.0,54971,1907.7,6037258.66,15989.48,0.941111111
Dry chillies,2001,Kharif     ,Andhra Pradesh,170661.0,463307,928.4,17429607.93,44371.86,2.497272727
Dry chillies,2001,Rabi       ,Andhra Pradesh,54167.0,128104,928.4,5532075.71,14083.42,2.276363636
Dry chillies,2001,Whole Year ,Assam,14732.0,9647,1824.7,1504579.16,3830.32,0.637826087
Dry chillies,2001,Whole Year ,Karnataka,193067.0,126395,1002.9,19717932.71,50197.42,1.082962963
Dry chillies,2001,Whole Year ,Meghalaya,1825.0,1158,4241.0,186387.25,474.5,0.655714286
Dry chillies,2001,Whole Year ,West Bengal,60998.0,54530,1556.6,6229725.74,15859.48,0.937777778
Dry chillies,2002,Kharif     ,Andhra Pradesh,176001.0,309369,648.1,16662014.67,44000.25,1.668636364
Dry chillies,2002,Rabi       ,Andhra Pradesh,47247.0,99444,648.1,4472873.49,11811.75,2.070909091
