Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Linseed,1997,Rabi       ,Assam,10098.0,5158,2051.4,961026.66,3130.38,0.461363636
Linseed,1997,Kharif     ,Meghalaya,50.0,22,3818.2,4758.5,15.5,0.44
Linseed,1997,Whole Year ,West Bengal,16486.0,4210,1852.9,1568972.62,5110.66,0.251538462
Linseed,1998,Rabi       ,Assam,10222.0,5212,2354.4,1009933.6,2964.38,0.480909091
Linseed,1998,Rabi       ,Karnataka,19806.0,6441,1260.8,1956832.8,5743.74,0.315
Linseed,1998,Kharif     ,Meghalaya,51.0,23,6552.7,5038.8,14.79,0.45
Linseed,1998,Rabi       ,West Bengal,10323.0,2691,2152.5,1019912.4,2993.67,0.24
Linseed,1999,Rabi       ,Assam,10248.0,5323,2201.8,1087620.24,2766.96,0.502727273
Linseed,1999,Rabi       ,West Bengal,9855.0,4004,2318.1,1045911.15,2660.85,0.360769231
Linseed,2000,Rabi       ,Andhra Pradesh,5486.0,1093,935.6,538560.62,1426.36,0.2075
Linseed,2000,Rabi       ,Assam,10206.0,5278,1965.5,1001923.02,2653.56,0.505238095
Linseed,2000,Rabi       ,Karnataka,17365.0,6404,1213.3,1704722.05,4514.9,0.360714286
Linseed,2000,Rabi       ,Meghalaya,54.0,24,6258.8,5301.18,14.04,0.44
Linseed,2000,Rabi       ,West Bengal,11869.0,3972,1907.7,1165179.73,3085.94,0.460769231
Linseed,2001,Rabi       ,Andhra Pradesh,5872.0,1419,928.4,599707.36,1526.72,0.218333333
Linseed,2001,Rabi       ,Assam,9972.0,5114,1824.7,1018440.36,2592.72,0.505714286
Linseed,2001,Rabi       ,Karnataka,19611.0,6581,1002.9,2002871.43,5098.86,0.329285714
Linseed,2001,Rabi       ,West Bengal,11334.0,4655,1556.6,1157541.42,2946.84,0.371428571
Linseed,2002,Rabi       ,Andhra Pradesh,4070.0,1238,648.1,385306.9,1017.5,0.322857143
Linseed,2002,Rabi       ,Assam,9717.0,5071,1973.6,919908.39,2429.25,0.508636364
Linseed,2002,Rabi       ,West Bengal,8859.0,3691,1629.1,838681.53,2214.75,0.306666667
Linseed,2003,Rabi       ,Andhra Pradesh,4542.0,1193,826.0,449567.16,1090.08,0.21
Linseed,2003,Rabi       ,Assam,9604.0,5021,2213.7,950603.92,2304.96,0.524545455
Linseed,2003,Rabi       ,Karnataka,12909.0,996,867.6,1277732.82,3098.16,0.067142857
Linseed,2003,Rabi       ,West Bengal,6024.0,1907,1526.7,596255.52,1445.76,0.316923077
Linseed,2004,Rabi       ,Karnataka,14414.0,3046,1117.7,1561612.76,3026.94,0.206428571
Linseed,2004,Rabi       ,Meghalaya,75.0,35,4767.9,8125.5,15.75,0.47
Linseed,2005,Rabi       ,Andhra Pradesh,3845.0,1435,1075.5,461092.4,807.45,0.371666667
Linseed,2005,Rabi       ,Assam,8172.0,4131,2184.6,979986.24,1716.12,0.493076923
Linseed,2005,Rabi       ,Karnataka,13154.0,4384,1316.2,1577427.68,2762.34,0.316666667
Linseed,2005,Rabi       ,Meghalaya,78.0,37,3374.4,9353.76,16.38,0.47
Linseed,2005,Rabi       ,West Bengal,6667.0,1926,1650.1,799506.64,1400.07,0.302
Linseed,2006,Rabi       ,Meghalaya,82.0,39,2454.7,10472.22,18.04,0.48
Linseed,2006,Rabi       ,Andhra Pradesh,2830.0,777,845.2,361419.3,622.6,0.266
Linseed,2006,Rabi       ,Assam,8169.0,4142,1774.9,1043262.99,1797.18,0.484583333
Linseed,2006,Rabi       ,Karnataka,12283.0,3759,1146.3,1568661.93,2702.26,0.325384615
Linseed,2006,Rabi       ,West Bengal,5046.0,1213,1631.4,644424.66,1110.12,0.240769231
Linseed,2007,Rabi       ,Assam,7632.0,3886,2154.1,1018108.8,1221.12,0.5076
Linseed,2007,Rabi       ,Karnataka,13766.0,5442,1323.3,1836384.4,2202.56,0.406153846
Linseed,2007,Rabi       ,West Bengal,5917.0,1627,2007.5,789327.8,946.72,0.278571429
Linseed,2008,Rabi       ,Andhra Pradesh,927.0,347,944.6,132598.08,83.43,0.384
Linseed,2008,Rabi       ,Assam,7384.0,3795,2109.9,1056207.36,664.56,0.47125
Linseed,2008,Rabi       ,Karnataka,13549.0,5112,1164.1,1938048.96,1219.41,0.4
Linseed,2008,Rabi       ,Meghalaya,90.0,43,3114.3,12873.6,8.1,0.48
Linseed,2008,Rabi       ,West Bengal,4565.0,1130,1560.1,652977.6,410.85,0.218
Linseed,2009,Rabi       ,Andhra Pradesh,673.0,100,711.0,104866.86,114.41,0.155
Linseed,2009,Rabi       ,Assam,7003.0,3578,1727.1,1091207.46,1190.51,0.481666667
Linseed,2009,Rabi       ,Karnataka,12456.0,3657,1321.0,1940893.92,2117.52,0.333333333
Linseed,2009,Rabi       ,Meghalaya,77.0,36,2995.9,11998.14,13.09,0.47
Linseed,2010,Rabi       ,Assam,7125.0,3815,2578.5,1183533.75,1710.0,0.522083333
Linseed,2010,Rabi       ,Andhra Pradesh,1129.0,258,1297.0,187538.19,270.96,0.15
Linseed,2010,Rabi       ,Karnataka,11358.0,3809,1317.7,1886677.38,2725.92,0.335384615
Linseed,2010,Rabi       ,Meghalaya,82.0,39,3119.7,13621.02,19.68,0.48
