Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Moth,1997,Kharif     ,Gujarat,48500.0,24100,798.9,4615745.0,15035.0,0.603571429
Moth,1997,Kharif     ,Uttar Pradesh,933194.0,571557,473.9,88812072.98,289290.14,0.61474359
Moth,1998,Kharif     ,Gujarat,42900.0,13900,775.6,4238520.0,12441.0,0.331333333
Moth,1998,Kharif     ,Haryana,2189.0,400,687.6,216273.2,634.81,0.028571429
Moth,1998,Kharif     ,Uttar Pradesh,164.0,63,743.4,16203.2,47.56,0.334666667
Moth,1999,Kharif     ,Gujarat,25900.0,1600,458.9,2748767.0,6993.0,0.081538462
Moth,1999,Kharif     ,Haryana,99.0,0,344.0,10506.87,26.73,0.0
Moth,1999,Whole Year ,Uttar Pradesh,204.0,84,883.4,21650.52,55.08,0.447272727
Moth,2000,Kharif     ,Gujarat,43800.0,3600,379.7,4299846.0,11388.0,0.058571429
Moth,2000,Kharif     ,Haryana,122.0,0,383.7,11976.74,31.72,0.0
Moth,2000,Kharif     ,Punjab,300.0,300,405.3,29451.0,78.0,1.0
Moth,2000,Kharif     ,Uttar Pradesh,151.0,46,874.4,14823.67,39.26,0.339333333
Moth,2000,Kharif     ,Uttarakhand,44.0,17,1413.4,4319.48,11.44,0.36
Moth,2001,Kharif     ,Gujarat,43200.0,14500,666.5,4412016.0,11232.0,0.293333333
Moth,2001,Kharif     ,Haryana,1847.0,200,483.8,188634.11,480.22,0.04625
Moth,2001,Kharif     ,Punjab,300.0,300,479.3,30639.0,78.0,1.0
Moth,2001,Kharif     ,Uttar Pradesh,339.0,132,849.9,34622.07,88.14,0.4608
Moth,2001,Kharif     ,Uttarakhand,11.0,4,1541.3,1123.43,2.86,0.34
Moth,2002,Kharif     ,Gujarat,37900.0,8800,458.4,3587993.0,9475.0,0.544666667
Moth,2002,Kharif     ,Haryana,20304.0,1000,353.9,1922179.68,5076.0,0.042
Moth,2002,Kharif     ,Punjab,300.0,200,301.8,28401.0,75.0,0.75
Moth,2003,Kharif     ,Gujarat,47200.0,27100,902.5,4671856.0,11328.0,0.533333333
Moth,2003,Kharif     ,Haryana,10365.0,800,592.3,1025927.7,2487.6,0.031428571
Moth,2003,Kharif     ,Punjab,600.0,400,451.7,59388.0,144.0,0.833333333
Moth,2003,Kharif     ,Uttar Pradesh,379.0,146,1075.6,37513.42,90.96,0.388947368
Moth,2003,Kharif     ,Uttarakhand,2.0,1,1734.3,197.96,0.48,0.5
Moth,2004,Kharif     ,Gujarat,41000.0,14700,719.8,4441940.0,8610.0,0.413571429
Moth,2004,Kharif     ,Haryana,10719.0,1400,484.6,1161296.46,2250.99,0.128333333
Moth,2004,Kharif     ,Punjab,300.0,200,366.4,32502.0,63.0,0.666666667
Moth,2004,Kharif     ,Uttarakhand,4.0,1,1219.6,433.36,0.84,0.25
Moth,2005,Kharif     ,Gujarat,46100.0,23800,942.4,5528312.0,9681.0,0.510666667
Moth,2005,Kharif     ,Haryana,3147.0,500,516.9,377388.24,660.87,0.092
Moth,2005,Kharif     ,Himachal Pradesh,6.0,1,1248.1,719.52,1.26,0.1
Moth,2005,Kharif     ,Punjab,300.0,300,566.7,35976.0,63.0,1.0
Moth,2005,Kharif     ,Uttarakhand,9.0,3,1353.3,1079.28,1.89,0.33
Moth,2006,Kharif     ,Gujarat,44100.0,13500,1056.2,5632011.0,9702.0,0.346666667
Moth,2006,Kharif     ,Haryana,1917.0,300,329.3,244820.07,421.74,0.1775
Moth,2006,Kharif     ,Himachal Pradesh,12.0,3,1207.0,1532.52,2.64,0.155
Moth,2006,Kharif     ,Punjab,100.0,100,569.6,12771.0,22.0,1.0
Moth,2006,Kharif     ,Uttarakhand,10.0,3,1178.9,1277.1,2.2,0.3
Moth,2007,Kharif     ,Gujarat,49700.0,28900,1021.6,6629980.0,7952.0,0.633529412
Moth,2007,Kharif     ,Haryana,2798.0,400,443.8,373253.2,447.68,0.21
Moth,2007,Kharif     ,Himachal Pradesh,9.0,3,1095.4,1200.6,1.44,0.276666667
Moth,2007,Kharif     ,Uttarakhand,8.0,3,1924.3,1067.2,1.28,0.38
Moth,2008,Kharif     ,Gujarat,47000.0,10900,746.1,6722880.0,4230.0,0.321875
Moth,2008,Kharif     ,Haryana,3133.0,600,715.6,448144.32,281.97,0.154285714
Moth,2008,Kharif     ,Himachal Pradesh,23.0,7,1357.1,3289.92,2.07,0.206666667
Moth,2008,Kharif     ,Uttarakhand,343.0,120,1363.7,49062.72,30.87,0.35
Moth,2009,Kharif     ,Gujarat,22500.0,5800,618.0,3505950.0,3825.0,0.348
Moth,2009,Kharif     ,Haryana,2789.0,700,393.0,434581.98,474.13,0.192857143
Moth,2009,Kharif     ,Uttarakhand,18.0,7,847.8,2804.76,3.06,0.39
Moth,2010,Kharif     ,Gujarat,22400.0,12600,1107.5,3720864.0,5376.0,0.651875
Moth,2010,Kharif     ,Haryana,5693.0,1400,639.2,945664.23,1366.32,0.238571429
Moth,2010,Kharif     ,Himachal Pradesh,16.0,4,1319.8,2657.76,3.84,0.166666667
Moth,2010,Kharif     ,Uttarakhand,22.0,9,1419.0,3654.42,5.28,0.405
Moth,2010,Kharif     ,Jammu and Kashmir,3693.0,2082,1352.0,613444.23,886.32,0.655833333
Moth,2011,Kharif     ,Gujarat,45700.0,22700,890.5,7655664.0,15081.0,0.648461538
Moth,2011,Kharif     ,Haryana,2481.0,600,471.5409091,415617.12,818.73,0.095555556
Moth,2011,Kharif     ,Himachal Pradesh,16.0,4,1108.3,2680.32,5.28,0.166666667
Moth,2011,Kharif     ,Uttarakhand,2.0,2,1564.7,335.04,0.66,1.0
Moth,2012,Kharif     ,Gujarat,14100.0,5400,460.6,2126280.0,4371.0,0.621333333
Moth,2012,Kharif     ,Haryana,591.0,222,307.9,89122.8,183.21,0.436
Moth,2012,Kharif     ,Himachal Pradesh,14.0,4,1035.0,2111.2,4.34,0.193333333
Moth,2012,Kharif     ,Uttarakhand,20.0,8,1309.8,3016.0,6.2,0.37
Moth,2013,Kharif     ,Gujarat,30887.0,14963,1006.5,4462862.63,8339.49,0.522222222
Moth,2013,Kharif     ,Haryana,300.0,100,452.2,43347.0,81.0,0.333333333
Moth,2013,Kharif     ,Himachal Pradesh,27.0,10,1216.9,3901.23,7.29,0.366666667
Moth,2013,Kharif     ,Uttarakhand,27.0,11,1735.4,3901.23,7.29,0.26
Moth,2013,Rabi       ,West Bengal,15.0,13,1939.9,2167.35,4.05,0.87
Moth,2014,Kharif     ,Gujarat,10170.0,4389,605.6,1535263.2,3356.1,0.463913043
Moth,2014,Kharif     ,Haryana,400.0,200,301.3,60384.0,132.0,0.5
Moth,2014,Kharif     ,Himachal Pradesh,14.0,4,1019.9,2113.44,4.62,0.246666667
Moth,2014,Kharif     ,Uttarakhand,37.0,16,1287.4,5585.52,12.21,0.43
Moth,2014,Kharif     ,West Bengal,16.0,14,1483.5,2415.36,5.28,0.88
Moth,2015,Kharif     ,Gujarat,18716.0,8913,584.3,2955443.56,6176.28,0.497
Moth,2015,Kharif     ,Haryana,300.0,100,426.8,47373.0,99.0,0.25
Moth,2015,Kharif     ,Himachal Pradesh,17.0,6,1223.2,2684.47,5.61,0.216666667
Moth,2015,Kharif     ,Uttarakhand,15.0,8,1247.6,2368.65,4.95,0.53
Moth,2015,Rabi       ,Uttarakhand,15858.0,15520,1247.6,2504136.78,5233.14,0.720769231
Moth,2015,Rabi       ,West Bengal,16.0,14,1717.0,2526.56,5.28,0.88
Moth,2016,Kharif     ,Gujarat,32478.0,15229,710.5,4977253.5,11367.3,0.477894737
Moth,2016,Kharif     ,Haryana,600.0,100,554.7,91950.0,210.0,0.21
Moth,2016,Kharif     ,Himachal Pradesh,15.0,4,1373.9,2298.75,5.25,0.176666667
Moth,2016,Kharif     ,Uttarakhand,8.0,3,1580.9,1226.0,2.8,0.215
Moth,2016,Rabi       ,West Bengal,16.0,15,1795.8,2452.0,5.6,0.94
Moth,2017,Kharif     ,Gujarat,27250.0,17764,814.8,4290240.0,10355.0,0.678235294
Moth,2017,Kharif     ,Haryana,880.0,240,417.1,138547.2,334.4,0.3625
Moth,2017,Kharif     ,Himachal Pradesh,17.0,11,1182.2,2676.48,6.46,0.58
Moth,2017,Kharif     ,Uttarakhand,9.0,5,1475.8,1416.96,3.42,0.535
Moth,2018,Kharif     ,Gujarat,12126.0,997,1125.4,1966837.2,4244.1,0.078421053
Moth,2018,Kharif     ,Haryana,101.0,58,533.2,16382.2,35.35,0.713333333
Moth,2018,Kharif     ,Himachal Pradesh,16.0,10,1052.2,2595.2,5.6,0.59
Moth,2018,Kharif     ,Uttarakhand,20.0,9,1373.0,3244.0,7.0,0.48
Moth,2019,Kharif     ,Gujarat,11559.0,5336,1067.8,1985373.84,4276.83,0.453157895
Moth,2019,Kharif     ,Haryana,410.0,76,351.8,70421.6,151.7,0.208333333
Moth,2019,Kharif     ,Himachal Pradesh,28.0,22,1217.7,4809.28,10.36,0.755
Moth,2019,Kharif     ,Uttarakhand,9.0,5,1378.9,1545.84,3.33,0.56
Moth,2020,Kharif     ,Uttarakhand,42.0,24,1313.947826,8131.62,15.54,0.57
Moth,2002,Kharif     ,Jammu and Kashmir,3481.0,2069,933.2,329546.27,870.25,0.625714286
Moth,2002,Kharif     ,Uttar Pradesh,258.0,106,664.0,24424.86,64.5,0.439090909
Moth,2006,Kharif     ,Jammu and Kashmir,2396.0,1478,1786.5,305993.16,527.12,0.655
Moth,2006,Rabi       ,Jammu and Kashmir,779.0,430,1786.5,99486.09,171.38,0.633333333
Moth,2009,Kharif     ,Jammu and Kashmir,2806.0,1607,751.7,437230.92,477.02,0.650909091
Moth,2011,Kharif     ,Jammu and Kashmir,2795.0,1616,887.6,468218.4,922.35,0.663846154
Moth,2012,Kharif     ,Jammu and Kashmir,2823.0,1615,1116.7,425708.4,875.13,0.66
Moth,2015,Kharif     ,Jammu and Kashmir,1071.0,786,1572.6,169121.61,353.43,0.774285714
Moth,2016,Kharif     ,Jammu and Kashmir,1111.0,807,902.8,170260.75,388.85,0.692
Moth,2017,Kharif     ,Jammu and Kashmir,1119.0,833,1279.1,176175.36,425.22,0.7375
Moth,2018,Kharif     ,Jammu and Kashmir,1124.0,822,1016.3,182312.8,393.4,0.73875
Moth,2019,Kharif     ,Jammu and Kashmir,1169.0,856,1324.1,200787.44,432.53,0.691
