Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Other  Rabi pulses,1997,Rabi       ,Assam,108297.0,58272,2051.4,10306625.49,33572.07,0.520869565
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909.0,1511,3818.2,181679.53,591.79,0.777142857
Other  Rabi pulses,1998,Rabi       ,Assam,116141.0,62330,2354.4,11474730.8,33680.89,0.50826087
Other  Rabi pulses,1998,Rabi       ,Goa,8671.0,9220,2964.9,856694.8,2514.59,1.06
Other  Rabi pulses,1998,Rabi       ,Meghalaya,1938.0,1527,6552.7,191474.4,562.02,0.755714286
Other  Rabi pulses,1999,Rabi       ,Assam,106576.0,58390,2201.8,11310910.88,28775.52,0.532173913
Other  Rabi pulses,1999,Rabi       ,Goa,9227.0,8430,3879.3,979261.51,2491.29,0.91
Other  Rabi pulses,1999,Rabi       ,Puducherry,63.0,123,1434.5875,6686.19,17.01,1.333333333
Other  Rabi pulses,2000,Rabi       ,Andhra Pradesh,14200.0,5471,935.6,1394014.0,3692.0,0.324705882
Other  Rabi pulses,2000,Rabi       ,Assam,101474.0,55752,1965.5,9961702.58,26383.24,0.52173913
Other  Rabi pulses,2000,Rabi       ,Goa,10121.0,9338,3886.9,993578.57,2631.46,0.92
Other  Rabi pulses,2000,Rabi       ,Karnataka,33468.0,3985,1213.3,3285553.56,8701.68,0.117407407
Other  Rabi pulses,2000,Rabi       ,Meghalaya,2048.0,1610,6258.8,201052.16,532.48,0.761428571
Other  Rabi pulses,2000,Rabi       ,Puducherry,64.0,125,1434.5875,6282.88,16.64,1.18
Other  Rabi pulses,2001,Rabi       ,Andhra Pradesh,13750.0,5012,928.4,1404287.5,3575.0,0.510666667
Other  Rabi pulses,2001,Rabi       ,Assam,108818.0,59768,1824.7,11113582.34,28292.68,0.529130435
Other  Rabi pulses,2001,Rabi       ,Goa,8944.0,8085,2530.6,913450.72,2325.44,0.9
Other  Rabi pulses,2001,Rabi       ,Karnataka,29824.0,3478,1002.9,3045925.12,7754.24,0.12037037
Other  Rabi pulses,2001,Rabi       ,Puducherry,116.0,91,1434.5875,11847.08,30.16,0.68
Other  Rabi pulses,2002,Rabi       ,Andhra Pradesh,1873.0,518,648.1,177316.91,468.25,0.27375
Other  Rabi pulses,2002,Rabi       ,Assam,101665.0,53967,1973.6,9624625.55,25416.25,0.512173913
Other  Rabi pulses,2002,Rabi       ,Goa,9167.0,7285,2516.3,867839.89,2291.75,0.79
Other  Rabi pulses,2003,Rabi       ,Andhra Pradesh,4333.0,795,826.0,428880.34,1039.92,0.181818182
Other  Rabi pulses,2003,Rabi       ,Goa,9284.0,8853,3011.6,918930.32,2228.16,0.95
Other  Rabi pulses,2003,Rabi       ,Karnataka,24803.0,2864,867.6,2455000.94,5952.72,0.114
Other  Rabi pulses,2003,Rabi       ,Meghalaya,2100.0,1648,3321.3,207858.0,504.0,0.757142857
Other  Rabi pulses,2003,Rabi       ,Puducherry,141.0,138,1434.5875,13956.18,33.84,0.99
Other  Rabi pulses,2004,Rabi       ,Karnataka,23981.0,2810,1117.7,2598101.54,5036.01,0.120384615
Other  Rabi pulses,2004,Rabi       ,Meghalaya,2103.0,1645,4767.9,227839.02,441.63,0.76
Other  Rabi pulses,2005,Rabi       ,Andhra Pradesh,16032.0,6755,1075.5,1922557.44,3366.72,0.401666667
Other  Rabi pulses,2005,Rabi       ,Assam,91945.0,49684,2184.6,11026044.4,19308.45,0.533703704
Other  Rabi pulses,2005,Rabi       ,Karnataka,29137.0,3475,1316.2,3494109.04,6118.77,0.118888889
Other  Rabi pulses,2005,Rabi       ,Meghalaya,2163.0,1713,3374.4,259386.96,454.23,0.775714286
Other  Rabi pulses,2006,Rabi       ,Meghalaya,2167.0,1706,2454.7,276747.57,476.74,0.76
Other  Rabi pulses,2006,Rabi       ,Andhra Pradesh,14792.0,5811,845.2,1889086.32,3254.24,0.443125
Other  Rabi pulses,2006,Rabi       ,Assam,14486.0,7916,1774.9,1850007.06,3186.92,0.508076923
Other  Rabi pulses,2006,Rabi       ,Karnataka,33685.0,8233,1146.3,4301911.35,7410.7,0.269259259
Other  Rabi pulses,2007,Summer     ,Puducherry,36.0,33,1434.5875,4802.4,5.76,0.92
