Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Other Cereals,2004,Kharif     ,Kerala,955.0,746,2880.2,103464.7,200.55,0.8475
Other Cereals,2005,Kharif     ,Kerala,11.0,21,3030.9,1319.12,2.31,1.91
Other Cereals,2006,Kharif     ,Kerala,625.0,489,3429.7,79818.75,137.5,0.793333333
Other Cereals,2007,Kharif     ,Kerala,341.0,267,3489.6,45489.4,54.56,0.853333333
Other Cereals,2008,Kharif     ,Kerala,371.0,290,2524.8,53067.84,33.39,0.91
Other Cereals,2009,Kharif     ,Kerala,226.0,176,2821.5,35215.32,38.42,0.765
Other Cereals,2016,Kharif     ,Tamil Nadu,1547.0,210,912.4,237077.75,541.45,0.1
Other Cereals,2016,Rabi       ,Tamil Nadu,4060.0,54,912.4,622195.0,1421.0,0.095454545
Other Cereals,2017,Rabi       ,Puducherry,5.0,8,1582.4,787.2,1.9,1.6
Other Cereals,2017,Kharif     ,Tamil Nadu,3174.0,3861,970.9,499714.56,1206.12,0.741363636
Other Cereals,2017,Rabi       ,Tamil Nadu,3352.0,4442,970.9,527738.88,1273.76,1.091538462
Other Cereals,2018,Kharif     ,Tamil Nadu,1685.0,2286,986.2,273307.0,589.75,1.262941176
Other Cereals,2018,Rabi       ,Tamil Nadu,4262.0,10045,986.2,691296.4,1491.7,2.21
Other Cereals,2019,Kharif     ,Tamil Nadu,2172.0,3175,910.1,373062.72,803.64,1.121875
Other Cereals,2019,Rabi       ,Tamil Nadu,5392.0,7193,910.1,926129.92,1995.04,1.282
Other Cereals,1998,Kharif     ,Gujarat,11300.0,4600,775.6,1116440.0,3277.0,0.32375
Other Cereals,1998,Kharif     ,Maharashtra,123400.0,72700,1314.8,12191920.0,35786.0,0.646
Other Cereals,1998,Rabi       ,Maharashtra,20500.0,23400,1314.8,2025400.0,5945.0,1.0475
Other Cereals,1999,Kharif     ,Gujarat,11400.0,3300,458.9,1209882.0,3078.0,0.282857143
Other Cereals,2000,Kharif     ,Gujarat,10500.0,2500,379.7,1030785.0,2730.0,0.236666667
Other Cereals,2000,Kharif     ,Tamil Nadu,87384.0,75741,971.1,8578487.28,22719.84,0.826315789
Other Cereals,2000,Kharif     ,Uttarakhand,5596.0,1587,1413.4,549359.32,1454.96,0.285
Other Cereals,2000,Rabi       ,Uttarakhand,1307.0,1323,1413.4,128308.19,339.82,1.028571429
Other Cereals,2001,Kharif     ,Uttarakhand,7411.0,2004,1541.3,756885.43,1926.86,0.283636364
Other Cereals,2001,Rabi       ,Uttarakhand,1213.0,1383,1541.3,123883.69,315.38,1.106666667
Other Cereals,2002,Kharif     ,Uttarakhand,8854.0,2494,1610.3,838208.18,2213.5,0.295
Other Cereals,2002,Rabi       ,Uttarakhand,471.0,474,1610.3,44589.57,117.75,1.0375
Other Cereals,2003,Kharif     ,Uttarakhand,77717.0,87277,1734.3,7692428.66,18652.08,1.000909091
Other Cereals,2003,Rabi       ,Uttarakhand,660.0,755,1734.3,65326.8,158.4,1.112222222
Other Cereals,2004,Kharif     ,Gujarat,12300.0,4000,719.8,1332582.0,2583.0,0.51
Other Cereals,2004,Rabi       ,Gujarat,10900.0,3900,719.8,1180906.0,2289.0,0.153333333
