Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Sannhamp,1997,Whole Year ,West Bengal,2015.0,9073,1852.9,191767.55,624.65,4.598571429
Sannhamp,1998,Whole Year ,West Bengal,1800.0,9280,2152.5,177840.0,522.0,4.971428571
Sannhamp,1999,Autumn     ,West Bengal,1448.0,7810,2318.1,153676.24,390.96,5.421666667
Sannhamp,1999,Rabi       ,West Bengal,107.0,298,2318.1,11355.91,28.89,3.6
Sannhamp,2000,Whole Year ,Karnataka,1424.0,354,1213.3,139794.08,370.24,0.285
Sannhamp,2000,Whole Year ,West Bengal,1519.0,7064,1907.7,149120.23,394.94,4.527142857
Sannhamp,2001,Whole Year ,Karnataka,2555.0,634,1002.9,260942.15,664.3,0.238333333
Sannhamp,2001,Whole Year ,West Bengal,1515.0,7365,1556.6,154726.95,393.9,4.812857143
Sannhamp,2002,Whole Year ,West Bengal,1374.0,6918,1629.1,130076.58,343.5,5.218571429
Sannhamp,2003,Whole Year ,Karnataka,466.0,116,867.6,46124.68,111.84,0.144285714
Sannhamp,2003,Whole Year ,West Bengal,1273.0,6669,1526.7,126001.54,305.52,5.142857143
Sannhamp,2004,Whole Year ,Karnataka,147.0,37,1117.7,15925.98,30.87,0.25
Sannhamp,2005,Whole Year ,Karnataka,205.0,46,1316.2,24583.6,43.05,0.215
Sannhamp,2005,Kharif     ,Tamil Nadu,10.0,0,1364.1,1199.2,2.1,0.0
Sannhamp,2005,Whole Year ,West Bengal,1257.0,6725,1650.1,150739.44,263.97,5.41625
Sannhamp,2006,Whole Year ,Karnataka,25.0,5,1146.3,3192.75,5.5,0.136666667
Sannhamp,2006,Whole Year ,West Bengal,1294.0,7252,1631.4,165256.74,284.68,5.58125
Sannhamp,2007,Whole Year ,Karnataka,400.0,99,1323.3,53360.0,64.0,0.243333333
Sannhamp,2007,Kharif     ,West Bengal,1134.0,6282,2007.5,151275.6,181.44,5.4375
Sannhamp,2008,Whole Year ,Karnataka,266.0,66,1164.1,38048.64,23.94,0.243333333
Sannhamp,2008,Kharif     ,West Bengal,968.0,5407,1560.1,138462.72,87.12,5.3875
Sannhamp,2009,Whole Year ,Karnataka,282.0,70,1321.0,43941.24,47.94,0.163333333
Sannhamp,2010,Whole Year ,Karnataka,341.0,85,1317.7,56643.51,81.84,0.245
