Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Soyabean,1997,Kharif     ,Meghalaya,898.0,814,3818.2,85462.66,278.38,0.921428571
Soyabean,1997,Kharif     ,West Bengal,1555.0,1172,1852.9,147989.35,482.05,1.196666667
Soyabean,1998,Kharif     ,Karnataka,65309.0,70294,1260.8,6452529.2,18939.61,1.060588235
Soyabean,1998,Kharif     ,Meghalaya,899.0,812,6552.7,88821.2,260.71,0.881428571
Soyabean,1998,Kharif     ,West Bengal,800.0,461,2152.5,79040.0,232.0,0.481666667
Soyabean,1999,Kharif     ,Meghalaya,1038.0,928,6200.3,110162.94,280.26,0.888571429
Soyabean,1999,Kharif     ,West Bengal,730.0,441,2318.1,77474.9,197.1,0.448333333
Soyabean,2000,Kharif     ,Karnataka,62553.0,65266,1213.3,6140828.01,16263.78,1.01
Soyabean,2000,Kharif     ,Meghalaya,983.0,914,6258.8,96501.11,255.58,0.91
Soyabean,2000,Kharif     ,West Bengal,538.0,322,1907.7,52815.46,139.88,0.5775
Soyabean,2001,Kharif     ,Karnataka,48444.0,40217,1002.9,4947585.72,12595.44,0.808
Soyabean,2001,Kharif     ,Meghalaya,981.0,939,4241.0,100189.53,255.06,0.912857143
Soyabean,2001,Kharif     ,West Bengal,516.0,308,1556.6,52699.08,134.16,0.5375
Soyabean,2002,Kharif     ,Andhra Pradesh,41284.0,0,648.1,3908356.28,10321.0,0.0
Soyabean,2002,Kharif     ,West Bengal,520.0,311,1629.1,49228.4,130.0,0.55
Soyabean,2003,Kharif     ,Andhra Pradesh,68424.0,107298,826.0,6772607.52,16421.76,1.345
Soyabean,2003,Kharif     ,Karnataka,93904.0,45255,867.6,9294617.92,22536.96,0.481
Soyabean,2003,Kharif     ,Meghalaya,984.0,963,3321.3,97396.32,236.16,0.945714286
Soyabean,2003,Kharif     ,West Bengal,21.0,15,1526.7,2078.58,5.04,0.72
