Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Tobacco,1997,Whole Year ,Assam,433.0,26,2051.4,41208.61,134.23,0.38
Tobacco,1997,Rabi       ,Meghalaya,742.0,505,3818.2,70616.14,230.02,0.618
Tobacco,1998,Whole Year ,Assam,1465.0,732,2354.4,144742.0,424.85,0.569545455
Tobacco,1998,Whole Year ,Kerala,41.0,228,3151.5,4050.8,11.89,5.56
Tobacco,1998,Whole Year ,Meghalaya,742.0,507,6552.7,73309.6,215.18,0.61
Tobacco,1999,Whole Year ,Assam,1373.0,695,2201.8,145716.49,370.71,0.573913043
Tobacco,1999,Whole Year ,Kerala,44.0,245,2914.6,4669.72,11.88,5.57
Tobacco,1999,Whole Year ,Meghalaya,719.0,488,6200.3,76307.47,194.13,0.636
Tobacco,1999,Whole Year ,West Bengal,11442.0,6694,2318.1,1214339.46,3089.34,0.592
Tobacco,2000,Whole Year ,Andhra Pradesh,126144.0,463405,935.6,12383556.48,32797.44,3.364285714
Tobacco,2000,Whole Year ,Assam,1278.0,624,1965.5,125461.26,332.28,0.584782609
Tobacco,2000,Whole Year ,Karnataka,70504.0,52131,1213.3,6921377.68,18331.04,0.722857143
Tobacco,2000,Whole Year ,Kerala,213.0,1186,2412.6,20910.21,55.38,5.57
Tobacco,2000,Whole Year ,Meghalaya,700.0,470,6258.8,68719.0,182.0,0.64
Tobacco,2000,Whole Year ,West Bengal,10456.0,5703,1907.7,1026465.52,2718.56,0.598
Tobacco,2001,Whole Year ,Andhra Pradesh,188936.0,418057,928.4,19296033.68,49123.36,2.97047619
Tobacco,2001,Whole Year ,Assam,1195.0,593,1824.7,122045.35,310.7,0.600434783
Tobacco,2001,Whole Year ,Kerala,71.0,395,2946.7,7251.23,18.46,5.56
Tobacco,2001,Whole Year ,Meghalaya,728.0,480,4241.0,74350.64,189.28,0.562
Tobacco,2001,Whole Year ,West Bengal,9718.0,5300,1556.6,992499.34,2526.68,0.652
Tobacco,2002,Whole Year ,Andhra Pradesh,173612.0,451214,648.1,16435848.04,43403.0,3.58547619
Tobacco,2002,Whole Year ,Assam,1104.0,539,1973.6,104515.68,276.0,0.56
Tobacco,2002,Whole Year ,Kerala,90.0,501,2511.2,8520.3,22.5,5.57
Tobacco,2002,Whole Year ,Tamil Nadu,8213.0,12630,315.9,777524.71,2053.25,1.435454545
Tobacco,2002,Whole Year ,West Bengal,7757.0,4205,1629.1,734355.19,1939.25,0.67
Tobacco,2003,Whole Year ,Andhra Pradesh,191030.0,516207,826.0,18908149.4,45847.2,3.782439024
Tobacco,2003,Whole Year ,Assam,828.0,416,2213.7,81955.44,198.72,0.561304348
Tobacco,2003,Whole Year ,Karnataka,98050.0,55107,867.6,9704989.0,23532.0,0.574285714
Tobacco,2003,Whole Year ,Kerala,76.0,423,2386.0,7522.48,18.24,5.57
Tobacco,2003,Whole Year ,Meghalaya,723.0,472,3321.3,71562.54,173.52,0.55
Tobacco,2003,Whole Year ,West Bengal,12996.0,9598,1526.7,1286344.08,3119.04,0.718
Tobacco,2004,Whole Year ,Karnataka,91403.0,67502,1117.7,9902601.02,19194.63,0.75
Tobacco,2004,Whole Year ,Kerala,40.0,223,2880.2,4333.6,8.4,5.58
Tobacco,2004,Whole Year ,Meghalaya,729.0,479,4767.9,78979.86,153.09,0.55
Tobacco,2005,Whole Year ,Andhra Pradesh,204328.0,716614,1075.5,24503013.76,42908.88,4.374418605
Tobacco,2005,Whole Year ,Assam,657.0,351,2184.6,78787.44,137.97,0.504074074
Tobacco,2005,Whole Year ,Karnataka,100798.0,63879,1316.2,12087696.16,21167.58,0.646
Tobacco,2005,Whole Year ,Kerala,43.0,69,3030.9,5156.56,9.03,1.6
Tobacco,2005,Whole Year ,Meghalaya,721.0,475,3374.4,86462.32,151.41,0.562
Tobacco,2005,Whole Year ,Tamil Nadu,5102.0,7792,1364.1,611831.84,1071.42,1.451
Tobacco,2005,Whole Year ,West Bengal,13884.0,19890,1650.1,1664969.28,2915.64,0.791666667
Tobacco,2006,Rabi       ,Meghalaya,709.0,468,2454.7,90546.39,155.98,0.58
Tobacco,2006,Whole Year ,Andhra Pradesh,191822.0,582747,845.2,24497587.62,42200.84,4.163571429
Tobacco,2006,Whole Year ,Assam,563.0,301,1774.9,71900.73,123.86,0.5928
Tobacco,2006,Whole Year ,Karnataka,104030.0,46318,1146.3,13285671.3,22886.6,0.471875
Tobacco,2006,Whole Year ,Kerala,31.0,50,3429.7,3959.01,6.82,1.61
Tobacco,2006,Whole Year ,Tamil Nadu,5041.0,7724,927.9,643786.11,1109.02,1.443333333
Tobacco,2006,Whole Year ,West Bengal,11991.0,16603,1631.4,1531370.61,2638.02,0.8
Tobacco,2007,Whole Year ,Assam,501.0,265,2154.1,66833.4,80.16,0.5824
Tobacco,2007,Whole Year ,Karnataka,113162.0,47902,1323.3,15095810.8,18105.92,0.46
Tobacco,2007,Whole Year ,Kerala,43.0,69,3489.6,5736.2,6.88,1.6
Tobacco,2007,Whole Year ,Tamil Nadu,5903.0,9056,1067.2,787460.2,944.48,1.4625
Tobacco,2007,Whole Year ,West Bengal,11698.0,16472,2007.5,1560513.2,1871.68,0.796666667
Tobacco,2008,Whole Year ,Andhra Pradesh,232741.0,717012,944.6,33291272.64,20946.69,4.74097561
Tobacco,2008,Whole Year ,Assam,493.0,266,2109.9,70518.72,44.37,0.649166667
Tobacco,2008,Whole Year ,Karnataka,108139.0,54936,1164.1,15468202.56,9732.51,0.584375
Tobacco,2008,Whole Year ,Kerala,39.0,63,2524.8,5578.56,3.51,1.62
Tobacco,2008,Whole Year ,Meghalaya,664.0,436,3114.3,94978.56,59.76,0.7275
Tobacco,2008,Whole Year ,Tamil Nadu,5379.0,8214,1201.9,769412.16,484.11,1.593333333
Tobacco,2008,Whole Year ,West Bengal,12707.0,17999,1560.1,1817609.28,1143.63,0.676666667
Tobacco,2009,Whole Year ,Andhra Pradesh,258386.0,724059,711.0,40261706.52,43925.62,4.295121951
Tobacco,2009,Whole Year ,Assam,591.0,320,1727.1,92089.62,100.47,0.631923077
Tobacco,2009,Whole Year ,Karnataka,118168.0,90957,1321.0,18412937.76,20088.56,0.799411765
Tobacco,2009,Whole Year ,Kerala,29.0,34,2821.5,4518.78,4.93,1.17
Tobacco,2009,Rabi       ,Meghalaya,635.0,427,2995.9,98945.7,107.95,0.7375
Tobacco,2009,Whole Year ,Tamil Nadu,7051.0,10741,928.5,1098686.82,1198.67,1.407857143
Tobacco,2010,Whole Year ,Assam,490.0,250,2578.5,81393.9,117.6,0.6084
Tobacco,2010,Whole Year ,Andhra Pradesh,226534.0,748159,1297.0,37629562.74,54368.16,4.380465116
Tobacco,2010,Whole Year ,Karnataka,125392.0,136982,1317.7,20828865.12,30094.08,1.07
Tobacco,2010,Rabi       ,Meghalaya,631.0,420,3119.7,104815.41,151.44,0.7475
Tobacco,2011,Whole Year ,Assam,341.0,186,1743.4,57124.32,112.53,0.631304348
Tobacco,2011,Whole Year ,Andhra Pradesh,213472.0,766816,861.9,35760829.44,70445.76,4.583953488
Tobacco,2011,Whole Year ,Karnataka,114558.0,104965,1178.986364,19190756.16,37804.14,0.943076923
Tobacco,2011,Whole Year ,Kerala,43.0,69,3035.1,7203.36,14.19,1.6
Tobacco,2011,Rabi       ,Meghalaya,641.0,434,4083.104545,107380.32,211.53,0.7575
Tobacco,2011,Whole Year ,Tamil Nadu,2868.0,8205,926.5,480447.36,946.44,2.648333333
Tobacco,2012,Kharif     ,Andhra Pradesh,18006.0,151392,968.7,2715304.8,5581.86,8.578461538
Tobacco,2012,Rabi       ,Andhra Pradesh,56.0,286,968.7,8444.8,17.36,5.255
Tobacco,2012,Whole Year ,Andhra Pradesh,134000.0,265000,968.7,20207200.0,41540.0,2.56
Tobacco,2012,Whole Year ,Assam,278.0,148,2167.5,41922.4,86.18,0.58952381
Tobacco,2012,Whole Year ,Karnataka,106446.0,66656,956.2,16052056.8,32998.26,0.662727273
Tobacco,2012,Whole Year ,Kerala,13.0,23,2187.6,1960.4,4.03,1.77
Tobacco,2012,Rabi       ,Meghalaya,775.0,717,2945.3,116870.0,240.25,1.0175
Tobacco,2013,Kharif     ,Andhra Pradesh,22309.0,164772,1062.3,3223427.41,6023.43,6.22
Tobacco,2013,Rabi       ,Andhra Pradesh,138546.0,263122,1062.3,20018511.54,37407.42,4.162666667
Tobacco,2013,Whole Year ,Assam,259.0,139,1797.7,37422.91,69.93,0.6295
Tobacco,2013,Whole Year ,Karnataka,108796.0,89519,1235.6,15719934.04,29374.92,0.886153846
Tobacco,2013,Whole Year ,Kerala,9.0,17,3255.4,1300.41,2.43,1.89
Tobacco,2013,Rabi       ,Meghalaya,780.0,730,2448.4,112702.2,210.6,0.996666667
Tobacco,2013,Whole Year ,Tamil Nadu,3725.0,5691,740.9,538225.25,1005.75,1.284166667
Tobacco,2014,Kharif     ,Andhra Pradesh,19733.0,152700,687.6,2978893.68,6511.89,6.8325
Tobacco,2014,Rabi       ,Andhra Pradesh,136306.0,348342,687.6,20576753.76,44980.98,3.428571429
Tobacco,2014,Whole Year ,Assam,261.0,139,1899.0,39400.56,86.13,0.6835
Tobacco,2014,Whole Year ,Karnataka,94322.0,67560,1238.5,14238849.12,31126.26,0.782727273
Tobacco,2014,Whole Year ,Kerala,13.0,21,3046.4,1962.48,4.29,1.62
Tobacco,2014,Rabi       ,Meghalaya,779.0,759,3484.4,117597.84,257.07,1.035
Tobacco,2014,Whole Year ,Tamil Nadu,5478.0,8334,911.3,826958.88,1807.74,1.497
Tobacco,2015,Kharif     ,Andhra Pradesh,19100.0,128256,940.7,3016081.0,6303.0,5.955263158
Tobacco,2015,Rabi       ,Andhra Pradesh,95687.0,214375,940.7,15109934.17,31576.71,3.359230769
Tobacco,2015,Rabi       ,Puducherry,209.0,4388,1980.6,33003.19,68.97,30.17
Tobacco,2015,Whole Year ,Assam,243.0,125,2155.3,38372.13,80.19,0.631666667
Tobacco,2015,Rabi       ,Meghalaya,790.0,775,3870.8,124748.9,260.7,1.046666667
Tobacco,2015,Whole Year ,Kerala,9.0,15,2602.9,1421.19,2.97,1.67
