Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Wheat,1997,Rabi       ,Assam,84698.0,110054,2051.4,8060708.66,26256.38,1.25952381
Wheat,1997,Rabi       ,Karnataka,250698.0,118512,1266.7,23858928.66,77716.38,0.548333333
Wheat,1997,Rabi       ,Meghalaya,4287.0,6894,3818.2,407993.79,1328.97,1.385
Wheat,1997,Rabi       ,West Bengal,367374.0,810480,1852.9,34962983.58,113885.94,1.886666667
Wheat,1998,Rabi       ,Assam,89591.0,90509,2354.4,8851590.8,25981.39,0.999545455
Wheat,1998,Rabi       ,Karnataka,268981.0,219433,1260.8,26575322.8,78004.49,0.848823529
Wheat,1998,Rabi       ,Meghalaya,4287.0,6998,6552.7,423555.6,1243.23,1.605
Wheat,1998,Rabi       ,West Bengal,367472.0,778090,2152.5,36306233.6,106566.88,1.870555556
Wheat,1999,Rabi       ,Assam,76310.0,97583,2201.8,8098780.3,20603.7,1.256818182
Wheat,1999,Rabi       ,West Bengal,364155.0,850778,2318.1,38647770.15,98321.85,2.096666667
Wheat,2000,Rabi       ,Andhra Pradesh,14261.0,8121,935.6,1400002.37,3707.86,0.581818182
Wheat,2000,Rabi       ,Assam,70301.0,85695,1965.5,6901449.17,18278.26,1.175909091
Wheat,2000,Rabi       ,Karnataka,266310.0,249880,1213.3,26143652.7,69240.6,0.93375
Wheat,2000,Rabi       ,Meghalaya,4215.0,6892,6258.8,413786.55,1095.9,1.395
Wheat,2000,Rabi       ,West Bengal,426000.0,1057610,1907.7,41820420.0,110760.0,2.330555556
Wheat,2001,Rabi       ,Andhra Pradesh,13793.0,9486,928.4,1408679.09,3586.18,0.6275
Wheat,2001,Rabi       ,Assam,72245.0,85300,1824.7,7378381.85,18783.7,1.185217391
Wheat,2001,Rabi       ,Karnataka,260486.0,198822,1002.9,26603435.18,67726.36,0.777333333
Wheat,2001,Rabi       ,Meghalaya,2753.0,4812,4241.0,281163.89,715.78,1.455
Wheat,2001,Rabi       ,West Bengal,434004.0,961533,1556.6,44324828.52,112841.04,2.109444444
Wheat,2002,Rabi       ,Andhra Pradesh,11044.0,14898,648.1,1045535.48,2761.0,1.09
Wheat,2002,Rabi       ,Assam,69061.0,77952,1973.6,6538004.87,17265.25,1.152272727
Wheat,2002,Rabi       ,West Bengal,405350.0,887437,1629.1,38374484.5,101337.5,1.992777778
Wheat,2003,Rabi       ,Andhra Pradesh,11928.0,6741,826.0,1180633.44,2862.72,0.481818182
Wheat,2003,Rabi       ,Assam,69954.0,73186,2213.7,6924046.92,16788.96,1.040909091
Wheat,2003,Rabi       ,Karnataka,231994.0,96150,867.6,22962766.12,55678.56,0.516428571
Wheat,2003,Rabi       ,Meghalaya,862.0,1540,3321.3,85320.76,206.88,1.49
Wheat,2003,Rabi       ,West Bengal,425721.0,985686,1526.7,42137864.58,102173.04,2.194444444
Wheat,2004,Rabi       ,Karnataka,241991.0,206296,1117.7,26217304.94,50818.11,0.845333333
Wheat,2004,Rabi       ,Meghalaya,863.0,1564,4767.9,93497.42,181.23,1.156666667
Wheat,2005,Rabi       ,Andhra Pradesh,11109.0,8891,1075.5,1332191.28,2332.89,0.774
Wheat,2005,Rabi       ,Assam,49961.0,53735,2184.6,5991323.12,10491.81,1.084230769
Wheat,2005,Rabi       ,Karnataka,252588.0,226369,1316.2,30290352.96,53043.48,0.880714286
Wheat,2005,Rabi       ,Meghalaya,670.0,1198,3374.4,80346.4,140.7,1.306666667
Wheat,2005,Rabi       ,West Bengal,366729.0,773514,1650.1,43978141.68,77013.09,1.953333333
Wheat,2006,Rabi       ,Meghalaya,656.0,1183,2454.7,83777.76,144.32,1.32
Wheat,2006,Rabi       ,Andhra Pradesh,10016.0,8796,845.2,1279143.36,2203.52,0.68
Wheat,2006,Rabi       ,Assam,59573.0,67413,1774.9,7608067.83,13106.06,1.134444444
Wheat,2006,Rabi       ,Karnataka,269494.0,223806,1146.3,34417078.74,59288.68,0.810714286
Wheat,2006,Rabi       ,West Bengal,350621.0,799876,1631.4,44777807.91,77136.62,2.168888889
Wheat,2007,Rabi       ,Assam,56069.0,70797,2154.1,7479604.6,8971.04,1.225185185
Wheat,2007,Rabi       ,Karnataka,275583.0,280384,1323.3,36762772.2,44093.28,1.018
Wheat,2007,Rabi       ,West Bengal,352579.0,917284,2007.5,47034038.6,56412.64,2.452222222
Wheat,2008,Rabi       ,Andhra Pradesh,13687.0,15421,944.6,1957788.48,1231.83,1.026666667
Wheat,2008,Rabi       ,Assam,50053.0,54551,2109.9,7159581.12,4504.77,1.045769231
Wheat,2008,Rabi       ,Karnataka,268600.0,257181,1164.1,38420544.0,24174.0,1.012857143
Wheat,2008,Rabi       ,Meghalaya,416.0,739,3114.3,59504.64,37.44,1.245
Wheat,2008,Rabi       ,West Bengal,306985.0,764528,1560.1,43911134.4,27628.65,2.172777778
Wheat,2009,Rabi       ,Andhra Pradesh,9872.0,10319,711.0,1538255.04,1678.24,0.95
Wheat,2009,Rabi       ,Assam,60067.0,65301,1727.1,9359639.94,10211.39,1.097037037
Wheat,2009,Rabi       ,Karnataka,283427.0,263877,1321.0,44163595.14,48182.59,0.919285714
Wheat,2009,Rabi       ,Meghalaya,405.0,718,2995.9,63107.1,68.85,1.25
Wheat,2010,Rabi       ,Assam,44772.0,56216,2578.5,7437076.92,10745.28,1.196666667
Wheat,2010,Rabi       ,Andhra Pradesh,10085.0,13143,1297.0,1675219.35,2420.4,1.311818182
Wheat,2010,Rabi       ,Karnataka,254755.0,300237,1317.7,42317353.05,61141.2,1.166470588
Wheat,2010,Rabi       ,Meghalaya,393.0,704,3119.7,65281.23,94.32,1.2475
Wheat,2011,Rabi       ,Assam,40194.0,48592,1743.4,6733298.88,13264.02,1.169615385
Wheat,2011,Rabi       ,Andhra Pradesh,8255.0,10914,861.9,1382877.6,2724.15,1.306666667
Wheat,2011,Rabi       ,Karnataka,225472.0,200932,1178.986364,37771069.44,74405.76,0.981333333
Wheat,2011,Rabi       ,Meghalaya,395.0,710,4083.104545,66170.4,130.35,1.34
Wheat,2012,Rabi       ,Andhra Pradesh,8000.0,9000,968.7,1206400.0,2480.0,1.25
Wheat,2012,Rabi       ,Assam,33984.0,44190,2167.5,5124787.2,10535.04,1.2508
Wheat,2012,Rabi       ,Karnataka,225274.0,178871,956.2,33971319.2,69834.94,0.846428571
