Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
other oilseeds,2002,Rabi       ,Andhra Pradesh,10921.0,13551,648.1,1033891.07,2730.25,1.224666667
other oilseeds,2002,Whole Year ,Kerala,2253.0,0,2511.2,213291.51,563.25,0.0
other oilseeds,2003,Rabi       ,Andhra Pradesh,14609.0,0,826.0,1445998.82,3506.16,0.0
other oilseeds,2011,Kharif     ,Andhra Pradesh,49216.0,1050821,861.9,8244664.32,16241.28,18.69818182
other oilseeds,2011,Rabi       ,Andhra Pradesh,6967.0,4422,861.9,1167111.84,2299.11,5.8575
other oilseeds,2013,Kharif     ,Andhra Pradesh,106548.0,1263934,1062.3,15395120.52,28767.96,11.70230769
other oilseeds,2014,Kharif     ,Andhra Pradesh,60992.0,1307544,687.6,9207352.32,20127.36,16.19272727
other oilseeds,2016,Kharif     ,Andhra Pradesh,138.0,153,890.0,21148.5,48.3,1.2275
other oilseeds,2017,Kharif     ,Andhra Pradesh,90131.0,1780969,868.2,14190224.64,34249.78,15.18
other oilseeds,2017,Whole Year ,Goa,841.0,1690,2772.5,132407.04,319.58,2.08
other oilseeds,2018,Kharif     ,Andhra Pradesh,94090.0,1965083,1220.5,15261398.0,32931.5,16.59090909
other oilseeds,2018,Whole Year ,Goa,841.0,1692,4406.0,136410.2,294.35,2.055
other oilseeds,2019,Kharif     ,Andhra Pradesh,97782.0,2262487,899.2,16795036.32,36179.34,16.12818182
other oilseeds,2019,Whole Year ,Goa,684.0,1865,4489.5,117483.84,253.08,2.715
other oilseeds,2000,Rabi       ,Uttarakhand,128.0,88,1413.4,12565.76,33.28,0.572857143
other oilseeds,2001,Rabi       ,Uttarakhand,238.0,126,1541.3,24306.94,61.88,0.465555556
other oilseeds,2002,Rabi       ,Uttarakhand,587.0,318,1610.3,55571.29,146.75,0.498571429
other oilseeds,2003,Rabi       ,Haryana,24.0,0,592.3,2375.52,5.76,0.0
other oilseeds,2003,Kharif     ,Maharashtra,25600.0,4700,1037.4,2533888.0,6144.0,0.201904762
other oilseeds,2003,Kharif     ,Uttarakhand,411.0,294,1734.3,40680.78,98.64,0.637
other oilseeds,2003,Rabi       ,Uttarakhand,87.0,29,1734.3,8611.26,20.88,0.298333333
other oilseeds,2004,Kharif     ,Uttarakhand,257.0,170,1219.6,27843.38,53.97,0.644444444
other oilseeds,2004,Rabi       ,Uttarakhand,121.0,69,1219.6,13109.14,25.41,0.57
other oilseeds,2005,Kharif     ,Uttarakhand,1306.0,609,1353.3,156615.52,274.26,0.45
