Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,2016,Kharif     ,Arunachal Pradesh,790.0,643,2933.7,121067.5,276.5,0.761428571
Dry chillies,2016,Whole Year ,Arunachal Pradesh,3541.0,9915,2933.7,542658.25,1239.35,2.7195
Ginger,2016,Whole Year ,Arunachal Pradesh,7775.0,56758,2933.7,1191518.75,2721.25,6.432
Groundnut,2016,Kharif     ,Arunachal Pradesh,888.0,868,2933.7,136086.0,310.8,1.177142857
Maize,2016,Kharif     ,Arunachal Pradesh,50300.0,75450,2933.7,7708475.0,17605.0,1.584
Masoor,2016,Rabi       ,Arunachal Pradesh,413.0,202,2933.7,63292.25,144.55,0.511
Moong(Green Gram),2016,Kharif     ,Arunachal Pradesh,1287.0,1277,2933.7,197232.75,450.45,0.982941176
Other  Rabi pulses,2016,Rabi       ,Arunachal Pradesh,1243.0,765,2933.7,190489.75,435.05,0.691333333
Other Kharif pulses,2016,Kharif     ,Arunachal Pradesh,2450.0,2235,2933.7,375462.5,857.5,0.8725
Peas & beans (Pulses),2016,Kharif     ,Arunachal Pradesh,646.0,618,2933.7,98999.5,226.1,0.923157895
Peas & beans (Pulses),2016,Rabi       ,Arunachal Pradesh,3645.0,5189,2933.7,558596.25,1275.75,1.505263158
Potato,2016,Whole Year ,Arunachal Pradesh,5985.0,43092,2933.7,917201.25,2094.75,6.596
Rapeseed &Mustard,2016,Rabi       ,Arunachal Pradesh,27986.0,28514,2933.7,4288854.5,9795.1,1.233157895
Rice,2016,Kharif     ,Arunachal Pradesh,131000.0,220000,2933.7,20075750.0,45850.0,1.606
Sesamum,2016,Kharif     ,Arunachal Pradesh,2019.0,1795,2933.7,309411.75,706.65,0.848125
Small millets,2016,Kharif     ,Arunachal Pradesh,26500.0,27030,2933.7,4061125.0,9275.0,0.992
Soyabean,2016,Kharif     ,Arunachal Pradesh,3098.0,4398,2933.7,474768.5,1084.3,2.085263158
Sugarcane,2016,Whole Year ,Arunachal Pradesh,2075.0,44405,2933.7,317993.75,726.25,22.59461538
Sunflower,2016,Kharif     ,Arunachal Pradesh,540.0,433,2933.7,82755.0,189.0,0.818
Turmeric,2016,Whole Year ,Arunachal Pradesh,800.0,3600,2933.7,122600.0,280.0,4.386
Urad,2016,Kharif     ,Arunachal Pradesh,1118.0,966,2933.7,171333.5,391.3,0.828333333
Urad,2016,Rabi       ,Arunachal Pradesh,1408.0,1235,2933.7,215776.0,492.8,0.853333333
Wheat,2016,Rabi       ,Arunachal Pradesh,3910.0,7700,2933.7,599207.5,1368.5,2.105
