Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1997,Whole Year ,Assam,73814.0,56708,2051.4,7024878.38,22882.34,0.796086957
Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685,2051.4,631643.29,2057.47,0.710434783
Castor seed,1997,Kharif     ,Assam,796.0,22,2051.4,75755.32,246.76,0.238333333
Coconut ,1997,Whole Year ,Assam,19656.0,126905000,2051.4,1870661.52,6093.36,5238.051739
Cotton(lint),1997,Kharif     ,Assam,1739.0,794,2051.4,165500.63,539.09,0.420909091
Dry chillies,1997,Whole Year ,Assam,13587.0,9073,2051.4,1293074.79,4211.97,0.643636364
Gram,1997,Rabi       ,Assam,2979.0,1507,2051.4,283511.43,923.49,0.465454545
Jute,1997,Kharif     ,Assam,94520.0,904095,2051.4,8995468.4,29301.2,9.919565217
Linseed,1997,Rabi       ,Assam,10098.0,5158,2051.4,961026.66,3130.38,0.461363636
Maize,1997,Kharif     ,Assam,19216.0,14721,2051.4,1828786.72,5956.96,0.615652174
Mesta,1997,Kharif     ,Assam,5915.0,29003,2051.4,562930.55,1833.65,4.568947368
Niger seed,1997,Whole Year ,Assam,9914.0,5076,2051.4,943515.38,3073.34,0.482352941
Onion,1997,Whole Year ,Assam,7832.0,17943,2051.4,745371.44,2427.92,2.342608696
Other  Rabi pulses,1997,Rabi       ,Assam,108297.0,58272,2051.4,10306625.49,33572.07,0.520869565
Potato,1997,Whole Year ,Assam,75259.0,671871,2051.4,7162399.03,23330.29,7.561304348
Rapeseed &Mustard,1997,Rabi       ,Assam,279292.0,154772,2051.4,26580219.64,86580.52,0.554782609
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565
Rice,1997,Summer     ,Assam,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348
Sesamum,1997,Whole Year ,Assam,15765.0,8257,2051.4,1500355.05,4887.15,0.487391304
Small millets,1997,Kharif     ,Assam,10490.0,5391,2051.4,998333.3,3251.9,0.473
Sugarcane,1997,Kharif     ,Assam,31318.0,1287451,2051.4,2980534.06,9708.58,41.89695652
Sweet potato,1997,Whole Year ,Assam,9380.0,32618,2051.4,892694.6,2907.8,3.440434783
Tapioca,1997,Whole Year ,Assam,2465.0,11728,2051.4,234594.05,764.15,4.41826087
Tobacco,1997,Whole Year ,Assam,433.0,26,2051.4,41208.61,134.23,0.38
Turmeric,1997,Whole Year ,Assam,10071.0,6974,2051.4,958457.07,3122.01,0.67
Wheat,1997,Rabi       ,Assam,84698.0,110054,2051.4,8060708.66,26256.38,1.25952381
Arecanut,1998,Whole Year ,Assam,74457.0,55355,2354.4,7356351.6,21592.53,0.784347826
Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389,2354.4,756511.6,2220.53,0.709130435
Banana,1998,Whole Year ,Assam,41885.0,581884,2354.4,4138238.0,12146.65,13.78826087
Castor seed,1998,Kharif     ,Assam,1728.0,708,2354.4,170726.4,501.12,0.411428571
Coconut ,1998,Whole Year ,Assam,20166.0,149866000,2354.4,1992400.8,5848.14,6045.886957
Cotton(lint),1998,Kharif     ,Assam,1652.0,751,2354.4,163217.6,479.08,0.399130435
Dry chillies,1998,Whole Year ,Assam,14724.0,9690,2354.4,1454731.2,4269.96,0.636956522
Gram,1998,Rabi       ,Assam,3002.0,1503,2354.4,296597.6,870.58,0.460454545
Jute,1998,Kharif     ,Assam,78702.0,687173,2354.4,7775757.6,22823.58,9.040869565
Linseed,1998,Rabi       ,Assam,10222.0,5212,2354.4,1009933.6,2964.38,0.480909091
