Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,2000,Kharif     ,Chhattisgarh,49383.0,21185,896.4,4847929.11,12839.58,0.42625
Bajra,2000,Kharif     ,Chhattisgarh,78.0,31,896.4,7657.26,20.28,0.473333333
Bajra,2000,Whole Year ,Chhattisgarh,201.0,8187,896.4,19732.17,52.26,38.278
Barley,2000,Rabi       ,Chhattisgarh,4611.0,3873,896.4,452661.87,1198.86,0.77
Castor seed,2000,Kharif     ,Chhattisgarh,133.0,36,896.4,13056.61,34.58,0.256666667
Coriander,2000,Whole Year ,Chhattisgarh,3415.0,892,896.4,335250.55,887.9,0.256
Cotton(lint),2000,Kharif     ,Chhattisgarh,69.0,10,896.4,6773.73,17.94,0.245
Dry chillies,2000,Whole Year ,Chhattisgarh,5434.0,1380,896.4,533455.78,1412.84,0.250625
Garlic,2000,Whole Year ,Chhattisgarh,708.0,2035,896.4,69504.36,184.08,2.946923077
Ginger,2000,Whole Year ,Chhattisgarh,1652.0,1539,896.4,162176.84,429.52,1.069166667
Gram,2000,Rabi       ,Chhattisgarh,140070.0,72136,896.4,13750671.9,36418.2,0.573125
Groundnut,2000,Kharif     ,Chhattisgarh,34187.0,31965,896.4,3356137.79,8888.62,0.924375
Horse-gram,2000,Kharif     ,Chhattisgarh,61595.0,18258,896.4,6046781.15,16014.7,0.276875
Jowar,2000,Kharif     ,Chhattisgarh,10386.0,6907,896.4,1019593.62,2700.36,0.669333333
Khesari,2000,Rabi       ,Chhattisgarh,250812.0,108852,896.4,24622214.04,65211.12,0.452
Linseed,2000,Rabi       ,Chhattisgarh,74020.0,15840,896.4,7266543.4,19245.2,0.226666667
Maize,2000,Kharif     ,Chhattisgarh,93364.0,125668,896.4,9165543.88,24274.64,1.168125
Masoor,2000,Rabi       ,Chhattisgarh,12614.0,3418,896.4,1238316.38,3279.64,0.285333333
Mesta,2000,Kharif     ,Chhattisgarh,1393.0,2803,896.4,136750.81,362.18,1.941333333
Moong(Green Gram),2000,Kharif     ,Chhattisgarh,9836.0,2639,896.4,965600.12,2557.36,0.216875
Moong(Green Gram),2000,Rabi       ,Chhattisgarh,4327.0,940,896.4,424781.59,1125.02,0.200666667
Niger seed,2000,Kharif     ,Chhattisgarh,74256.0,13143,896.4,7289711.52,19306.56,0.165384615
Onion,2000,Whole Year ,Chhattisgarh,3362.0,26533,896.4,330047.54,874.12,7.798
Other  Rabi pulses,2000,Rabi       ,Chhattisgarh,1003.0,341,896.4,98464.51,260.78,0.327692308
Other Kharif pulses,2000,Kharif     ,Chhattisgarh,4695.0,1558,896.4,460908.15,1220.7,0.335625
Peas & beans (Pulses),2000,Rabi       ,Chhattisgarh,8855.0,3208,896.4,869295.35,2302.3,0.328666667
Potato,2000,Whole Year ,Chhattisgarh,9092.0,66090,896.4,892561.64,2363.92,7.36625
Ragi,2000,Kharif     ,Chhattisgarh,11183.0,2630,896.4,1097835.11,2907.58,0.213333333
Rapeseed &Mustard,2000,Rabi       ,Chhattisgarh,48187.0,15950,896.4,4730517.79,12528.62,0.311875
Rice,2000,Kharif     ,Chhattisgarh,3769746.0,2369295,896.4,370075964.8,980133.96,0.6575
Safflower,2000,Rabi       ,Chhattisgarh,949.0,204,896.4,93163.33,246.74,0.274444444
Sannhamp,2000,Whole Year ,Chhattisgarh,1788.0,502,896.4,175527.96,464.88,0.290625
Sesamum,2000,Kharif     ,Chhattisgarh,23393.0,3953,896.4,2296490.81,6082.18,0.170625
Small millets,2000,Kharif     ,Chhattisgarh,289664.0,45922,896.4,28436314.88,75312.64,0.146875
Soyabean,2000,Kharif     ,Chhattisgarh,12662.0,6926,896.4,1243028.54,3292.12,0.580666667
Sugarcane,2000,Whole Year ,Chhattisgarh,3317.0,8628,896.4,325629.89,862.42,2.739333333
Sunflower,2000,Kharif     ,Chhattisgarh,1235.0,513,896.4,121239.95,321.1,0.4275
Sweet potato,2000,Whole Year ,Chhattisgarh,2870.0,16869,896.4,281747.9,746.2,5.77875
Tobacco,2000,Whole Year ,Chhattisgarh,42.0,20,896.4,4123.14,10.92,0.346666667
Turmeric,2000,Whole Year ,Chhattisgarh,635.0,642,896.4,62337.95,165.1,1.060666667
Urad,2000,Kharif     ,Chhattisgarh,116722.0,32851,896.4,11458598.74,30347.72,0.2825
Urad,2000,Rabi       ,Chhattisgarh,5201.0,1247,896.4,510582.17,1352.26,0.210833333
Wheat,2000,Rabi       ,Chhattisgarh,77844.0,79488,896.4,7641945.48,20239.44,1.214375
Arhar/Tur,2001,Kharif     ,Chhattisgarh,50323.0,20180,1550.0,5139487.99,13083.98,0.388125
Bajra,2001,Kharif     ,Chhattisgarh,80.0,36,1550.0,8170.4,20.8,0.574285714
Bajra,2001,Whole Year ,Chhattisgarh,282.0,11012,1550.0,28800.66,73.32,37.904
Barley,2001,Rabi       ,Chhattisgarh,4245.0,3481,1550.0,433541.85,1103.7,0.841428571
Castor seed,2001,Kharif     ,Chhattisgarh,113.0,31,1550.0,11540.69,29.38,0.232857143
Coriander,2001,Whole Year ,Chhattisgarh,3618.0,951,1550.0,369506.34,940.68,0.28875
Cotton(lint),2001,Kharif     ,Chhattisgarh,103.0,72,1550.0,10519.39,26.78,0.795
Dry chillies,2001,Whole Year ,Chhattisgarh,6909.0,3765,1550.0,705616.17,1796.34,0.540625
Garlic,2001,Whole Year ,Chhattisgarh,779.0,2203,1550.0,79559.27,202.54,3.026428571
Ginger,2001,Whole Year ,Chhattisgarh,1797.0,1681,1550.0,183527.61,467.22,1.035384615
Gram,2001,Rabi       ,Chhattisgarh,169488.0,124574,1550.0,17309809.44,44066.88,0.7325
Groundnut,2001,Kharif     ,Chhattisgarh,33804.0,41748,1550.0,3452402.52,8789.04,1.31375
Horse-gram,2001,Kharif     ,Chhattisgarh,57694.0,19650,1550.0,5892288.22,15000.44,0.325625
Jowar,2001,Kharif     ,Chhattisgarh,9423.0,9169,1550.0,962370.99,2449.98,0.948125
Khesari,2001,Rabi       ,Chhattisgarh,415808.0,230495,1550.0,42466471.04,108110.08,0.578
Linseed,2001,Rabi       ,Chhattisgarh,82260.0,22210,1550.0,8401213.8,21387.6,0.272
Maize,2001,Kharif     ,Chhattisgarh,93820.0,69708,1550.0,9581836.6,24393.2,0.75375
Masoor,2001,Rabi       ,Chhattisgarh,15946.0,5162,1550.0,1628564.98,4145.96,0.417333333
Mesta,2001,Kharif     ,Chhattisgarh,1325.0,2778,1550.0,135322.25,344.5,2.1525
Moong(Green Gram),2001,Kharif     ,Chhattisgarh,9669.0,2887,1550.0,987494.97,2513.94,0.261875
Moong(Green Gram),2001,Rabi       ,Chhattisgarh,5558.0,1536,1550.0,567638.54,1445.08,0.247333333
Niger seed,2001,Kharif     ,Chhattisgarh,74559.0,14268,1550.0,7614710.67,19385.34,0.220769231
Onion,2001,Whole Year ,Chhattisgarh,3836.0,33857,1550.0,391770.68,997.36,8.872
Other  Rabi pulses,2001,Rabi       ,Chhattisgarh,1024.0,356,1550.0,104581.12,266.24,0.326153846
Other Kharif pulses,2001,Kharif     ,Chhattisgarh,5754.0,1966,1550.0,587656.02,1496.04,0.352
Peas & beans (Pulses),2001,Rabi       ,Chhattisgarh,11851.0,4416,1550.0,1210342.63,3081.26,0.329375
Potato,2001,Whole Year ,Chhattisgarh,9315.0,64152,1550.0,951340.95,2421.9,6.849375
Ragi,2001,Kharif     ,Chhattisgarh,10860.0,3210,1550.0,1109131.8,2823.6,0.283636364
Rapeseed &Mustard,2001,Rabi       ,Chhattisgarh,50335.0,18684,1550.0,5140713.55,13087.1,0.346875
Rice,2001,Kharif     ,Chhattisgarh,3810112.0,5073721,1550.0,389126738.6,990629.12,1.34375
Safflower,2001,Rabi       ,Chhattisgarh,338.0,84,1550.0,34519.94,87.88,0.24125
Sannhamp,2001,Whole Year ,Chhattisgarh,1736.0,611,1550.0,177297.68,451.36,0.34875
Sesamum,2001,Kharif     ,Chhattisgarh,23601.0,5711,1550.0,2410370.13,6136.26,0.246875
Small millets,2001,Kharif     ,Chhattisgarh,279037.0,69178,1550.0,28498048.81,72549.62,0.239375
Soyabean,2001,Kharif     ,Chhattisgarh,10622.0,8162,1550.0,1084824.86,2761.72,0.915333333
Sugarcane,2001,Whole Year ,Chhattisgarh,3476.0,9046,1550.0,355003.88,903.76,2.805714286
Sunflower,2001,Kharif     ,Chhattisgarh,2885.0,1184,1550.0,294645.05,750.1,0.388571429
Sweet potato,2001,Whole Year ,Chhattisgarh,2402.0,14001,1550.0,245316.26,624.52,5.834375
Tobacco,2001,Whole Year ,Chhattisgarh,40.0,22,1550.0,4085.2,10.4,0.6075
Turmeric,2001,Whole Year ,Chhattisgarh,649.0,591,1550.0,66282.37,168.74,1.075333333
Urad,2001,Kharif     ,Chhattisgarh,113521.0,34993,1550.0,11593899.73,29515.46,0.319375
Urad,2001,Rabi       ,Chhattisgarh,5519.0,1334,1550.0,563655.47,1434.94,0.250833333
Wheat,2001,Rabi       ,Chhattisgarh,97861.0,103480,1550.0,9994543.93,25443.86,1.195
Arhar/Tur,2002,Kharif     ,Chhattisgarh,55718.0,24126,1001.4,5274823.06,13929.5,0.398125
Bajra,2002,Kharif     ,Chhattisgarh,66.0,26,1001.4,6248.22,16.5,0.51
