Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Kharif     ,Gujarat,395600.0,296200,798.9,37649252.0,122636.0,0.778421053
Bajra,1997,Kharif     ,Gujarat,915800.0,1114500,798.9,87156686.0,283898.0,1.218235294
Bajra,1997,Summer     ,Gujarat,179800.0,380400,798.9,17111566.0,55738.0,2.135
Banana,1997,Whole Year ,Gujarat,19300.0,1108400,798.9,1836781.0,5983.0,55.276
Castor seed,1997,Kharif     ,Gujarat,11200.0,26000,798.9,1065904.0,3472.0,2.32
Castor seed,1997,Whole Year ,Gujarat,337000.0,660500,798.9,32072290.0,104470.0,2.29625
Cotton(lint),1997,Whole Year ,Gujarat,1518900.0,3180200,798.9,144553713.0,470859.0,2.254117647
Dry chillies,1997,Kharif     ,Gujarat,18400.0,21300,798.9,1751128.0,5704.0,1.115
Garlic,1997,Whole Year ,Gujarat,20200.0,133900,798.9,1922434.0,6262.0,6.340909091
Gram,1997,Rabi       ,Gujarat,123300.0,98700,798.9,11734461.0,38223.0,0.752941176
Groundnut,1997,Kharif     ,Gujarat,1826300.0,2453600,798.9,173808971.0,566153.0,1.22
Groundnut,1997,Summer     ,Gujarat,99900.0,162200,798.9,9507483.0,30969.0,1.562631579
Jowar,1997,Kharif     ,Gujarat,207800.0,163800,798.9,19776326.0,64418.0,0.838666667
Jowar,1997,Rabi       ,Gujarat,75800.0,64800,798.9,7213886.0,23498.0,0.890769231
Maize,1997,Whole Year ,Gujarat,399800.0,659000,798.9,38048966.0,123938.0,1.690666667
Moong(Green Gram),1997,Kharif     ,Gujarat,178800.0,101300,798.9,17016396.0,55428.0,0.596111111
Moth,1997,Kharif     ,Gujarat,48500.0,24100,798.9,4615745.0,15035.0,0.603571429
Onion,1997,Whole Year ,Gujarat,20900.0,615900,798.9,1989053.0,6479.0,30.12733333
Other  Rabi pulses,1997,Rabi       ,Gujarat,2900.0,1800,798.9,275993.0,899.0,0.622857143
