Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1998,Kharif     ,Haryana,14247.0,13500,687.6,1407603.6,4131.63,0.905789474
Bajra,1998,Kharif     ,Haryana,613174.0,618800,687.6,60581591.2,177820.46,1.006842105
Barley,1998,Rabi       ,Haryana,36376.0,100000,687.6,3593948.8,10549.04,1.647894737
Cotton(lint),1998,Kharif     ,Haryana,583165.0,874000,687.6,57616702.0,169117.85,0.748421053
Dry chillies,1998,Whole Year ,Haryana,1891.0,1600,687.6,186830.8,548.39,0.728888889
Gram,1998,Rabi       ,Haryana,356872.0,294000,687.6,35258953.6,103492.88,0.568421053
Groundnut,1998,Kharif     ,Haryana,1196.0,800,687.6,118164.8,346.84,0.274615385
Jowar,1998,Kharif     ,Haryana,129910.0,25000,687.6,12835108.0,37673.9,0.101666667
Maize,1998,Kharif     ,Haryana,20117.0,39000,687.6,1987559.6,5833.93,0.938235294
Masoor,1998,Rabi       ,Haryana,11106.0,7600,687.6,1097272.8,3220.74,0.833333333
Moong(Green Gram),1998,Kharif     ,Haryana,20763.0,5400,687.6,2051384.4,6021.27,0.097857143
Moth,1998,Kharif     ,Haryana,2189.0,400,687.6,216273.2,634.81,0.028571429
Onion,1998,Whole Year ,Haryana,4707.0,59700,687.6,465051.6,1365.03,13.94882353
Peas & beans (Pulses),1998,Rabi       ,Haryana,1742.0,1800,687.6,172109.6,505.18,0.848571429
Potato,1998,Whole Year ,Haryana,13467.0,212700,687.6,1330539.6,3905.43,14.64631579
Rapeseed &Mustard,1998,Rabi       ,Haryana,497788.0,615000,687.6,49181454.4,144358.52,1.094210526
Rice,1998,Kharif     ,Haryana,1086694.0,2432000,687.6,107365367.2,315141.26,2.286666667
Sannhamp,1998,Whole Year ,Haryana,797.0,200,687.6,78743.6,231.13,0.065833333
Sesamum,1998,Kharif     ,Haryana,3098.0,1000,687.6,306082.4,898.42,0.177894737
Sugarcane,1998,Whole Year ,Haryana,128074.0,7010000,687.6,12653711.2,37141.46,51.58421053
