Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1997,Whole Year ,Karnataka,93100.0,133342,1266.7,8860327.0,28861.0,1.293571429
Arhar/Tur,1997,Kharif     ,Karnataka,421810.0,98473,1266.7,40143657.7,130761.1,0.268235294
Bajra,1997,Kharif     ,Karnataka,301149.0,132056,1266.7,28660350.33,93356.19,0.404545455
Bajra,1997,Summer     ,Karnataka,820.0,662,1266.7,78039.4,254.2,0.81
Black pepper,1997,Kharif     ,Karnataka,3825.0,924,1266.7,364025.25,1185.75,0.4375
Cardamom,1997,Whole Year ,Karnataka,21230.0,1214,1266.7,2020459.1,6581.3,0.058571429
Coriander,1997,Whole Year ,Karnataka,17317.0,2853,1266.7,1648058.89,5368.27,0.121333333
Dry chillies,1997,Kharif     ,Karnataka,186579.0,139206,1266.7,17756723.43,57839.49,1.078333333
Dry chillies,1997,Rabi       ,Karnataka,4565.0,7895,1266.7,434451.05,1415.15,1.869444444
Garlic,1997,Whole Year ,Karnataka,5061.0,3799,1266.7,481655.37,1568.91,1.585
Ginger,1997,Kharif     ,Karnataka,3619.0,4745,1266.7,344420.23,1121.89,1.262307692
Groundnut,1997,Kharif     ,Karnataka,847666.0,525562,1266.7,80672373.22,262776.46,0.709411765
Groundnut,1997,Rabi       ,Karnataka,192416.0,181071,1266.7,18312230.72,59648.96,1.133333333
Horse-gram,1997,Kharif     ,Karnataka,178872.0,80124,1266.7,17023248.24,55450.32,0.45
Horse-gram,1997,Rabi       ,Karnataka,163173.0,82572,1266.7,15529174.41,50583.63,0.514705882
Jowar,1997,Kharif     ,Karnataka,389690.0,516093,1266.7,37086797.3,120803.9,1.228
Jowar,1997,Rabi       ,Karnataka,1501172.0,722773,1266.7,142866539.2,465363.32,0.510714286
Jowar,1997,Summer     ,Karnataka,6137.0,15135,1266.7,584058.29,1902.47,2.470909091
Maize,1997,Kharif     ,Karnataka,502797.0,1391132,1266.7,47851190.49,155867.07,2.687777778
Maize,1997,Rabi       ,Karnataka,48844.0,98932,1266.7,4648483.48,15141.64,1.98
Maize,1997,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.165714286
Ragi,1997,Kharif     ,Karnataka,897921.0,1214282,1266.7,85455141.57,278355.51,1.191333333
Ragi,1997,Rabi       ,Karnataka,27104.0,33696,1266.7,2579487.68,8402.24,1.312222222
Ragi,1997,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.847777778
