Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1997,Whole Year ,Meghalaya,9569.0,12116,3818.2,910681.73,2966.39,1.245714286
Arhar/Tur,1997,Kharif     ,Meghalaya,865.0,683,3818.2,82322.05,268.15,0.806666667
Banana,1997,Whole Year ,Meghalaya,5239.0,63011,3818.2,498595.63,1624.09,11.20714286
Castor seed,1997,Rabi       ,Meghalaya,30.0,15,3818.2,2855.1,9.3,0.49
Cotton(lint),1997,Kharif     ,Meghalaya,7544.0,5590,3818.2,717962.48,2338.64,0.796666667
Dry chillies,1997,Whole Year ,Meghalaya,1766.0,1106,3818.2,168070.22,547.46,0.64
Ginger,1997,Kharif     ,Meghalaya,7357.0,45260,3818.2,700165.69,2280.67,6.054285714
Gram,1997,Rabi       ,Meghalaya,443.0,270,3818.2,42160.31,137.33,0.613333333
Jute,1997,Kharif     ,Meghalaya,4243.0,34683,3818.2,403806.31,1315.33,8.436666667
Linseed,1997,Kharif     ,Meghalaya,50.0,22,3818.2,4758.5,15.5,0.44
Maize,1997,Kharif     ,Meghalaya,17175.0,24878,3818.2,1634544.75,5324.25,1.444285714
Mesta,1997,Kharif     ,Meghalaya,4688.0,21558,3818.2,446156.96,1453.28,4.68
Mesta,1997,Whole Year ,Meghalaya,861.0,713,3818.2,81941.37,266.91,0.7525
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909.0,1511,3818.2,181679.53,591.79,0.777142857
Potato,1997,Whole Year ,Meghalaya,20764.0,200509,3818.2,1976109.88,6436.84,8.641428571
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914.0,4467,3818.2,658005.38,2143.34,0.608571429
Rice,1997,Kharif     ,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.378571429
Sesamum,1997,Kharif     ,Meghalaya,1326.0,688,3818.2,126195.42,411.06,0.575714286
Small millets,1997,Kharif     ,Meghalaya,2804.0,2237,3818.2,266856.68,869.24,0.861428571
Soyabean,1997,Kharif     ,Meghalaya,898.0,814,3818.2,85462.66,278.38,0.921428571
Sugarcane,1997,Whole Year ,Meghalaya,82.0,225,3818.2,7803.94,25.42,2.352
Sweet potato,1997,Whole Year ,Meghalaya,5212.0,16978,3818.2,496026.04,1615.72,3.221428571
Tapioca,1997,Whole Year ,Meghalaya,3959.0,21087,3818.2,376778.03,1227.29,6.537142857
Tobacco,1997,Rabi       ,Meghalaya,742.0,505,3818.2,70616.14,230.02,0.618
Turmeric,1997,Whole Year ,Meghalaya,1401.0,7126,3818.2,133333.17,434.31,5.425714286
Wheat,1997,Rabi       ,Meghalaya,4287.0,6894,3818.2,407993.79,1328.97,1.385
Arecanut,1998,Whole Year ,Meghalaya,9585.0,11567,6552.7,946998.0,2779.65,1.151666667
Arhar/Tur,1998,Kharif     ,Meghalaya,861.0,678,6552.7,85066.8,249.69,0.803333333
Banana,1998,Whole Year ,Meghalaya,5194.0,62888,6552.7,513167.2,1506.26,11.26714286
Cotton(lint),1998,Kharif     ,Meghalaya,7549.0,5599,6552.7,745841.2,2189.21,0.796666667
Dry chillies,1998,Whole Year ,Meghalaya,1764.0,1051,6552.7,174283.2,511.56,0.598571429
Ginger,1998,Kharif     ,Meghalaya,7403.0,45590,6552.7,731416.4,2146.87,6.008571429
Gram,1998,Rabi       ,Meghalaya,463.0,283,6552.7,45744.4,134.27,0.61
Jute,1998,Kharif     ,Meghalaya,4241.0,27097,6552.7,419010.8,1229.89,7.553333333
Linseed,1998,Kharif     ,Meghalaya,51.0,23,6552.7,5038.8,14.79,0.45
Maize,1998,Kharif     ,Meghalaya,17219.0,25272,6552.7,1701237.2,4993.51,1.457142857
Mesta,1998,Kharif     ,Meghalaya,4681.0,21362,6552.7,462482.8,1357.49,4.58
Mesta,1998,Whole Year ,Meghalaya,871.0,631,6552.7,86054.8,252.59,0.68
Other  Rabi pulses,1998,Rabi       ,Meghalaya,1938.0,1527,6552.7,191474.4,562.02,0.755714286
Potato,1998,Whole Year ,Meghalaya,20753.0,201059,6552.7,2050396.4,6018.37,7.738571429
Rapeseed &Mustard,1998,Rabi       ,Meghalaya,6916.0,4576,6552.7,683300.8,2005.64,0.635714286
Rice,1998,Kharif     ,Meghalaya,105402.0,149742,6552.7,10413717.6,30566.58,1.51
Sesamum,1998,Kharif     ,Meghalaya,1322.0,694,6552.7,130613.6,383.38,0.575714286
Small millets,1998,Kharif     ,Meghalaya,2823.0,2282,6552.7,278912.4,818.67,0.871428571
Soyabean,1998,Kharif     ,Meghalaya,899.0,812,6552.7,88821.2,260.71,0.881428571
Sugarcane,1998,Whole Year ,Meghalaya,83.0,225,6552.7,8200.4,24.07,2.328
Sweet potato,1998,Whole Year ,Meghalaya,5181.0,17291,6552.7,511882.8,1502.49,3.302857143
Tapioca,1998,Whole Year ,Meghalaya,3963.0,21251,6552.7,391544.4,1149.27,6.547142857
Tobacco,1998,Whole Year ,Meghalaya,742.0,507,6552.7,73309.6,215.18,0.61
Turmeric,1998,Whole Year ,Meghalaya,1375.0,6997,6552.7,135850.0,398.75,5.624285714
Wheat,1998,Rabi       ,Meghalaya,4287.0,6998,6552.7,423555.6,1243.23,1.605
Arecanut,1999,Whole Year ,Meghalaya,9645.0,12510,6200.3,1023623.85,2604.15,1.245
Arhar/Tur,1999,Kharif     ,Meghalaya,871.0,647,6200.3,92439.23,235.17,0.78
Banana,1999,Whole Year ,Meghalaya,5319.0,63383,6200.3,564505.47,1436.13,11.16285714
Castor seed,1999,Kharif     ,Meghalaya,27.0,14,6200.3,2865.51,7.29,0.515
Cotton(lint),1999,Kharif     ,Meghalaya,7455.0,5549,6200.3,791199.15,2012.85,0.8
Dry chillies,1999,Whole Year ,Meghalaya,1790.0,1128,6200.3,189972.7,483.3,0.635714286
Ginger,1999,Kharif     ,Meghalaya,7606.0,44710,6200.3,807224.78,2053.62,5.765714286
Gram,1999,Rabi       ,Meghalaya,460.0,283,6200.3,48819.8,124.2,0.616666667
Jute,1999,Kharif     ,Meghalaya,4235.0,31781,6200.3,449460.55,1143.45,6.76
Maize,1999,Kharif     ,Meghalaya,16637.0,24051,6200.3,1765684.81,4491.99,1.448571429
Mesta,1999,Kharif     ,Meghalaya,4457.0,20071,6200.3,473021.41,1203.39,4.556666667
Potato,1999,Whole Year ,Meghalaya,18339.0,143287,6200.3,1946318.07,4951.53,6.858571429
Rapeseed &Mustard,1999,Rabi       ,Meghalaya,7042.0,4648,6200.3,747367.46,1901.34,0.654285714
Rice,1999,Kharif     ,Meghalaya,102482.0,156887,6200.3,10876414.66,27670.14,1.605714286
Rice,1999,Rabi       ,Meghalaya,3929.0,13846,6200.3,416984.77,1060.83,1.755714286
Sesamum,1999,Kharif     ,Meghalaya,1304.0,680,6200.3,138393.52,352.08,0.588571429
Soyabean,1999,Kharif     ,Meghalaya,1038.0,928,6200.3,110162.94,280.26,0.888571429
Sugarcane,1999,Whole Year ,Meghalaya,80.0,223,6200.3,8490.4,21.6,2.372
Sweet potato,1999,Whole Year ,Meghalaya,5220.0,17591,6200.3,553998.6,1409.4,3.415714286
Tapioca,1999,Whole Year ,Meghalaya,4022.0,21497,6200.3,426854.86,1085.94,6.39
Tobacco,1999,Whole Year ,Meghalaya,719.0,488,6200.3,76307.47,194.13,0.636
Turmeric,1999,Whole Year ,Meghalaya,1458.0,8196,6200.3,154737.54,393.66,5.284285714
Arecanut,2000,Whole Year ,Meghalaya,11184.0,13721,6258.8,1097933.28,2907.84,1.178571429
Arhar/Tur,2000,Kharif     ,Meghalaya,863.0,641,6258.8,84720.71,224.38,0.78
Banana,2000,Whole Year ,Meghalaya,5377.0,64100,6258.8,527860.09,1398.02,11.36285714
Castor seed,2000,Kharif     ,Meghalaya,23.0,12,6258.8,2257.91,5.98,0.515
Cotton(lint),2000,Kharif     ,Meghalaya,7340.0,7684,6258.8,720567.8,1908.4,1.036666667
Dry chillies,2000,Whole Year ,Meghalaya,1810.0,1146,6258.8,177687.7,470.6,0.651428571
Ginger,2000,Kharif     ,Meghalaya,7811.0,44900,6258.8,766805.87,2030.86,5.897142857
Gram,2000,Rabi       ,Meghalaya,463.0,286,6258.8,45452.71,120.38,0.613333333
Jute,2000,Kharif     ,Meghalaya,4220.0,35816,6258.8,414277.4,1097.2,7.133333333
Linseed,2000,Rabi       ,Meghalaya,54.0,24,6258.8,5301.18,14.04,0.44
Maize,2000,Kharif     ,Meghalaya,16906.0,24250,6258.8,1659662.02,4395.56,1.437142857
Mesta,2000,Kharif     ,Meghalaya,4635.0,21358,6258.8,455017.95,1205.1,4.606666667
Other  Rabi pulses,2000,Rabi       ,Meghalaya,2048.0,1610,6258.8,201052.16,532.48,0.761428571
Potato,2000,Whole Year ,Meghalaya,18318.0,144292,6258.8,1798278.06,4762.68,6.954285714
Rapeseed &Mustard,2000,Rabi       ,Meghalaya,7126.0,4730,6258.8,699559.42,1852.76,0.664285714
Rice,2000,Kharif     ,Meghalaya,102657.0,165907,6258.8,10077837.69,26690.82,1.681428571
Rice,2000,Rabi       ,Meghalaya,4003.0,13135,6258.8,392974.51,1040.78,1.744285714
Sesamum,2000,Kharif     ,Meghalaya,1317.0,694,6258.8,129289.89,342.42,0.614285714
Small millets,2000,Kharif     ,Meghalaya,2800.0,2266,6258.8,274876.0,728.0,0.864285714
Soyabean,2000,Kharif     ,Meghalaya,983.0,914,6258.8,96501.11,255.58,0.91
Sugarcane,2000,Whole Year ,Meghalaya,86.0,237,6258.8,8442.62,22.36,2.288
Sweet potato,2000,Whole Year ,Meghalaya,5143.0,17363,6258.8,504888.31,1337.18,3.431428571
Tapioca,2000,Whole Year ,Meghalaya,4110.0,21879,6258.8,403478.7,1068.6,5.98
Tobacco,2000,Whole Year ,Meghalaya,700.0,470,6258.8,68719.0,182.0,0.64
Turmeric,2000,Whole Year ,Meghalaya,1523.0,8565,6258.8,149512.91,395.98,5.464285714
Wheat,2000,Rabi       ,Meghalaya,4215.0,6892,6258.8,413786.55,1095.9,1.395
Arecanut,2001,Whole Year ,Meghalaya,11128.0,14101,4241.0,1136502.64,2893.28,1.185714286
Arhar/Tur,2001,Kharif     ,Meghalaya,818.0,631,4241.0,83542.34,212.68,0.793333333
Castor seed,2001,Kharif     ,Meghalaya,25.0,13,4241.0,2553.25,6.5,0.5
Cotton(lint),2001,Kharif     ,Meghalaya,7323.0,7873,4241.0,747897.99,1903.98,1.05
Dry chillies,2001,Whole Year ,Meghalaya,1825.0,1158,4241.0,186387.25,474.5,0.655714286
Ginger,2001,Kharif     ,Meghalaya,8897.0,36590,4241.0,908650.61,2313.22,5.837142857
Gram,2001,Rabi       ,Meghalaya,489.0,299,4241.0,49941.57,127.14,0.583333333
Jute,2001,Kharif     ,Meghalaya,4061.0,25057,4241.0,414749.93,1055.86,6.236666667
Maize,2001,Kharif     ,Meghalaya,16866.0,25247,4241.0,1722524.58,4385.16,1.471428571
Mesta,2001,Kharif     ,Meghalaya,4550.0,24526,4241.0,464691.5,1183.0,4.96
Potato,2001,Whole Year ,Meghalaya,18151.0,159032,4241.0,1853761.63,4719.26,7.288571429
Rapeseed &Mustard,2001,Rabi       ,Meghalaya,7156.0,4782,4241.0,730842.28,1860.56,0.581428571
Rice,2001,Kharif     ,Meghalaya,107761.0,188971,4241.0,11005630.93,28017.86,1.751428571
Sesamum,2001,Kharif     ,Meghalaya,1331.0,694,4241.0,135935.03,346.06,0.568571429
Small millets,2001,Kharif     ,Meghalaya,2720.0,2152,4241.0,277793.6,707.2,0.847142857
Soyabean,2001,Kharif     ,Meghalaya,981.0,939,4241.0,100189.53,255.06,0.912857143
Sugarcane,2001,Whole Year ,Meghalaya,83.0,226,4241.0,8476.79,21.58,2.278
Sweet potato,2001,Whole Year ,Meghalaya,4942.0,16627,4241.0,504726.46,1284.92,3.447142857
Tapioca,2001,Whole Year ,Meghalaya,3971.0,20637,4241.0,405558.23,1032.46,6.401428571
Tobacco,2001,Whole Year ,Meghalaya,728.0,480,4241.0,74350.64,189.28,0.562
Turmeric,2001,Whole Year ,Meghalaya,1523.0,8577,4241.0,155543.99,395.98,5.511428571
Wheat,2001,Rabi       ,Meghalaya,2753.0,4812,4241.0,281163.89,715.78,1.455
Arecanut,2003,Whole Year ,Meghalaya,11189.0,14244,3321.3,1107487.22,2685.36,1.194285714
Arhar/Tur,2003,Kharif     ,Meghalaya,812.0,639,3321.3,80371.76,194.88,0.806666667
Banana,2003,Whole Year ,Meghalaya,5628.0,66875,3321.3,557059.44,1350.72,10.92714286
Cashewnut,2003,Whole Year ,Meghalaya,6708.0,6787,3321.3,663957.84,1609.92,1.003333333
Castor seed,2003,Kharif     ,Meghalaya,25.0,14,3321.3,2474.5,6.0,0.545
Cotton(lint),2003,Kharif     ,Meghalaya,7281.0,7792,3321.3,720673.38,1747.44,1.036666667
Dry chillies,2003,Whole Year ,Meghalaya,1807.0,1168,3321.3,178856.86,433.68,0.671428571
Ginger,2003,Kharif     ,Meghalaya,8982.0,49215,3321.3,889038.36,2155.68,6.782857143
Gram,2003,Rabi       ,Meghalaya,508.0,316,3321.3,50281.84,121.92,0.6
Jute,2003,Kharif     ,Meghalaya,4043.0,35699,3321.3,400176.14,970.32,7.026666667
Maize,2003,Kharif     ,Meghalaya,16900.0,25929,3321.3,1672762.0,4056.0,1.528571429
Mesta,2003,Kharif     ,Meghalaya,4502.0,20459,3321.3,445607.96,1080.48,4.573333333
Other  Rabi pulses,2003,Rabi       ,Meghalaya,2100.0,1648,3321.3,207858.0,504.0,0.757142857
Potato,2003,Whole Year ,Meghalaya,18035.0,149428,3321.3,1785104.3,4328.4,7.241428571
Rapeseed &Mustard,2003,Rabi       ,Meghalaya,7218.0,4645,3321.3,714437.64,1732.32,0.608571429
Rice,2003,Kharif     ,Meghalaya,109721.0,200703,3321.3,10860184.58,26333.04,1.798571429
Sesamum,2003,Kharif     ,Meghalaya,1617.0,849,3321.3,160050.66,388.08,0.567142857
Small millets,2003,Kharif     ,Meghalaya,2661.0,2209,3321.3,263385.78,638.64,0.918571429
Soyabean,2003,Kharif     ,Meghalaya,984.0,963,3321.3,97396.32,236.16,0.945714286
Sugarcane,2003,Whole Year ,Meghalaya,83.0,228,3321.3,8215.34,19.92,2.346
Sweet potato,2003,Whole Year ,Meghalaya,4853.0,16016,3321.3,480349.94,1164.72,3.395714286
Tapioca,2003,Whole Year ,Meghalaya,3974.0,20588,3321.3,393346.52,953.76,6.367142857
Tobacco,2003,Whole Year ,Meghalaya,723.0,472,3321.3,71562.54,173.52,0.55
Turmeric,2003,Whole Year ,Meghalaya,1561.0,8656,3321.3,154507.78,374.64,5.471428571
Wheat,2003,Rabi       ,Meghalaya,862.0,1540,3321.3,85320.76,206.88,1.49
Arecanut,2004,Whole Year ,Meghalaya,11233.0,14169,4767.9,1216983.22,2358.93,1.154285714
Arhar/Tur,2004,Kharif     ,Meghalaya,804.0,633,4767.9,87105.36,168.84,0.806666667
Banana,2004,Whole Year ,Meghalaya,6276.0,67838,4767.9,679941.84,1317.96,10.06571429
Black pepper,2004,Whole Year ,Meghalaya,895.0,578,4767.9,96964.3,187.95,0.8
Castor seed,2004,Kharif     ,Meghalaya,32.0,20,4767.9,3466.88,6.72,0.693333333
Coriander,2004,Whole Year ,Meghalaya,53.0,306,4767.9,5742.02,11.13,5.4925
Cotton(lint),2004,Kharif     ,Meghalaya,7231.0,7765,4767.9,783406.54,1518.51,1.046666667
Dry chillies,2004,Whole Year ,Meghalaya,1844.0,1303,4767.9,199778.96,387.24,0.844285714
Garlic,2004,Whole Year ,Meghalaya,365.0,1139,4767.9,39544.1,76.65,1.79
Ginger,2004,Kharif     ,Meghalaya,9222.0,47138,4767.9,999111.48,1936.62,6.122857143
Gram,2004,Rabi       ,Meghalaya,519.0,324,4767.9,56228.46,108.99,0.586666667
Jute,2004,Kharif     ,Meghalaya,4019.0,20153,4767.9,435418.46,843.99,4.8
Linseed,2004,Rabi       ,Meghalaya,75.0,35,4767.9,8125.5,15.75,0.47
Maize,2004,Kharif     ,Meghalaya,16875.0,24000,4767.9,1828237.5,3543.75,1.465714286
Mesta,2004,Kharif     ,Meghalaya,4195.0,19018,4767.9,454486.3,880.95,4.543333333
Other  Rabi pulses,2004,Rabi       ,Meghalaya,2103.0,1645,4767.9,227839.02,441.63,0.76
Potato,2004,Whole Year ,Meghalaya,17287.0,141622,4767.9,1872873.58,3630.27,7.178571429
Rapeseed &Mustard,2004,Rabi       ,Meghalaya,7222.0,4797,4767.9,782431.48,1516.62,0.64
Rice,2004,Autumn     ,Meghalaya,32667.0,37766,4767.9,3539142.78,6860.07,1.492857143
Rice,2004,Summer     ,Meghalaya,9224.0,37439,4767.9,999328.16,1937.04,2.078333333
Rice,2004,Winter     ,Meghalaya,69659.0,118514,4767.9,7546856.06,14628.39,1.792857143
Sesamum,2004,Kharif     ,Meghalaya,1628.0,860,4767.9,176377.52,341.88,0.548333333
Small millets,2004,Kharif     ,Meghalaya,2652.0,2241,4767.9,287317.68,556.92,0.957142857
Soyabean,2004,Kharif     ,Meghalaya,967.0,935,4767.9,104764.78,203.07,0.915714286
Sugarcane,2004,Whole Year ,Meghalaya,84.0,225,4767.9,9100.56,17.64,2.264
Sweet potato,2004,Kharif     ,Meghalaya,4974.0,16172,4767.9,538883.16,1044.54,3.352857143
Sweet potato,2004,Whole Year ,Meghalaya,4974.0,16172,4767.9,538883.16,1044.54,3.352857143
Tapioca,2004,Whole Year ,Meghalaya,3975.0,20644,4767.9,430651.5,834.75,6.367142857
Tobacco,2004,Whole Year ,Meghalaya,729.0,479,4767.9,78979.86,153.09,0.55
Turmeric,2004,Whole Year ,Meghalaya,1682.0,9016,4767.9,182227.88,353.22,4.715714286
Wheat,2004,Rabi       ,Meghalaya,863.0,1564,4767.9,93497.42,181.23,1.156666667
Arecanut,2005,Whole Year ,Meghalaya,11507.0,15530,3374.4,1379919.44,2416.47,1.245714286
Arhar/Tur,2005,Kharif     ,Meghalaya,804.0,633,3374.4,96415.68,168.84,0.796666667
Banana,2005,Whole Year ,Meghalaya,6426.0,71695,3374.4,770605.92,1349.46,10.22428571
Castor seed,2005,Kharif     ,Meghalaya,33.0,21,3374.4,3957.36,6.93,0.693333333
Cotton(lint),2005,Kharif     ,Meghalaya,7231.0,7768,3374.4,867141.52,1518.51,1.046666667
Dry chillies,2005,Whole Year ,Meghalaya,1861.0,1267,3374.4,223171.12,390.81,0.8
Ginger,2005,Kharif     ,Meghalaya,9625.0,53609,3374.4,1154230.0,2021.25,6.558571429
Gram,2005,Rabi       ,Meghalaya,523.0,325,3374.4,62718.16,109.83,0.6
Jute,2005,Kharif     ,Meghalaya,4017.0,35499,3374.4,481718.64,843.57,7.11
Linseed,2005,Rabi       ,Meghalaya,78.0,37,3374.4,9353.76,16.38,0.47
Maize,2005,Kharif     ,Meghalaya,16898.0,24424,3374.4,2026408.16,3548.58,1.481428571
Mesta,2005,Kharif     ,Meghalaya,4436.0,20212,3374.4,531965.12,931.56,4.563333333
Other  Rabi pulses,2005,Rabi       ,Meghalaya,2163.0,1713,3374.4,259386.96,454.23,0.775714286
Potato,2005,Whole Year ,Meghalaya,17986.0,167030,3374.4,2156881.12,3777.06,7.768571429
Rapeseed &Mustard,2005,Rabi       ,Meghalaya,7196.0,4759,3374.4,862944.32,1511.16,0.62
Rice,2005,Autumn     ,Meghalaya,32678.0,43762,3374.4,3918745.76,6862.38,1.597142857
Rice,2005,Summer     ,Meghalaya,9791.0,39910,3374.4,1174136.72,2056.11,2.245
Rice,2005,Winter     ,Meghalaya,63602.0,124605,3374.4,7627151.84,13356.42,1.971428571
Sesamum,2005,Kharif     ,Meghalaya,1627.0,868,3374.4,195109.84,341.67,0.578333333
Small millets,2005,Kharif     ,Meghalaya,2670.0,2272,3374.4,320186.4,560.7,0.955714286
Sugarcane,2005,Whole Year ,Meghalaya,80.0,219,3374.4,9593.6,16.8,2.342
Sweet potato,2005,Whole Year ,Meghalaya,4975.0,16270,3374.4,596602.0,1044.75,3.391428571
Tapioca,2005,Whole Year ,Meghalaya,3989.0,20841,3374.4,478360.88,837.69,6.392857143
Tobacco,2005,Whole Year ,Meghalaya,721.0,475,3374.4,86462.32,151.41,0.562
Turmeric,2005,Whole Year ,Meghalaya,1817.0,10508,3374.4,217894.64,381.57,5.621428571
Wheat,2005,Rabi       ,Meghalaya,670.0,1198,3374.4,80346.4,140.7,1.306666667
Arecanut,2006,Rabi       ,Meghalaya,12081.0,16561,2454.7,1542864.51,2657.82,1.254285714
Banana,2006,Kharif     ,Meghalaya,6422.0,72367,2454.7,820153.62,1412.84,10.31714286
Castor seed,2006,Rabi       ,Meghalaya,33.0,21,2454.7,4214.43,7.26,0.693333333
Cotton(lint),2006,Rabi       ,Meghalaya,7208.0,7738,2454.7,920533.68,1585.76,1.05
Dry chillies,2006,Rabi       ,Meghalaya,1870.0,1375,2454.7,238817.7,411.4,0.958571429
Ginger,2006,Kharif     ,Meghalaya,9639.0,57278,2454.7,1230996.69,2120.58,7.088571429
Gram,2006,Rabi       ,Meghalaya,536.0,332,2454.7,68452.56,117.92,0.6
Jute,2006,Rabi       ,Meghalaya,3967.0,35304,2454.7,506625.57,872.74,7.056666667
Linseed,2006,Rabi       ,Meghalaya,82.0,39,2454.7,10472.22,18.04,0.48
Maize,2006,Kharif     ,Meghalaya,17039.0,25334,2454.7,2176050.69,3748.58,1.541428571
Mesta,2006,Kharif     ,Meghalaya,4425.0,20178,2454.7,565116.75,973.5,4.566666667
Other  Rabi pulses,2006,Rabi       ,Meghalaya,2167.0,1706,2454.7,276747.57,476.74,0.76
