Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,2000,Kharif     ,Uttarakhand,1890.0,981,1413.4,185541.3,491.4,0.631
Bajra,2000,Kharif     ,Uttarakhand,11.0,15,1413.4,1079.87,2.86,1.36
Barley,2000,Rabi       ,Uttarakhand,25797.0,25064,1413.4,2532491.49,6707.22,0.978461538
Garlic,2000,Whole Year ,Uttarakhand,2062.0,16274,1413.4,202426.54,536.12,5.604761905
Gram,2000,Rabi       ,Uttarakhand,993.0,683,1413.4,97482.81,258.18,0.688
Groundnut,2000,Kharif     ,Uttarakhand,1750.0,1481,1413.4,171797.5,455.0,0.89
Horse-gram,2000,Kharif     ,Uttarakhand,9223.0,4787,1413.4,905421.91,2397.98,0.555454545
Linseed,2000,Rabi       ,Uttarakhand,17.0,5,1413.4,1668.89,4.42,0.186666667
Maize,2000,Kharif     ,Uttarakhand,33467.0,48302,1413.4,3285455.39,8701.42,1.337692308
Maize,2000,Rabi       ,Uttarakhand,63.0,99,1413.4,6184.71,16.38,1.535
Masoor,2000,Rabi       ,Uttarakhand,15290.0,8156,1413.4,1501019.3,3975.4,0.512307692
Moong(Green Gram),2000,Kharif     ,Uttarakhand,45.0,16,1413.4,4417.65,11.7,0.393333333
Moong(Green Gram),2000,Rabi       ,Uttarakhand,110.0,31,1413.4,10798.7,28.6,0.353333333
Moth,2000,Kharif     ,Uttarakhand,44.0,17,1413.4,4319.48,11.44,0.36
Onion,2000,Whole Year ,Uttarakhand,1781.0,11027,1413.4,174840.77,463.06,7.395384615
Other  Rabi pulses,2000,Rabi       ,Uttarakhand,127.0,54,1413.4,12467.59,33.02,0.39375
Other Cereals,2000,Kharif     ,Uttarakhand,5596.0,1587,1413.4,549359.32,1454.96,0.285
Other Cereals,2000,Rabi       ,Uttarakhand,1307.0,1323,1413.4,128308.19,339.82,1.028571429
Other Kharif pulses,2000,Kharif     ,Uttarakhand,11548.0,6844,1413.4,1133667.16,3002.48,0.593333333
Peas & beans (Pulses),2000,Rabi       ,Uttarakhand,3402.0,2598,1413.4,333974.34,884.52,0.681538462
Potato,2000,Kharif     ,Uttarakhand,6286.0,138309,1413.4,617096.62,1634.36,21.66555556
Potato,2000,Rabi       ,Uttarakhand,6473.0,148125,1413.4,635454.41,1682.98,21.60538462
Ragi,2000,Kharif     ,Uttarakhand,127733.0,162286,1413.4,12539548.61,33210.58,1.335454545
Rapeseed &Mustard,2000,Rabi       ,Uttarakhand,13406.0,8127,1413.4,1316067.02,3485.56,0.51
Rice,2000,Kharif     ,Uttarakhand,285545.0,579074,1413.4,28031952.65,74241.7,1.649230769
Rice,2000,Rabi       ,Uttarakhand,3062.0,9578,1413.4,300596.54,796.12,3.125
Sesamum,2000,Kharif     ,Uttarakhand,2700.0,442,1413.4,265059.0,702.0,0.166666667
Small millets,2000,Kharif     ,Uttarakhand,73164.0,80384,1413.4,7182509.88,19022.64,1.115454545
Small millets,2000,Rabi       ,Uttarakhand,2.0,3,1413.4,196.34,0.52,1.5
Soyabean,2000,Kharif     ,Uttarakhand,6478.0,4382,1413.4,635945.26,1684.28,0.654545455
Sugarcane,2000,Whole Year ,Uttarakhand,116478.0,6831440,1413.4,11434645.26,30284.28,58.175
Sunflower,2000,Kharif     ,Uttarakhand,213.0,227,1413.4,20910.21,55.38,1.083333333
Tobacco,2000,Whole Year ,Uttarakhand,102.0,713,1413.4,10013.34,26.52,7.142
Turmeric,2000,Whole Year ,Uttarakhand,152.0,39,1413.4,14921.84,39.52,2.778
Urad,2000,Kharif     ,Uttarakhand,10160.0,4481,1413.4,997407.2,2641.6,0.466153846
Urad,2000,Rabi       ,Uttarakhand,1018.0,345,1413.4,99937.06,264.68,0.17
Wheat,2000,Rabi       ,Uttarakhand,377340.0,711036,1413.4,37043467.8,98108.4,1.550769231
other oilseeds,2000,Rabi       ,Uttarakhand,128.0,88,1413.4,12565.76,33.28,0.572857143
Arhar/Tur,2001,Kharif     ,Uttarakhand,1934.0,1053,1541.3,197519.42,502.84,0.62125
Bajra,2001,Kharif     ,Uttarakhand,44.0,57,1541.3,4493.72,11.44,1.295
Barley,2001,Rabi       ,Uttarakhand,22875.0,25590,1541.3,2336223.75,5947.5,1.215384615
Garlic,2001,Whole Year ,Uttarakhand,2063.0,16832,1541.3,210694.19,536.38,5.50952381
Gram,2001,Rabi       ,Uttarakhand,1259.0,868,1541.3,128581.67,327.34,0.594166667
Groundnut,2001,Kharif     ,Uttarakhand,1136.0,1014,1541.3,116019.68,295.36,0.895
Horse-gram,2001,Kharif     ,Uttarakhand,7781.0,3437,1541.3,794673.53,2023.06,0.476666667
Linseed,2001,Rabi       ,Uttarakhand,15.0,6,1541.3,1531.95,3.9,0.306666667
Maize,2001,Kharif     ,Uttarakhand,32938.0,40682,1541.3,3363957.94,8563.88,1.185384615
Maize,2001,Rabi       ,Uttarakhand,125.0,183,1541.3,12766.25,32.5,1.1
Masoor,2001,Rabi       ,Uttarakhand,14649.0,7651,1541.3,1496102.37,3808.74,0.506153846
Moong(Green Gram),2001,Kharif     ,Uttarakhand,67.0,32,1541.3,6842.71,17.42,0.3425
Moong(Green Gram),2001,Rabi       ,Uttarakhand,59.0,16,1541.3,6025.67,15.34,0.286666667
Moth,2001,Kharif     ,Uttarakhand,11.0,4,1541.3,1123.43,2.86,0.34
Onion,2001,Whole Year ,Uttarakhand,1642.0,8089,1541.3,167697.46,426.92,6.451538462
Other  Rabi pulses,2001,Rabi       ,Uttarakhand,211.0,93,1541.3,21549.43,54.86,0.3875
Other Cereals,2001,Kharif     ,Uttarakhand,7411.0,2004,1541.3,756885.43,1926.86,0.283636364
Other Cereals,2001,Rabi       ,Uttarakhand,1213.0,1383,1541.3,123883.69,315.38,1.106666667
Other Kharif pulses,2001,Kharif     ,Uttarakhand,11054.0,6408,1541.3,1128945.02,2874.04,0.58
Peas & beans (Pulses),2001,Rabi       ,Uttarakhand,3251.0,2370,1541.3,332024.63,845.26,0.655833333
Potato,2001,Kharif     ,Uttarakhand,7761.0,155501,1541.3,792630.93,2017.86,19.90111111
Potato,2001,Rabi       ,Uttarakhand,5739.0,121724,1541.3,586124.07,1492.14,20.00692308
Ragi,2001,Kharif     ,Uttarakhand,131779.0,161963,1541.3,13458589.27,34262.54,1.324545455
Rapeseed &Mustard,2001,Rabi       ,Uttarakhand,11795.0,7557,1541.3,1204623.35,3066.7,0.521538462
Rice,2001,Kharif     ,Uttarakhand,280816.0,567662,1541.3,28679738.08,73012.16,1.608461538
Rice,2001,Rabi       ,Uttarakhand,3761.0,11855,1541.3,384110.93,977.86,2.2625
Sesamum,2001,Kharif     ,Uttarakhand,2327.0,400,1541.3,237656.51,605.02,0.180769231
Small millets,2001,Kharif     ,Uttarakhand,74526.0,83951,1541.3,7611340.38,19376.76,1.126363636
Small millets,2001,Rabi       ,Uttarakhand,1.0,1,1541.3,102.13,0.26,1.0
Soyabean,2001,Kharif     ,Uttarakhand,9688.0,6176,1541.3,989435.44,2518.88,0.599166667
Sugarcane,2001,Whole Year ,Uttarakhand,118637.0,6958951,1541.3,12116396.81,30845.62,58.175
Sunflower,2001,Kharif     ,Uttarakhand,47.0,46,1541.3,4800.11,12.22,0.666666667
Tobacco,2001,Whole Year ,Uttarakhand,126.0,907,1541.3,12868.38,32.76,7.226666667
Turmeric,2001,Whole Year ,Uttarakhand,45.0,97,1541.3,4595.85,11.7,1.922
Urad,2001,Kharif     ,Uttarakhand,10685.0,6660,1541.3,1091259.05,2778.1,0.592307692
Urad,2001,Rabi       ,Uttarakhand,992.0,370,1541.3,101312.96,257.92,0.123333333
Wheat,2001,Rabi       ,Uttarakhand,375967.0,721618,1541.3,38397509.71,97751.42,1.616153846
other oilseeds,2001,Rabi       ,Uttarakhand,238.0,126,1541.3,24306.94,61.88,0.465555556
Arhar/Tur,2002,Kharif     ,Uttarakhand,1793.0,860,1610.3,169743.31,448.25,0.538888889
Bajra,2002,Kharif     ,Uttarakhand,4.0,5,1610.3,378.68,1.0,1.165
Barley,2002,Rabi       ,Uttarakhand,25664.0,31566,1610.3,2429610.88,6416.0,1.282307692
Garlic,2002,Whole Year ,Uttarakhand,2180.0,16513,1610.3,206380.6,545.0,4.292692308
Gram,2002,Rabi       ,Uttarakhand,954.0,577,1610.3,90315.18,238.5,0.599
Groundnut,2002,Kharif     ,Uttarakhand,1179.0,920,1610.3,111615.93,294.75,0.755
Horse-gram,2002,Kharif     ,Uttarakhand,7589.0,3499,1610.3,718450.63,1897.25,0.494
Linseed,2002,Rabi       ,Uttarakhand,37500.0,16195,1610.3,3550125.0,9375.0,0.336666667
Maize,2002,Kharif     ,Uttarakhand,28506.0,32127,1610.3,2698663.02,7126.5,1.043076923
Maize,2002,Rabi       ,Uttarakhand,82.0,127,1610.3,7762.94,20.5,1.455
Masoor,2002,Rabi       ,Uttarakhand,14451.0,6437,1610.3,1368076.17,3612.75,0.436923077
Moong(Green Gram),2002,Kharif     ,Uttarakhand,76.0,22,1610.3,7194.92,19.0,0.37
Moong(Green Gram),2002,Rabi       ,Uttarakhand,48.0,12,1610.3,4544.16,12.0,0.25
Moong(Green Gram),2002,Summer     ,Uttarakhand,34489.0,19967,1610.3,3265073.63,8622.25,0.58
Onion,2002,Rabi       ,Uttarakhand,8497.0,87690,1610.3,804410.99,2124.25,10.32
Onion,2002,Summer     ,Uttarakhand,11216.0,125394,1610.3,1061818.72,2804.0,11.18
