Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Coconut ,1997,Whole Year ,Assam,19656.0,126905000,2051.4,1870661.52,6093.36,5238.051739
Coconut ,1997,Whole Year ,Kerala,884344.0,5210000000,3252.4,84163018.48,274146.64,5376.054286
Coconut ,1997,Whole Year ,West Bengal,24273.0,306202300,1852.9,2310061.41,7524.63,13003.78778
Coconut ,1998,Whole Year ,Assam,20166.0,149866000,2354.4,1992400.8,5848.14,6045.886957
Coconut ,1998,Whole Year ,Goa,24858.0,121000000,2964.9,2455970.4,7208.82,4867.65
Coconut ,1998,Whole Year ,Karnataka,310399.0,1611530000,1260.8,30667421.2,90015.71,4692.261111
Coconut ,1998,Whole Year ,Kerala,882288.0,5132000000,3151.5,87170054.4,255863.52,5304.749286
Coconut ,1998,Whole Year ,West Bengal,24616.0,318174400,2152.5,2432060.8,7138.64,12448.06222
Coconut ,1999,Whole Year ,Assam,20238.0,150062000,2201.8,2147858.94,5464.26,5672.116522
Coconut ,1999,Whole Year ,Goa,24975.0,121580000,3879.3,2650596.75,6743.25,4868.07
Coconut ,1999,Whole Year ,Kerala,925035.0,5680000000,2914.6,98173964.55,249759.45,5581.025714
Coconut ,1999,Whole Year ,Puducherry,2214.0,27816000,1434.5875,234971.82,597.78,12812.4475
Coconut ,1999,Whole Year ,West Bengal,24216.0,324305700,2318.1,2570044.08,6538.32,13592.12778
Coconut ,2000,Whole Year ,Andhra Pradesh,102646.0,1092707179,935.6,10076757.82,26687.96,9101.813684
Coconut ,2000,Whole Year ,Assam,20913.0,135910000,1965.5,2053029.21,5437.38,5771.352609
Coconut ,2000,Whole Year ,Goa,25025.0,125120000,3886.9,2456704.25,6506.5,4999.8
Coconut ,2000,Whole Year ,Karnataka,335996.0,1762403000,1213.3,32984727.32,87358.96,4673.661111
Coconut ,2000,Whole Year ,Kerala,925783.0,5536000000,2412.6,90884117.11,240703.58,5617.002143
Coconut ,2000,Whole Year ,Puducherry,2233.0,24698000,1434.5875,219213.61,580.58,11937.4475
Coconut ,2000,Whole Year ,West Bengal,24511.0,330524800,1907.7,2406244.87,6372.86,13234.92556
Coconut ,2001,Whole Year ,Andhra Pradesh,104244.0,1124969850,928.4,10646439.72,27103.44,9057.671111
Coconut ,2001,Whole Year ,Assam,21067.0,163597000,1824.7,2151572.71,5477.42,7700.721304
Coconut ,2001,Whole Year ,Goa,25025.0,125120000,2530.6,2555803.25,6506.5,4999.8
Coconut ,2001,Whole Year ,Karnataka,369828.0,1503638000,1002.9,37770533.64,96155.28,4164.951481
