Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Cowpea(Lobia),2010,Kharif     ,Karnataka,70151.0,36233,1317.7,11652782.61,16836.24,0.527692308
Cowpea(Lobia),2010,Rabi       ,Karnataka,27130.0,7166,1317.7,4506564.3,6511.2,0.264285714
Cowpea(Lobia),2011,Kharif     ,Andhra Pradesh,4718.0,1119,861.9,790359.36,1556.94,0.225
Cowpea(Lobia),2011,Rabi       ,Andhra Pradesh,15567.0,12408,861.9,2607783.84,5137.11,0.801764706
Cowpea(Lobia),2011,Kharif     ,Karnataka,68089.0,35959,1178.986364,11406269.28,22469.37,0.55
Cowpea(Lobia),2011,Rabi       ,Karnataka,20294.0,7158,1178.986364,3399650.88,6697.02,0.353571429
Cowpea(Lobia),2012,Kharif     ,Andhra Pradesh,5000.0,2000,968.7,754000.0,1550.0,0.4
Cowpea(Lobia),2012,Rabi       ,Andhra Pradesh,18000.0,17000,968.7,2714400.0,5580.0,1.0425
Cowpea(Lobia),2012,Kharif     ,Karnataka,64825.0,17765,956.2,9775610.0,20095.75,0.36962963
Cowpea(Lobia),2012,Rabi       ,Karnataka,7192.0,2396,956.2,1084553.6,2229.52,0.332272727
Cowpea(Lobia),2012,Summer     ,Karnataka,6937.0,2498,956.2,1046099.6,2150.47,0.366956522
Cowpea(Lobia),2012,Whole Year ,Kerala,1085.0,0,2187.6,163618.0,336.35,0.0
Cowpea(Lobia),2013,Kharif     ,Andhra Pradesh,3720.0,1617,1062.3,537502.8,1004.4,0.45625
Cowpea(Lobia),2013,Rabi       ,Andhra Pradesh,8403.0,7244,1062.3,1214149.47,2268.81,0.787777778
Cowpea(Lobia),2013,Kharif     ,Karnataka,63704.0,23789,1235.6,9204590.96,17200.08,0.383333333
Cowpea(Lobia),2013,Rabi       ,Karnataka,9301.0,3930,1235.6,1343901.49,2511.27,0.416818182
Cowpea(Lobia),2013,Summer     ,Karnataka,8000.0,3145,1235.6,1155920.0,2160.0,0.395238095
Cowpea(Lobia),2013,Whole Year ,Kerala,775.0,0,3255.4,111979.75,209.25,0.0
Cowpea(Lobia),2013,Rabi       ,Meghalaya,1608.0,2296,2448.4,232339.92,434.16,1.472727273
Cowpea(Lobia),2014,Kharif     ,Andhra Pradesh,4459.0,1865,687.6,673130.64,1471.47,0.4125
Cowpea(Lobia),2014,Rabi       ,Andhra Pradesh,9576.0,10735,687.6,1445592.96,3160.08,0.874444444
Cowpea(Lobia),2014,Kharif     ,Karnataka,54977.0,24145,1238.5,8299327.92,18142.41,0.530740741
Cowpea(Lobia),2014,Rabi       ,Karnataka,9632.0,3533,1238.5,1454046.72,3178.56,0.37
Cowpea(Lobia),2014,Summer     ,Karnataka,7241.0,2646,1238.5,1093101.36,2389.53,0.342272727
Cowpea(Lobia),2014,Whole Year ,Kerala,1004.0,0,3046.4,151563.84,331.32,0.0
Cowpea(Lobia),2014,Rabi       ,Meghalaya,1622.0,2372,3484.4,244857.12,535.26,1.549090909
Cowpea(Lobia),2015,Kharif     ,Andhra Pradesh,11043.0,9696,940.7,1743800.13,3644.19,0.77125
Cowpea(Lobia),2015,Rabi       ,Andhra Pradesh,8003.0,6569,940.7,1263753.73,2640.99,0.513
Cowpea(Lobia),2015,Rabi       ,Meghalaya,1637.0,2490,3870.8,258498.67,540.21,1.674545455
Cowpea(Lobia),2015,Kharif     ,Karnataka,67727.0,28064,1024.9,10694770.57,22349.91,0.431923077
Cowpea(Lobia),2015,Rabi       ,Karnataka,10778.0,4779,1024.9,1701953.98,3556.74,0.448571429
Cowpea(Lobia),2015,Summer     ,Karnataka,8036.0,2412,1024.9,1268964.76,2651.88,0.299166667
Cowpea(Lobia),2016,Kharif     ,Andhra Pradesh,3780.0,1966,890.0,579285.0,1323.0,0.491428571
Cowpea(Lobia),2016,Rabi       ,Andhra Pradesh,5039.0,3379,890.0,772226.75,1763.65,0.585
Cowpea(Lobia),2016,Rabi       ,Meghalaya,1661.0,2512,3837.1,254548.25,581.35,1.630909091
Cowpea(Lobia),2016,Kharif     ,Karnataka,56875.0,43550,1147.2,8716093.75,19906.25,0.768518519
Cowpea(Lobia),2016,Rabi       ,Karnataka,4191.0,100,1147.2,642270.75,1466.85,0.017647059
Cowpea(Lobia),2016,Summer     ,Karnataka,5158.0,949,1147.2,790463.5,1805.3,0.182105263
Cowpea(Lobia),2017,Kharif     ,Andhra Pradesh,4302.0,3081,868.2,677306.88,1634.76,0.691428571
Cowpea(Lobia),2017,Rabi       ,Andhra Pradesh,9470.0,7053,868.2,1490956.8,3598.6,0.574285714
Cowpea(Lobia),2017,Rabi       ,Meghalaya,1669.0,2526,4472.3,262767.36,634.22,1.630909091
Cowpea(Lobia),2017,Kharif     ,Karnataka,86555.0,19627,1111.7,13627219.2,32890.9,0.2388
Cowpea(Lobia),2017,Rabi       ,Karnataka,8570.0,3516,1111.7,1349260.8,3256.6,0.413809524
Cowpea(Lobia),2017,Summer     ,Karnataka,4471.0,1333,1111.7,703914.24,1698.98,0.272857143
Cowpea(Lobia),2017,Kharif     ,Tamil Nadu,47378.0,34028,970.9,7459192.32,18003.64,0.7148
Cowpea(Lobia),2017,Rabi       ,Tamil Nadu,14233.0,9260,970.9,2240843.52,5408.54,0.6084
Cowpea(Lobia),2018,Kharif     ,Andhra Pradesh,13385.0,1381,1220.5,2171047.0,4684.75,0.176666667
Cowpea(Lobia),2018,Rabi       ,Andhra Pradesh,13621.0,6960,1220.5,2209326.2,4767.35,0.53
Cowpea(Lobia),2018,Rabi       ,Meghalaya,1676.0,2537,5649.1,271847.2,586.6,1.631818182
Cowpea(Lobia),2018,Kharif     ,Karnataka,46257.0,17487,1419.1,7502885.4,16189.95,0.356
Cowpea(Lobia),2018,Rabi       ,Karnataka,11756.0,3304,1419.1,1906823.2,4114.6,0.267368421
Cowpea(Lobia),2018,Summer     ,Karnataka,3996.0,520,1419.1,648151.2,1398.6,0.126666667
Cowpea(Lobia),2018,Kharif     ,Tamil Nadu,44897.0,35418,986.2,7282293.4,15713.95,0.806
Cowpea(Lobia),2018,Rabi       ,Tamil Nadu,19985.0,17010,986.2,3241567.0,6994.75,0.8475
Cowpea(Lobia),2019,Kharif     ,Andhra Pradesh,5816.0,2612,899.2,998956.16,2151.92,0.503333333
Cowpea(Lobia),2019,Rabi       ,Andhra Pradesh,6792.0,3532,899.2,1166593.92,2513.04,0.630909091
