Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Gram,1997,Rabi       ,Assam,2979.0,1507,2051.4,283511.43,923.49,0.465454545
Gram,1997,Rabi       ,Meghalaya,443.0,270,3818.2,42160.31,137.33,0.613333333
Gram,1997,Rabi       ,West Bengal,25485.0,16994,1852.9,2425407.45,7900.35,0.5975
Gram,1998,Rabi       ,Assam,3002.0,1503,2354.4,296597.6,870.58,0.460454545
Gram,1998,Rabi       ,Karnataka,355326.0,202508,1260.8,35106208.8,103044.54,0.573478261
Gram,1998,Rabi       ,Meghalaya,463.0,283,6552.7,45744.4,134.27,0.61
Gram,1998,Rabi       ,West Bengal,23286.0,18971,2152.5,2300656.8,6752.94,0.875
Gram,1999,Rabi       ,Assam,2336.0,1196,2201.8,247919.68,630.72,0.470454545
Gram,1999,Rabi       ,Meghalaya,460.0,283,6200.3,48819.8,124.2,0.616666667
Gram,1999,Rabi       ,West Bengal,26618.0,21961,2318.1,2824968.34,7186.86,0.826923077
Gram,2000,Kharif     ,Andhra Pradesh,100.0,173,935.6,9817.0,26.0,1.1575
Gram,2000,Rabi       ,Andhra Pradesh,200763.0,228546,935.6,19708903.71,52198.38,1.4145
Gram,2000,Rabi       ,Assam,2661.0,1329,1965.5,261230.37,691.86,0.462380952
Gram,2000,Rabi       ,Karnataka,369473.0,239431,1213.3,36271164.41,96062.98,0.622380952
Gram,2000,Rabi       ,Meghalaya,463.0,286,6258.8,45452.71,120.38,0.613333333
Gram,2000,Rabi       ,West Bengal,54685.0,50170,1907.7,5368426.45,14218.1,0.806428571
Gram,2001,Kharif     ,Andhra Pradesh,91.0,101,928.4,9293.83,23.66,1.092857143
Gram,2001,Rabi       ,Andhra Pradesh,285086.0,363033,928.4,29115833.18,74122.36,1.419
Gram,2001,Rabi       ,Assam,2463.0,1295,1824.7,251546.19,640.38,0.466190476
Gram,2001,Rabi       ,Karnataka,479703.0,281635,1002.9,48992067.39,124722.78,0.534090909
Gram,2001,Rabi       ,Meghalaya,489.0,299,4241.0,49941.57,127.14,0.583333333
Gram,2001,Rabi       ,West Bengal,50832.0,43235,1556.6,5191472.16,13216.32,0.819285714
Gram,2002,Kharif     ,Andhra Pradesh,37.0,45,648.1,3502.79,9.25,1.0075
Gram,2002,Rabi       ,Andhra Pradesh,390113.0,381761,648.1,36931997.71,97528.25,1.162380952
Gram,2002,Rabi       ,Assam,2388.0,1205,1973.6,226071.96,597.0,0.515652174
Gram,2002,Rabi       ,Tamil Nadu,6199.0,4172,315.9,586859.33,1549.75,0.581666667
