Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Jowar,1997,Kharif     ,Karnataka,389690.0,516093,1266.7,37086797.3,120803.9,1.228
Jowar,1997,Rabi       ,Karnataka,1501172.0,722773,1266.7,142866539.2,465363.32,0.510714286
Jowar,1997,Summer     ,Karnataka,6137.0,15135,1266.7,584058.29,1902.47,2.470909091
Jowar,1997,Whole Year ,West Bengal,948.0,450,1852.9,90221.16,293.88,0.482
Jowar,1998,Kharif     ,Karnataka,420808.0,616645,1260.8,41575830.4,122034.32,1.305714286
Jowar,1998,Rabi       ,Karnataka,1420162.0,1003450,1260.8,140312005.6,411846.98,0.7235
Jowar,1998,Summer     ,Karnataka,8897.0,23144,1260.8,879023.6,2580.13,2.461333333
Jowar,1998,Kharif     ,Kerala,2177.0,1108,3151.5,215087.6,631.33,0.505
Jowar,1998,Kharif     ,West Bengal,886.0,414,2152.5,87536.8,256.94,0.465
Jowar,1999,Kharif     ,Kerala,2529.0,1287,2914.6,268402.77,682.83,0.255
Jowar,1999,Kharif     ,Puducherry,3.0,3,1434.5875,318.39,0.81,1.0
Jowar,1999,Kharif     ,West Bengal,1156.0,540,2318.1,122686.28,312.12,0.68
Jowar,2000,Kharif     ,Andhra Pradesh,332435.0,328490,935.6,32635143.95,86433.1,0.830909091
Jowar,2000,Rabi       ,Andhra Pradesh,344493.0,290498,935.6,33818877.81,89568.18,0.840909091
Jowar,2000,Kharif     ,Karnataka,402962.0,589793,1213.3,39558779.54,104770.12,1.395238095
Jowar,2000,Rabi       ,Karnataka,1373422.0,945212,1213.3,134828837.7,357089.72,0.674210526
Jowar,2000,Summer     ,Karnataka,5878.0,11916,1213.3,577043.26,1528.28,2.018571429
Jowar,2000,Kharif     ,Kerala,463.0,236,2412.6,45452.71,120.38,0.51
Jowar,2000,Kharif     ,Puducherry,6.0,6,1434.5875,589.02,1.56,1.0
Jowar,2000,Kharif     ,West Bengal,1016.0,521,1907.7,99740.72,264.16,0.578333333
Jowar,2001,Kharif     ,Andhra Pradesh,299306.0,287310,928.4,30568121.78,77819.56,0.838095238
Jowar,2001,Rabi       ,Andhra Pradesh,340023.0,346741,928.4,34726548.99,88405.98,0.854090909
Jowar,2001,Kharif     ,Karnataka,303308.0,379303,1002.9,30976846.04,78860.08,1.202857143
Jowar,2001,Rabi       ,Karnataka,1481089.0,980378,1002.9,151263619.6,385083.14,0.604736842
Jowar,2001,Summer     ,Karnataka,6418.0,12385,1002.9,655470.34,1668.68,1.951538462
Jowar,2001,Kharif     ,Kerala,2902.0,1478,2946.7,296381.26,754.52,0.4025
Jowar,2001,Kharif     ,West Bengal,1194.0,658,1556.6,121943.22,310.44,0.611428571
Jowar,2002,Kharif     ,Andhra Pradesh,263673.0,257241,648.1,24961922.91,65918.25,0.661363636
Jowar,2002,Rabi       ,Andhra Pradesh,360173.0,350255,648.1,34097577.91,90043.25,0.841818182
Jowar,2002,Kharif     ,Kerala,2571.0,1311,2511.2,243396.57,642.75,0.5025
